year,hhtyp,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Owner,Yes,0.87961,669,764,0.85652,0.90270
2001,Single-person household,Owner,No,0.10704,95,764,0.08510,0.12898
2001,Single-person household,Tenant,Yes,0.70349,1490,2131,0.68410,0.72289
2001,Single-person household,Tenant,No,0.28470,641,2131,0.26553,0.30386
2001,Couple without children,Owner,Yes,0.92147,1646,1765,0.90892,0.93403
2001,Couple without children,Owner,No,0.06625,119,1765,0.05465,0.07786
2001,Couple without children,Tenant,Yes,0.79660,1432,1797,0.77798,0.81521
2001,Couple without children,Tenant,No,0.19503,365,1797,0.17670,0.21335
2001,Single parent,Owner,Yes,0.76485,147,191,0.70455,0.82516
2001,Single parent,Owner,No,0.23125,44,191,0.17130,0.29121
2001,Single parent,Tenant,Yes,0.43845,236,510,0.39534,0.48155
2001,Single parent,Tenant,No,0.55054,274,510,0.50732,0.59375
2001,Couple with children,Owner,Yes,0.82999,1914,2315,0.81468,0.84529
2001,Couple with children,Owner,No,0.15733,401,2315,0.14250,0.17217
2001,Couple with children,Tenant,Yes,0.63096,1185,1820,0.60878,0.65313
2001,Couple with children,Tenant,No,0.35853,635,1820,0.33649,0.38057
2001,Multi-generational household,Owner,Yes,0.85857,97,97,0.78887,0.92828
2001,Other Combinations,Owner,Yes,0.90934,60,60,0.83607,0.98261
2001,Other Combinations,Tenant,Yes,0.58763,32,32,0.41434,0.76092
2003,Single-person household,Owner,Yes,0.83105,657,783,0.80478,0.85731
2003,Single-person household,Owner,No,0.16111,126,783,0.13534,0.18688
2003,Single-person household,Tenant,Yes,0.64505,1349,2106,0.62461,0.66549
2003,Single-person household,Tenant,No,0.34378,757,2106,0.32349,0.36407
2003,Couple without children,Owner,Yes,0.88086,1810,2012,0.86670,0.89502
2003,Couple without children,Owner,No,0.11588,202,2012,0.10189,0.12987
2003,Couple without children,Tenant,Yes,0.73887,1334,1787,0.71849,0.75924
2003,Couple without children,Tenant,No,0.25184,453,1787,0.23171,0.27197
2003,Single parent,Owner,Yes,0.76163,141,189,0.70072,0.82254
