year,hhtyp,quintil_oecd_hh,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,1st Quintile,Yes,0.54890,453,821,0.51484,0.58296
2001,Single-person household,1st Quintile,No,0.44026,368,821,0.40628,0.47424
2001,Single-person household,2nd Quintile,Yes,0.79210,471,595,0.75947,0.82474
2001,Single-person household,2nd Quintile,No,0.19465,124,595,0.16281,0.22650
2001,Single-person household,3rd Quintile,Yes,0.79891,425,539,0.76504,0.83278
2001,Single-person household,3rd Quintile,No,0.19077,114,539,0.15757,0.22397
2001,Single-person household,4th Quintile,Yes,0.81293,396,492,0.77844,0.84743
2001,Single-person household,4th Quintile,No,0.18115,96,492,0.14709,0.21522
2001,Single-person household,5th Quintile,Yes,0.91661,413,446,0.89093,0.94230
2001,Single-person household,5th Quintile,No,0.06625,33,446,0.04314,0.08936
2001,Couple without children,1st Quintile,Yes,0.67260,257,404,0.62678,0.71842
2001,Couple without children,1st Quintile,No,0.31076,147,404,0.26557,0.35594
2001,Couple without children,2nd Quintile,Yes,0.81830,515,621,0.78794,0.84865
2001,Couple without children,2nd Quintile,No,0.17284,106,621,0.14308,0.20260
2001,Couple without children,3rd Quintile,Yes,0.86344,637,727,0.83846,0.88842
2001,Couple without children,3rd Quintile,No,0.12520,90,727,0.10112,0.14927
2001,Couple without children,4th Quintile,Yes,0.89656,757,833,0.87587,0.91725
2001,Couple without children,4th Quintile,No,0.08754,76,833,0.06834,0.10675
2001,Couple without children,5th Quintile,Yes,0.92665,912,977,0.91030,0.94301
2001,Couple without children,5th Quintile,No,0.06945,65,977,0.05350,0.08539
2001,Single parent,1st Quintile,Yes,0.27892,89,295,0.22766,0.33018
2001,Single parent,1st Quintile,No,0.71068,206,295,0.65885,0.76252
2001,Single parent,2nd Quintile,Yes,0.54357,98,173,0.46913,0.61801
2001,Single parent,2nd Quintile,No,0.45353,75,173,0.37913,0.52793
2001,Single parent,3rd Quintile,Yes,0.82091,90,90,0.74125,0.90057
2001,Single parent,4th Quintile,Yes,0.79010,61,61,0.68706,0.89315
2001,Single parent,5th Quintile,Yes,0.91181,45,45,0.82802,0.99560
2001,Couple with children,1st Quintile,Yes,0.41044,274,632,0.37206,0.44883
2001,Couple with children,1st Quintile,No,0.57036,358,632,0.53173,0.60898
2001,Couple with children,2nd Quintile,Yes,0.67487,693,986,0.64562,0.70412
2001,Couple with children,2nd Quintile,No,0.31193,293,986,0.28299,0.34086
2001,Couple with children,3rd Quintile,Yes,0.79626,793,988,0.77113,0.82139
2001,Couple with children,3rd Quintile,No,0.19495,195,988,0.17023,0.21966
2001,Couple with children,4th Quintile,Yes,0.84333,752,887,0.81939,0.86726
2001,Couple with children,4th Quintile,No,0.14715,135,887,0.12382,0.17048
2001,Couple with children,5th Quintile,Yes,0.90809,587,642,0.88573,0.93046
2001,Couple with children,5th Quintile,No,0.08164,55,642,0.06044,0.10284
2001,Multi-generational household,2nd Quintile,Yes,0.81992,32,32,0.68465,0.95519
2001,Multi-generational household,4th Quintile,Yes,0.91640,32,32,0.81897,1.01384
2003,Single-person household,1st Quintile,Yes,0.48208,377,787,0.44715,0.51701
2003,Single-person household,1st Quintile,No,0.50800,410,787,0.47305,0.54295
2003,Single-person household,2nd Quintile,Yes,0.72518,400,549,0.68780,0.76256
2003,Single-person household,2nd Quintile,No,0.26162,149,549,0.22482,0.29842
2003,Single-person household,3rd Quintile,Yes,0.75401,410,548,0.71791,0.79010
2003,Single-person household,3rd Quintile,No,0.23766,138,548,0.20199,0.27333
2003,Single-person household,4th Quintile,Yes,0.77307,378,490,0.73594,0.81019
2003,Single-person household,4th Quintile,No,0.21779,112,490,0.18121,0.25438
2003,Single-person household,5th Quintile,Yes,0.84792,441,511,0.81676,0.87909
2003,Single-person household,5th Quintile,No,0.14116,70,511,0.11094,0.17137
2003,Couple without children,1st Quintile,Yes,0.56675,237,423,0.51948,0.61403
2003,Couple without children,1st Quintile,No,0.41758,186,423,0.37053,0.46463
2003,Couple without children,2nd Quintile,Yes,0.79272,500,623,0.76087,0.82458
2003,Couple without children,2nd Quintile,No,0.20130,123,623,0.16979,0.23281
2003,Couple without children,3rd Quintile,Yes,0.82475,532,643,0.79534,0.85416
2003,Couple without children,3rd Quintile,No,0.16505,111,643,0.13633,0.19376
2003,Couple without children,4th Quintile,Yes,0.85446,657,772,0.82957,0.87935
2003,Couple without children,4th Quintile,No,0.14524,115,772,0.12037,0.17011
2003,Couple without children,5th Quintile,Yes,0.88963,1218,1338,0.87283,0.90643
2003,Couple without children,5th Quintile,No,0.10624,120,1338,0.08972,0.12276
2003,Single parent,1st Quintile,Yes,0.21621,68,299,0.16947,0.26295
2003,Single parent,1st Quintile,No,0.78112,231,299,0.73417,0.82807
2003,Single parent,2nd Quintile,Yes,0.45596,75,150,0.37598,0.53593
2003,Single parent,2nd Quintile,No,0.54404,75,150,0.46407,0.62402
2003,Single parent,3rd Quintile,Yes,0.72236,67,98,0.63324,0.81149
2003,Single parent,3rd Quintile,No,0.26384,31,98,0.17613,0.35154
2003,Single parent,4th Quintile,Yes,0.68015,57,57,0.55799,0.80231
2003,Single parent,5th Quintile,Yes,0.93128,60,60,0.86673,0.99583
2003,Couple with children,1st Quintile,Yes,0.30922,163,486,0.26809,0.35035
2003,Couple with children,1st Quintile,No,0.66990,323,486,0.62804,0.71175
2003,Couple with children,2nd Quintile,Yes,0.57797,492,819,0.54413,0.61182
2003,Couple with children,2nd Quintile,No,0.41261,327,819,0.37887,0.44635
2003,Couple with children,3rd Quintile,Yes,0.70149,634,881,0.67126,0.73172
2003,Couple with children,3rd Quintile,No,0.28814,247,881,0.25822,0.31806
2003,Couple with children,4th Quintile,Yes,0.81425,695,855,0.78817,0.84034
2003,Couple with children,4th Quintile,No,0.17928,160,855,0.15355,0.20501
2003,Couple with children,5th Quintile,Yes,0.85857,930,1058,0.83756,0.87958
2003,Couple with children,5th Quintile,No,0.13435,128,1058,0.11379,0.15491
2005,Single-person household,1st Quintile,Yes,0.41167,325,786,0.37724,0.44609
2005,Single-person household,1st Quintile,No,0.57617,461,786,0.54160,0.61074
2005,Single-person household,2nd Quintile,Yes,0.68212,373,554,0.64331,0.72093
2005,Single-person household,2nd Quintile,No,0.30245,181,554,0.26417,0.34073
2005,Single-person household,3rd Quintile,Yes,0.77992,396,518,0.74420,0.81563
2005,Single-person household,3rd Quintile,No,0.21162,122,518,0.17641,0.24683
2005,Single-person household,4th Quintile,Yes,0.78050,386,494,0.74396,0.81703
2005,Single-person household,4th Quintile,No,0.21627,108,494,0.17993,0.25262
2005,Single-person household,5th Quintile,Yes,0.89955,477,528,0.87388,0.92521
2005,Single-person household,5th Quintile,No,0.09723,51,528,0.07193,0.12252
2005,Couple without children,1st Quintile,Yes,0.52351,188,365,0.47220,0.57482
2005,Couple without children,1st Quintile,No,0.46119,177,365,0.40998,0.51240
2005,Couple without children,2nd Quintile,Yes,0.76295,486,629,0.72969,0.79622
2005,Couple without children,2nd Quintile,No,0.23329,143,629,0.20021,0.26637
2005,Couple without children,3rd Quintile,Yes,0.79896,505,632,0.76769,0.83023
2005,Couple without children,3rd Quintile,No,0.19157,127,632,0.16086,0.22228
2005,Couple without children,4th Quintile,Yes,0.83891,643,759,0.81274,0.86508
2005,Couple without children,4th Quintile,No,0.16014,116,759,0.13404,0.18625
2005,Couple without children,5th Quintile,Yes,0.90455,1179,1286,0.88848,0.92061
2005,Couple without children,5th Quintile,No,0.08800,107,1286,0.07251,0.10349
2005,Single parent,1st Quintile,Yes,0.22438,77,313,0.17809,0.27068
2005,Single parent,1st Quintile,No,0.76183,236,313,0.71457,0.80910
2005,Single parent,2nd Quintile,Yes,0.36038,52,132,0.27816,0.44259
2005,Single parent,2nd Quintile,No,0.62789,80,132,0.54512,0.71067
2005,Single parent,3rd Quintile,Yes,0.56198,68,108,0.46797,0.65599
2005,Single parent,3rd Quintile,No,0.43802,40,108,0.34401,0.53203
2005,Single parent,4th Quintile,Yes,0.74543,64,64,0.63786,0.85300
2005,Single parent,5th Quintile,Yes,0.87172,45,45,0.77291,0.97053
2005,Couple with children,1st Quintile,Yes,0.24484,127,449,0.20502,0.28465
2005,Couple with children,1st Quintile,No,0.73737,322,449,0.69662,0.77812
2005,Couple with children,2nd Quintile,Yes,0.55024,381,696,0.51325,0.58722
2005,Couple with children,2nd Quintile,No,0.43950,315,696,0.40260,0.47640
2005,Couple with children,3rd Quintile,Yes,0.65829,549,791,0.62522,0.69136
2005,Couple with children,3rd Quintile,No,0.33217,242,791,0.29933,0.36502
2005,Couple with children,4th Quintile,Yes,0.75288,645,818,0.72330,0.78245
2005,Couple with children,4th Quintile,No,0.23315,173,818,0.20416,0.26215
