year,hhtyp,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.74991,2159,2895,0.73413,0.76569
2001,Single-person household,No,0.23788,736,2895,0.22236,0.25339
2001,Couple without children,Yes,0.86089,3078,3562,0.84953,0.87226
2001,Couple without children,No,0.12873,484,3562,0.11773,0.13973
2001,Single parent,Yes,0.52375,383,701,0.48676,0.56075
2001,Single parent,No,0.46709,318,701,0.43013,0.50405
2001,Couple with children,Yes,0.74177,3099,4135,0.72843,0.75511
2001,Couple with children,No,0.24651,1036,4135,0.23337,0.25965
2001,Multi-generational household,Yes,0.76643,115,159,0.70045,0.83240
2001,Multi-generational household,No,0.23357,44,159,0.16760,0.29955
2001,Other Combinations,Yes,0.75189,92,92,0.66315,0.84063
2003,Single-person household,Yes,0.69530,2006,2889,0.67851,0.71209
2003,Single-person household,No,0.29443,883,2889,0.27781,0.31106
2003,Couple without children,Yes,0.81316,3144,3799,0.80077,0.82556
2003,Couple without children,No,0.18070,655,3799,0.16846,0.19294
2003,Single parent,Yes,0.44509,327,694,0.40809,0.48210
2003,Single parent,No,0.54970,367,694,0.51266,0.58675
2003,Couple with children,Yes,0.67006,2914,4099,0.65566,0.68446
2003,Couple with children,No,0.31976,1185,4099,0.30548,0.33404
2003,Multi-generational household,Yes,0.55873,84,119,0.46914,0.64832
2003,Multi-generational household,No,0.39978,35,119,0.31139,0.48816
2003,Other Combinations,Yes,0.70219,86,86,0.60497,0.79940
2005,Single-person household,Yes,0.68526,1958,2883,0.66830,0.70221
2005,Single-person household,No,0.30584,925,2883,0.28902,0.32267
2005,Couple without children,Yes,0.80171,3001,3671,0.78881,0.81460
2005,Couple without children,No,0.19178,670,3671,0.17904,0.20451
2005,Single parent,Yes,0.39377,306,690,0.35729,0.43025
2005,Single parent,No,0.59488,384,690,0.55822,0.63153
2005,Couple with children,Yes,0.62891,2506,3672,0.61328,0.64454
2005,Couple with children,No,0.35830,1166,3672,0.34279,0.37381
2005,Multi-generational household,Yes,0.59385,65,105,0.49946,0.68824
2005,Multi-generational household,No,0.39366,40,105,0.29976,0.48756
2005,Other Combinations,Yes,0.76707,77,77,0.67204,0.86211
2007,Single-person household,Yes,0.65465,2046,3083,0.63786,0.67144
2007,Single-person household,No,0.33311,1037,3083,0.31647,0.34975
2007,Couple without children,Yes,0.77080,3102,3850,0.75752,0.78408
2007,Couple without children,No,0.21882,748,3850,0.20576,0.23188
2007,Single parent,Yes,0.38373,294,710,0.34794,0.41953
2007,Single parent,No,0.61525,416,710,0.57944,0.65107
2007,Couple with children,Yes,0.62158,2393,3550,0.60563,0.63754
2007,Couple with children,No,0.36862,1157,3550,0.35274,0.38449
2007,Multi-generational household,Yes,0.65193,62,62,0.53238,0.77147
2007,Other Combinations,Yes,0.70648,68,68,0.59744,0.81552
2011,Single-person household,Yes,0.66290,2358,3486,0.64720,0.67859
2011,Single-person household,No,0.32665,1128,3486,0.31108,0.34222
2011,Couple without children,Yes,0.81293,3618,4339,0.80133,0.82454
2011,Couple without children,No,0.17713,721,4339,0.16577,0.18849
2011,Single parent,Yes,0.24060,346,779,0.21056,0.27063
2011,Single parent,No,0.27831,433,779,0.24681,0.30980
2011,Couple with children,Yes,0.58057,2341,3227,0.56354,0.59760
2011,Couple with children,No,0.20732,886,3227,0.19333,0.22131
2011,Multi-generational household,Yes,0.50496,47,83,0.39674,0.61317
2011,Multi-generational household,No,0.36816,36,83,0.26377,0.47255
2011,Other Combinations,Yes,0.60018,62,93,0.50008,0.70028
2011,Other Combinations,No,0.34639,31,93,0.24916,0.44362
2013,Single-person household,Yes,0.65075,2408,3699,0.63538,0.66612
2013,Single-person household,No,0.33362,1291,3699,0.31843,0.34882
2013,Couple without children,Yes,0.81764,3755,4566,0.80644,0.82884
2013,Couple without children,No,0.17213,811,4566,0.16118,0.18308
2013,Single parent,Yes,0.28734,417,980,0.25900,0.31569
2013,Single parent,No,0.33706,563,980,0.30745,0.36667
2013,Couple with children,Yes,0.58992,2724,4161,0.57498,0.60487
2013,Couple with children,No,0.23917,1437,4161,0.22621,0.25214
2013,Multi-generational household,Yes,0.53409,63,116,0.44292,0.62527
2013,Multi-generational household,No,0.38368,53,116,0.29481,0.47256
2013,Other Combinations,Yes,0.57714,177,340,0.52456,0.62973
2013,Other Combinations,No,0.39544,163,340,0.34339,0.44749
2015,Single-person household,Yes,0.66611,2349,3605,0.65072,0.68151
2015,Single-person household,No,0.32481,1256,3605,0.30952,0.34010
2015,Couple without children,Yes,0.82620,3567,4353,0.81494,0.83745
2015,Couple without children,No,0.16676,786,4353,0.15568,0.17783
2015,Single parent,Yes,0.44103,701,1695,0.41738,0.46467
2015,Single parent,No,0.55048,994,1695,0.52679,0.57417
2015,Couple with children,Yes,0.73055,3765,5625,0.71895,0.74214
2015,Couple with children,No,0.26249,1860,5625,0.25099,0.27399
2015,Multi-generational household,Yes,0.53091,68,139,0.44764,0.61417
2015,Multi-generational household,No,0.46271,71,139,0.37952,0.54590
2015,Other Combinations,Yes,0.67320,147,247,0.61458,0.73181
2015,Other Combinations,No,0.31819,100,247,0.25998,0.37640
2016,Single-person household,Yes,0.69976,2372,3775,0.68514,0.71438
2016,Single-person household,No,0.29072,1403,3775,0.27624,0.30521
2016,Couple without children,Yes,0.85907,3493,4131,0.84846,0.86969
2016,Couple without children,No,0.13428,638,4131,0.12388,0.14468
2016,Single parent,Yes,0.49053,733,1694,0.46672,0.51435
2016,Single parent,No,0.50532,961,1694,0.48150,0.52914
