year,regtyp,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Owner,Yes,0.88761,2756,3112,0.87651,0.89871
2001,Urban regions,Owner,No,0.09880,356,3112,0.08832,0.10929
2001,Urban regions,Tenant,Yes,0.68596,3169,4599,0.67255,0.69938
2001,Urban regions,Tenant,No,0.30229,1430,4599,0.28902,0.31557
2001,Rural regions,Owner,Yes,0.84771,1777,2104,0.83235,0.86307
2001,Rural regions,Owner,No,0.14225,327,2104,0.12732,0.15718
2001,Rural regions,Tenant,Yes,0.70241,1224,1758,0.68103,0.72379
2001,Rural regions,Tenant,No,0.28813,534,1758,0.26695,0.30930
2003,Urban regions,Owner,Yes,0.84243,3018,3531,0.83041,0.85445
2003,Urban regions,Owner,No,0.15227,513,3531,0.14042,0.16412
2003,Urban regions,Tenant,Yes,0.61770,2773,4393,0.60333,0.63207
2003,Urban regions,Tenant,No,0.37227,1620,4393,0.35798,0.38657
2003,Rural regions,Owner,Yes,0.77383,1672,2084,0.75586,0.79180
2003,Rural regions,Owner,No,0.21193,412,2084,0.19438,0.22948
2003,Rural regions,Tenant,Yes,0.64729,1098,1706,0.62461,0.66997
2003,Rural regions,Tenant,No,0.34636,608,1706,0.32378,0.36895
2005,Urban regions,Owner,Yes,0.83670,2807,3314,0.82411,0.84928
2005,Urban regions,Owner,No,0.15416,507,3314,0.14186,0.16645
2005,Urban regions,Tenant,Yes,0.59853,2566,4182,0.58367,0.61339
2005,Urban regions,Tenant,No,0.39200,1616,4182,0.37720,0.40679
2005,Rural regions,Owner,Yes,0.75487,1591,2031,0.73615,0.77358
2005,Rural regions,Owner,No,0.23271,440,2031,0.21433,0.25109
2005,Rural regions,Tenant,Yes,0.60535,949,1592,0.58133,0.62936
2005,Rural regions,Tenant,No,0.38865,643,1592,0.36470,0.41261
2007,Urban regions,Owner,Yes,0.82286,2906,3447,0.81011,0.83560
2007,Urban regions,Owner,No,0.16673,541,3447,0.15428,0.17917
2007,Urban regions,Tenant,Yes,0.57573,2454,4111,0.56062,0.59084
2007,Urban regions,Tenant,No,0.41489,1657,4111,0.39982,0.42995
2007,Rural regions,Owner,Yes,0.74322,1644,2128,0.72465,0.76179
2007,Rural regions,Owner,No,0.23766,484,2128,0.21957,0.25575
2007,Rural regions,Tenant,Yes,0.55250,961,1687,0.52877,0.57624
2007,Rural regions,Tenant,No,0.44390,726,1687,0.42019,0.46762
2011,Urban regions,Owner,Yes,0.80255,3095,3572,0.78949,0.81560
2011,Urban regions,Owner,No,0.13204,477,3572,0.12093,0.14314
2011,Urban regions,Tenant,Yes,0.57096,2662,4251,0.55608,0.58584
2011,Urban regions,Tenant,No,0.33234,1589,4251,0.31818,0.34650
2011,Rural regions,Owner,Yes,0.76291,1924,2336,0.74566,0.78016
2011,Rural regions,Owner,No,0.16444,412,2336,0.14940,0.17947
2011,Rural regions,Tenant,Yes,0.52380,1091,1848,0.50103,0.54658
2011,Rural regions,Tenant,No,0.37128,757,1848,0.34924,0.39331
2013,Urban regions,Owner,Yes,0.81049,3170,3724,0.79790,0.82308
2013,Urban regions,Owner,No,0.13311,554,3724,0.12220,0.14402
