year,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1999,5. Quintil,,,,,,,,,,,,
2000,-6,,,,,,,,,,,,
2000,1. Quintil,,,,,,,,,,,,
2000,2. Quintil,,,,,,,,,,,,
2000,3. Quintil,,,,,,,,,,,,
2000,4. Quintil,,,,,,,,,,,,
2000,5. Quintil,,,,,,,,,,,,
2001,-6,,,,,,,,,,,,
2001,1. Quintil,,,,,,,,,,,,
2001,2. Quintil,,,,,,,,,,,,
2001,3. Quintil,,,,,,,,,,,,
2001,4. Quintil,,,,,,,,,,,,
2001,5. Quintil,,,,,,,,,,,,
2002,-6,,,,,,,,,,,,
2002,1. Quintil,,,,,,,,,,,,
2002,2. Quintil,,,,,,,,,,,,
2002,3. Quintil,,,,,,,,,,,,
2002,4. Quintil,,,,,,,,,,,,
2002,5. Quintil,,,,,,,,,,,,
2003,-6,,,,,,,,,,,,
2003,1. Quintil,,,,,,,,,,,,
2003,2. Quintil,,,,,,,,,,,,
2003,3. Quintil,,,,,,,,,,,,
2003,4. Quintil,,,,,,,,,,,,
2003,5. Quintil,,,,,,,,,,,,
2004,-6,,,,,,,,,,,,
2004,1. Quintil,,,,,,,,,,,,
2004,2. Quintil,,,,,,,,,,,,
2004,3. Quintil,,,,,,,,,,,,
2004,4. Quintil,,,,,,,,,,,,
2004,5. Quintil,,,,,,,,,,,,
2005,-6,,,,,,,,,,,,
2005,1. Quintil,4.749397545672524,4.713831317576912,4.784963773768136,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,2200.0
2005,2. Quintil,4.8173052827175304,4.790594806267788,4.844015759167273,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,3297.0
2005,3. Quintil,4.7882494134350155,4.7639047287182255,4.812594098151806,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,4135.0
2005,4. Quintil,4.792716875250349,4.76817166397159,4.817262086529108,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,4647.0
2005,5. Quintil,4.980889082147318,4.9576782232338745,5.004099941060761,4.0,5.0,6.0,1.0,9.0,5.0,5.0,5.0,5287.0
2006,-6,,,,,,,,,,,,
2006,1. Quintil,,,,,,,,,,,,
2006,2. Quintil,,,,,,,,,,,,
2006,3. Quintil,,,,,,,,,,,,
2006,4. Quintil,,,,,,,,,,,,
2006,5. Quintil,,,,,,,,,,,,
2007,-6,,,,,,,,,,,,
2007,1. Quintil,,,,,,,,,,,,
2007,2. Quintil,,,,,,,,,,,,
2007,3. Quintil,,,,,,,,,,,,
2007,4. Quintil,,,,,,,,,,,,
2007,5. Quintil,,,,,,,,,,,,
2008,-6,,,,,,,,,,,,
2008,1. Quintil,,,,,,,,,,,,
2008,2. Quintil,,,,,,,,,,,,
2008,3. Quintil,,,,,,,,,,,,
2008,4. Quintil,,,,,,,,,,,,
2008,5. Quintil,,,,,,,,,,,,
2009,-6,,,,,,,,,,,,
2009,1. Quintil,4.61184927152789,4.574497583583277,4.649200959472504,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,1792.0
2009,2. Quintil,4.8428921043854265,4.811796487383808,4.873987721387045,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,2545.0
2009,3. Quintil,4.744058505884694,4.71746730112165,4.770649710647738,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,3460.0
2009,4. Quintil,4.7067075707443005,4.682417304879071,4.7309978366095295,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,4234.0
2009,5. Quintil,4.909762280394213,4.88822725024909,4.931297310539336,4.0,5.0,6.0,1.0,9.0,5.0,5.0,5.0,5386.0
2010,-6,,,,,,,,,,,,
2010,1. Quintil,,,,,,,,,,,,
2010,2. Quintil,,,,,,,,,,,,
2010,3. Quintil,,,,,,,,,,,,
2010,4. Quintil,,,,,,,,,,,,
2010,5. Quintil,,,,,,,,,,,,
2011,-6,,,,,,,,,,,,
2011,1. Quintil,,,,,,,,,,,,
2011,2. Quintil,,,,,,,,,,,,
2011,3. Quintil,,,,,,,,,,,,
2011,4. Quintil,,,,,,,,,,,,
2011,5. Quintil,,,,,,,,,,,,
2012,-6,,,,,,,,,,,,
2012,1. Quintil,,,,,,,,,,,,
2012,2. Quintil,,,,,,,,,,,,
2012,3. Quintil,,,,,,,,,,,,
2012,4. Quintil,,,,,,,,,,,,
2012,5. Quintil,,,,,,,,,,,,
2013,-6,,,,,,,,,,,,
2013,1. Quintil,,,,,,,,,,,,
2013,2. Quintil,,,,,,,,,,,,
2013,3. Quintil,,,,,,,,,,,,
2013,4. Quintil,,,,,,,,,,,,
2013,5. Quintil,,,,,,,,,,,,
2014,-6,,,,,,,,,,,,
2014,1. Quintil,4.618041924320127,4.5873457103866135,4.64873813825364,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,2566.0
2014,2. Quintil,4.704354391625924,4.678953691671694,4.729755091580154,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,3946.0
2014,3. Quintil,4.772200349659138,4.750982075415104,4.793418623903172,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,4991.0
2014,4. Quintil,4.773970705304056,4.755621406116574,4.792320004491539,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,6185.0
2014,5. Quintil,4.792912811542254,4.775930120863314,4.809895502221194,4.0,5.0,6.0,1.0,9.0,5.0,5.0,5.0,7864.0
2015,-6,,,,,,,,,,,,
2015,1. Quintil,,,,,,,,,,,,
2015,2. Quintil,,,,,,,,,,,,
2015,3. Quintil,,,,,,,,,,,,
2015,4. Quintil,,,,,,,,,,,,
2015,5. Quintil,,,,,,,,,,,,
2016,-6,,,,,,,,,,,,
2016,1. Quintil,,,,,,,,,,,,
2016,2. Quintil,,,,,,,,,,,,
2016,3. Quintil,,,,,,,,,,,,
2016,4. Quintil,,,,,,,,,,,,
2016,5. Quintil,,,,,,,,,,,,
2017,-6,,,,,,,,,,,,
2017,1. Quintil,,,,,,,,,,,,
2017,2. Quintil,,,,,,,,,,,,
2017,3. Quintil,,,,,,,,,,,,
2017,4. Quintil,,,,,,,,,,,,
2017,5. Quintil,,,,,,,,,,,,
2018,-6,,,,,,,,,,,,
2018,1. Quintil,,,,,,,,,,,,
2018,2. Quintil,,,,,,,,,,,,
2018,3. Quintil,,,,,,,,,,,,
2018,4. Quintil,,,,,,,,,,,,
2018,5. Quintil,,,,,,,,,,,,
2019,-6,,,,,,,,,,,,
2019,1. Quintil,4.4423625534605335,4.400422900339709,4.484302206581358,3.0,5.0,5.0,0.0,8.0,5.0,5.0,5.0,1415.0
2019,2. Quintil,4.680161337423663,4.645509394352155,4.7148132804951715,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,2087.0
2019,3. Quintil,4.665019705486055,4.638959742657875,4.691079668314236,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,3540.0
2019,4. Quintil,4.6850923151507455,4.664833678162247,4.705350952139244,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,5722.0
2019,5. Quintil,4.637529669896615,4.623615731165892,4.651443608627338,4.0,5.0,5.0,2.5,6.5,5.0,5.0,5.0,11754.0
2020,-6,,,,,,,,,,,,
2020,1. Quintil,,,,,,,,,,,,
2020,2. Quintil,,,,,,,,,,,,
2020,3. Quintil,,,,,,,,,,,,
2020,4. Quintil,,,,,,,,,,,,
2020,5. Quintil,,,,,,,,,,,,
2021,-6,,,,,,,,,,,,
2021,1. Quintil,,,,,,,,,,,,
2021,2. Quintil,,,,,,,,,,,,
2021,3. Quintil,,,,,,,,,,,,
2021,4. Quintil,,,,,,,,,,,,
2021,5. Quintil,,,,,,,,,,,,
