year,pgisced97,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-5,,,,,,,,,,,,
1984,-1,4.781078243725384,4.310630656160381,5.251525831290387,2.0,4.0,8.0,1.0,16.0,4.0,0.0,5.0,40.0
1984,in school,1.4746460589406278,1.3164483373656402,1.6328437805156155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0
1984,inadequately,5.3593276434746056,5.219978754811438,5.4986765321377735,2.0,4.0,8.0,1.0,17.0,4.0,3.0,5.0,716.0
1984,general elemantary,5.018940568410934,4.958104353092738,5.07977678372913,2.0,4.0,7.0,1.0,14.5,4.0,3.0,4.0,2577.0
1984,middle vocational,4.0290109926080175,3.979602398443112,4.078419586772923,1.0,3.0,6.0,1.0,13.5,3.0,3.0,3.0,3961.0
1984,vocational + Abi,2.674456925897242,2.494175292277249,2.8547385595172354,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0,217.0
1984,higher vocational,3.876401681832967,3.719659757959859,4.0331436057060746,1.0,2.0,5.0,1.0,11.0,2.0,1.0,2.0,463.0
1984,higher education,2.870334514141595,2.7651822428313704,2.975486785451819,1.0,2.0,4.0,1.0,8.5,2.0,2.0,2.0,545.0
1985,-5,,,,,,,,,,,,
1985,-1,2.130703998499975,1.8837920332348421,2.377615963765108,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0,96.0
1985,in school,0.9353599254322494,0.8515317485067111,1.0191881023577878,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0,82.0
1985,inadequately,3.1203276107218216,3.0189424737622863,3.221712747681357,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0,771.0
1985,general elemantary,3.629087290246589,3.578838025042784,3.6793365554503943,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0,2793.0
1985,middle vocational,2.6269617409099486,2.5934581776854673,2.66046530413443,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0,4874.0
