year,age_gr,regtyp,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Urban regions,At least once per week,0.09216,245,2133,0.07988,0.10444
1990,17-29 y.,Urban regions,At least once per month,0.12505,291,2133,0.11101,0.13910
1990,17-29 y.,Urban regions,Seldom,0.30642,647,2133,0.28686,0.32599
1990,17-29 y.,Urban regions,Never,0.36446,950,2133,0.34403,0.38489
1990,17-29 y.,Rural regions,At least once per week,0.07797,77,566,0.05586,0.10008
1990,17-29 y.,Rural regions,At least once per month,0.08231,72,566,0.05965,0.10498
1990,17-29 y.,Rural regions,Seldom,0.21353,205,566,0.17974,0.24732
1990,17-29 y.,Rural regions,Never,0.20513,212,566,0.17183,0.23842
1990,30-45 y.,Urban regions,At least once per week,0.06709,157,2227,0.05670,0.07748
1990,30-45 y.,Urban regions,At least once per month,0.08596,217,2227,0.07431,0.09760
1990,30-45 y.,Urban regions,Seldom,0.28258,624,2227,0.26388,0.30129
1990,30-45 y.,Urban regions,Never,0.46008,1229,2227,0.43937,0.48078
1990,30-45 y.,Rural regions,At least once per week,0.06450,58,547,0.04389,0.08510
1990,30-45 y.,Rural regions,At least once per month,0.05985,52,547,0.03995,0.07975
1990,30-45 y.,Rural regions,Seldom,0.18745,165,547,0.15471,0.22019
1990,30-45 y.,Rural regions,Never,0.26290,272,547,0.22598,0.29983
1990,46-65 y.,Urban regions,At least once per week,0.03956,97,2303,0.03159,0.04752
1990,46-65 y.,Urban regions,At least once per month,0.07131,172,2303,0.06080,0.08183
1990,46-65 y.,Urban regions,Seldom,0.20043,454,2303,0.18408,0.21679
1990,46-65 y.,Urban regions,Never,0.58190,1580,2303,0.56175,0.60205
1990,46-65 y.,Rural regions,At least once per week,0.03672,37,590,0.02153,0.05191
1990,46-65 y.,Rural regions,At least once per month,0.03706,35,590,0.02181,0.05232
1990,46-65 y.,Rural regions,Seldom,0.17333,161,590,0.14276,0.20390
1990,46-65 y.,Rural regions,Never,0.34795,357,590,0.30948,0.38642
1990,66 and older,Urban regions,Seldom,0.06812,65,748,0.05005,0.08619
1990,66 and older,Urban regions,Never,0.80581,683,748,0.77744,0.83418
1990,66 and older,Rural regions,Never,0.54681,216,216,0.48026,0.61335
1995,17-29 y.,Urban regions,At least once per week,0.08118,185,2192,0.06975,0.09262
1995,17-29 y.,Urban regions,At least once per month,0.13309,292,2192,0.11887,0.14732
1995,17-29 y.,Urban regions,Seldom,0.32427,679,2192,0.30467,0.34387
1995,17-29 y.,Urban regions,Never,0.44292,1036,2192,0.42212,0.46372
1995,17-29 y.,Rural regions,At least once per week,0.10355,104,1115,0.08565,0.12144
1995,17-29 y.,Rural regions,At least once per month,0.11409,124,1115,0.09542,0.13275
1995,17-29 y.,Rural regions,Seldom,0.37913,434,1115,0.35064,0.40763
1995,17-29 y.,Rural regions,Never,0.39345,453,1115,0.36476,0.42213
1995,30-45 y.,Urban regions,At least once per week,0.04977,141,2861,0.04180,0.05774
1995,30-45 y.,Urban regions,At least once per month,0.07868,220,2861,0.06882,0.08855
1995,30-45 y.,Urban regions,Seldom,0.33240,875,2861,0.31514,0.34967
1995,30-45 y.,Urban regions,Never,0.53243,1625,2861,0.51414,0.55071
1995,30-45 y.,Rural regions,At least once per week,0.04788,63,1551,0.03725,0.05851
1995,30-45 y.,Rural regions,At least once per month,0.08916,125,1551,0.07498,0.10335
1995,30-45 y.,Rural regions,Seldom,0.33506,477,1551,0.31156,0.35855
1995,30-45 y.,Rural regions,Never,0.51914,886,1551,0.49426,0.54401
1995,46-65 y.,Urban regions,At least once per week,0.04565,96,2576,0.03759,0.05371
1995,46-65 y.,Urban regions,At least once per month,0.04899,135,2576,0.04065,0.05733
1995,46-65 y.,Urban regions,Seldom,0.25215,588,2576,0.23537,0.26892
1995,46-65 y.,Urban regions,Never,0.64471,1757,2576,0.62622,0.66319
1995,46-65 y.,Rural regions,At least once per week,0.04383,58,1359,0.03294,0.05472
1995,46-65 y.,Rural regions,At least once per month,0.07223,88,1359,0.05846,0.08599
1995,46-65 y.,Rural regions,Seldom,0.25561,364,1359,0.23241,0.27881
1995,46-65 y.,Rural regions,Never,0.62209,849,1359,0.59630,0.64788
1995,66 and older,Urban regions,Seldom,0.07667,82,963,0.05986,0.09348
1995,66 and older,Urban regions,Never,0.87652,881,963,0.85573,0.89731
1995,66 and older,Rural regions,Seldom,0.12856,59,476,0.09846,0.15866
1995,66 and older,Rural regions,Never,0.79048,417,476,0.75388,0.82708
1998,17-29 y.,Urban regions,At least once per week,0.08468,166,2036,0.07258,0.09677
1998,17-29 y.,Urban regions,At least once per month,0.12649,253,2036,0.11205,0.14094
1998,17-29 y.,Urban regions,Seldom,0.37320,730,2036,0.35219,0.39421
1998,17-29 y.,Urban regions,Never,0.40324,887,2036,0.38193,0.42456
1998,17-29 y.,Rural regions,At least once per week,0.10287,106,1094,0.08486,0.12088
1998,17-29 y.,Rural regions,At least once per month,0.13464,143,1094,0.11440,0.15488
1998,17-29 y.,Rural regions,Seldom,0.36659,425,1094,0.33802,0.39516
1998,17-29 y.,Rural regions,Never,0.37618,420,1094,0.34746,0.40490
1998,30-45 y.,Urban regions,At least once per week,0.05881,169,3151,0.05059,0.06703
1998,30-45 y.,Urban regions,At least once per month,0.08757,272,3151,0.07769,0.09744
1998,30-45 y.,Urban regions,Seldom,0.36765,1117,3151,0.35081,0.38449
1998,30-45 y.,Urban regions,Never,0.47916,1593,3151,0.46171,0.49660
1998,30-45 y.,Rural regions,At least once per week,0.07407,104,1645,0.06141,0.08673
1998,30-45 y.,Rural regions,At least once per month,0.09067,140,1645,0.07679,0.10455
1998,30-45 y.,Rural regions,Seldom,0.34096,566,1645,0.31804,0.36387
1998,30-45 y.,Rural regions,Never,0.48675,835,1645,0.46259,0.51091
1998,46-65 y.,Urban regions,At least once per week,0.03112,85,2774,0.02465,0.03758
1998,46-65 y.,Urban regions,At least once per month,0.06455,159,2774,0.05541,0.07370
1998,46-65 y.,Urban regions,Seldom,0.28194,726,2774,0.26520,0.29869
1998,46-65 y.,Urban regions,Never,0.60898,1804,2774,0.59082,0.62714
1998,46-65 y.,Rural regions,At least once per week,0.04594,62,1569,0.03558,0.05630
1998,46-65 y.,Rural regions,At least once per month,0.06550,99,1569,0.05326,0.07775
1998,46-65 y.,Rural regions,Seldom,0.29291,463,1569,0.27038,0.31543
1998,46-65 y.,Rural regions,Never,0.58471,945,1569,0.56032,0.60910
1998,66 and older,Urban regions,At least once per month,0.02692,33,1192,0.01772,0.03611
1998,66 and older,Urban regions,Seldom,0.10583,140,1192,0.08836,0.12330
1998,66 and older,Urban regions,Never,0.82366,1019,1192,0.80202,0.84531
1998,66 and older,Rural regions,Seldom,0.14246,85,575,0.11387,0.17106
1998,66 and older,Rural regions,Never,0.79048,490,575,0.75719,0.82377
2003,17-29 y.,Urban regions,At least once per week,0.08023,218,2580,0.06974,0.09071
2003,17-29 y.,Urban regions,At least once per month,0.13622,379,2580,0.12298,0.14945
2003,17-29 y.,Urban regions,Seldom,0.31389,860,2580,0.29598,0.33180
2003,17-29 y.,Urban regions,Never,0.45129,1123,2580,0.43208,0.47049
2003,17-29 y.,Rural regions,At least once per week,0.09354,123,1377,0.07815,0.10892
2003,17-29 y.,Rural regions,At least once per month,0.12172,170,1377,0.10444,0.13899
2003,17-29 y.,Rural regions,Seldom,0.37889,530,1377,0.35326,0.40452
2003,17-29 y.,Rural regions,Never,0.40124,554,1377,0.37534,0.42714
2003,30-45 y.,Urban regions,At least once per week,0.05720,272,4631,0.05052,0.06389
2003,30-45 y.,Urban regions,At least once per month,0.08796,410,4631,0.07981,0.09612
2003,30-45 y.,Urban regions,Seldom,0.33784,1553,4631,0.32421,0.35146
2003,30-45 y.,Urban regions,Never,0.50869,2396,4631,0.49429,0.52309
2003,30-45 y.,Rural regions,At least once per week,0.05915,141,2249,0.04940,0.06890
2003,30-45 y.,Rural regions,At least once per month,0.09738,208,2249,0.08512,0.10963
2003,30-45 y.,Rural regions,Seldom,0.36162,805,2249,0.34176,0.38148
2003,30-45 y.,Rural regions,Never,0.47405,1095,2249,0.45341,0.49469
2003,46-65 y.,Urban regions,At least once per week,0.03540,184,4996,0.03027,0.04052
2003,46-65 y.,Urban regions,At least once per month,0.06147,314,4996,0.05481,0.06814
2003,46-65 y.,Urban regions,Seldom,0.27490,1471,4996,0.26252,0.28728
2003,46-65 y.,Urban regions,Never,0.61452,3027,4996,0.60102,0.62802
2003,46-65 y.,Rural regions,At least once per week,0.03997,100,2505,0.03230,0.04765
2003,46-65 y.,Rural regions,At least once per month,0.07317,177,2505,0.06297,0.08337
2003,46-65 y.,Rural regions,Seldom,0.30104,761,2505,0.28307,0.31900
2003,46-65 y.,Rural regions,Never,0.57537,1467,2505,0.55601,0.59473
2003,66 and older,Urban regions,At least once per week,0.01457,38,2370,0.00975,0.01940
2003,66 and older,Urban regions,At least once per month,0.02545,74,2370,0.01911,0.03180
2003,66 and older,Urban regions,Seldom,0.14149,335,2370,0.12746,0.15553
2003,66 and older,Urban regions,Never,0.80503,1923,2370,0.78908,0.82099
2003,66 and older,Rural regions,At least once per month,0.02622,41,1218,0.01724,0.03520
2003,66 and older,Rural regions,Seldom,0.15159,204,1218,0.13144,0.17174
2003,66 and older,Rural regions,Never,0.79506,973,1218,0.77238,0.81774
2008,17-29 y.,Urban regions,At least once per week,0.08818,186,2056,0.07592,0.10043
2008,17-29 y.,Urban regions,At least once per month,0.11669,268,2056,0.10280,0.13057
2008,17-29 y.,Urban regions,Seldom,0.32880,732,2056,0.30849,0.34911
2008,17-29 y.,Urban regions,Never,0.38020,870,2056,0.35921,0.40119
2008,17-29 y.,Rural regions,At least once per week,0.11373,117,1051,0.09453,0.13294
2008,17-29 y.,Rural regions,At least once per month,0.12725,123,1051,0.10709,0.14741
2008,17-29 y.,Rural regions,Seldom,0.28894,357,1051,0.26152,0.31636
2008,17-29 y.,Rural regions,Never,0.38782,454,1051,0.35834,0.41729
2008,30-45 y.,Urban regions,At least once per week,0.04511,173,3434,0.03817,0.05205
2008,30-45 y.,Urban regions,At least once per month,0.10854,358,3434,0.09814,0.11895
2008,30-45 y.,Urban regions,Seldom,0.36160,1222,3434,0.34553,0.37768
2008,30-45 y.,Urban regions,Never,0.48123,1681,3434,0.46451,0.49794
2008,30-45 y.,Rural regions,At least once per week,0.06244,111,1715,0.05098,0.07389
2008,30-45 y.,Rural regions,At least once per month,0.10261,177,1715,0.08824,0.11697
2008,30-45 y.,Rural regions,Seldom,0.35434,598,1715,0.33169,0.37698
2008,30-45 y.,Rural regions,Never,0.47407,829,1715,0.45043,0.49771
2008,46-65 y.,Urban regions,At least once per week,0.03099,139,4308,0.02582,0.03617
2008,46-65 y.,Urban regions,At least once per month,0.07400,322,4308,0.06618,0.08182
2008,46-65 y.,Urban regions,Seldom,0.28662,1323,4308,0.27311,0.30012
2008,46-65 y.,Urban regions,Never,0.60078,2524,4308,0.58616,0.61541
2008,46-65 y.,Rural regions,At least once per week,0.04877,104,2358,0.04008,0.05747
2008,46-65 y.,Rural regions,At least once per month,0.06357,181,2358,0.05372,0.07342
2008,46-65 y.,Rural regions,Seldom,0.30064,712,2358,0.28213,0.31916
2008,46-65 y.,Rural regions,Never,0.58278,1361,2358,0.56288,0.60269
2008,66 and older,Urban regions,At least once per week,0.01938,52,2777,0.01425,0.02451
2008,66 and older,Urban regions,At least once per month,0.04069,112,2777,0.03334,0.04804
2008,66 and older,Urban regions,Seldom,0.16797,519,2777,0.15407,0.18188
2008,66 and older,Urban regions,Never,0.76205,2094,2777,0.74621,0.77789
2008,66 and older,Rural regions,At least once per week,0.02727,36,1484,0.01898,0.03556
2008,66 and older,Rural regions,At least once per month,0.03682,63,1484,0.02724,0.04641
2008,66 and older,Rural regions,Seldom,0.16556,276,1484,0.14664,0.18447
2008,66 and older,Rural regions,Never,0.76102,1109,1484,0.73931,0.78272
2013,17-29 y.,Urban regions,At least once per week,0.09709,240,2300,0.08499,0.10920
2013,17-29 y.,Urban regions,At least once per month,0.11515,330,2300,0.10210,0.12820
2013,17-29 y.,Urban regions,Seldom,0.23310,731,2300,0.21582,0.25038
2013,17-29 y.,Urban regions,Never,0.27728,999,2300,0.25898,0.29558
2013,17-29 y.,Rural regions,At least once per week,0.09971,142,1235,0.08299,0.11642
2013,17-29 y.,Rural regions,At least once per month,0.12306,165,1235,0.10473,0.14139
2013,17-29 y.,Rural regions,Seldom,0.29350,416,1235,0.26809,0.31891
2013,17-29 y.,Rural regions,Never,0.27887,512,1235,0.25385,0.30390
2013,30-45 y.,Urban regions,At least once per week,0.05148,387,5106,0.04542,0.05754
2013,30-45 y.,Urban regions,At least once per month,0.08765,533,5106,0.07990,0.09541
2013,30-45 y.,Urban regions,Seldom,0.28562,1614,5106,0.27323,0.29801
2013,30-45 y.,Urban regions,Never,0.38188,2572,5106,0.36855,0.39521
2013,30-45 y.,Rural regions,At least once per week,0.05937,220,2862,0.05071,0.06803
2013,30-45 y.,Rural regions,At least once per month,0.11335,328,2862,0.10173,0.12497
2013,30-45 y.,Rural regions,Seldom,0.31747,929,2862,0.30042,0.33453
2013,30-45 y.,Rural regions,Never,0.39497,1385,2862,0.37706,0.41288
2013,46-65 y.,Urban regions,At least once per week,0.04113,287,5523,0.03589,0.04636
2013,46-65 y.,Urban regions,At least once per month,0.07789,499,5523,0.07083,0.08496
2013,46-65 y.,Urban regions,Seldom,0.30246,1754,5523,0.29035,0.31458
2013,46-65 y.,Urban regions,Never,0.50694,2983,5523,0.49375,0.52012
2013,46-65 y.,Rural regions,At least once per week,0.05918,210,3421,0.05127,0.06709
2013,46-65 y.,Rural regions,At least once per month,0.08526,306,3421,0.07590,0.09462
2013,46-65 y.,Rural regions,Seldom,0.31778,1110,3421,0.30217,0.33338
2013,46-65 y.,Rural regions,Never,0.49410,1795,3421,0.47735,0.51086
2013,66 and older,Urban regions,At least once per week,0.02298,75,3135,0.01773,0.02822
2013,66 and older,Urban regions,At least once per month,0.04823,172,3135,0.04073,0.05573
2013,66 and older,Urban regions,Seldom,0.18901,665,3135,0.17530,0.20272
2013,66 and older,Urban regions,Never,0.71369,2223,3135,0.69786,0.72951
2013,66 and older,Rural regions,At least once per week,0.02712,52,1752,0.01951,0.03473
2013,66 and older,Rural regions,At least once per month,0.04890,100,1752,0.03880,0.05900
2013,66 and older,Rural regions,Seldom,0.20429,412,1752,0.18540,0.22317
2013,66 and older,Rural regions,Never,0.69575,1188,1752,0.67420,0.71730
2017,17-29 y.,Urban regions,At least once per week,0.00142,59,980,-0.00094,0.00377
2017,17-29 y.,Urban regions,At least once per month,0.00144,68,980,-0.00094,0.00381
2017,17-29 y.,Urban regions,Seldom,0.00303,161,980,-0.00041,0.00647
2017,17-29 y.,Urban regions,Never,0.01184,692,980,0.00506,0.01861
2017,17-29 y.,Rural regions,At least once per week,0.00180,40,412,-0.00230,0.00590
2017,17-29 y.,Rural regions,Seldom,0.00269,64,412,-0.00232,0.00770
2017,17-29 y.,Rural regions,Never,0.01516,308,412,0.00335,0.02698
2017,30-45 y.,Urban regions,At least once per week,0.00059,68,1286,-0.00074,0.00191
2017,30-45 y.,Urban regions,At least once per month,0.00050,61,1286,-0.00072,0.00173
2017,30-45 y.,Urban regions,Seldom,0.00177,213,1286,-0.00053,0.00406
2017,30-45 y.,Urban regions,Never,0.00731,944,1286,0.00265,0.01196
2017,30-45 y.,Rural regions,At least once per week,0.00066,40,537,-0.00151,0.00283
2017,30-45 y.,Rural regions,Seldom,0.00173,91,537,-0.00179,0.00526
2017,30-45 y.,Rural regions,Never,0.00790,406,537,0.00040,0.01539
2017,46-65 y.,Urban regions,Seldom,0.00035,59,390,-0.00151,0.00222
2017,46-65 y.,Urban regions,Never,0.00194,331,390,-0.00243,0.00631
2017,46-65 y.,Rural regions,Never,0.00153,138,138,-0.00501,0.00807
2018,17-29 y.,Urban regions,At least once per week,0.00192,77,747,-0.00122,0.00506
2018,17-29 y.,Urban regions,At least once per month,0.00193,70,747,-0.00122,0.00509
2018,17-29 y.,Urban regions,Seldom,0.00400,158,747,-0.00053,0.00853
2018,17-29 y.,Urban regions,Never,0.01021,442,747,0.00300,0.01743
2018,17-29 y.,Rural regions,Seldom,0.00486,65,227,-0.00421,0.01392
2018,17-29 y.,Rural regions,Never,0.01097,162,227,-0.00261,0.02454
2018,30-45 y.,Urban regions,At least once per week,0.00059,79,1123,-0.00083,0.00202
2018,30-45 y.,Urban regions,At least once per month,0.00080,97,1123,-0.00085,0.00245
2018,30-45 y.,Urban regions,Seldom,0.00217,220,1123,-0.00055,0.00488
2018,30-45 y.,Urban regions,Never,0.00743,727,1123,0.00240,0.01245
2018,30-45 y.,Rural regions,At least once per week,0.00080,34,427,-0.00189,0.00349
2018,30-45 y.,Rural regions,At least once per month,0.00071,31,427,-0.00182,0.00324
2018,30-45 y.,Rural regions,Seldom,0.00153,65,427,-0.00218,0.00523
2018,30-45 y.,Rural regions,Never,0.00671,297,427,-0.00104,0.01447
2018,46-65 y.,Urban regions,At least once per month,0.00025,41,378,-0.00134,0.00184
2018,46-65 y.,Urban regions,Seldom,0.00030,73,378,-0.00145,0.00205
2018,46-65 y.,Urban regions,Never,0.00177,264,378,-0.00247,0.00602
2018,46-65 y.,Rural regions,Never,0.00121,87,87,-0.00614,0.00857
2019,17-29 y.,Urban regions,At least once per week,0.08173,309,3211,0.07225,0.09121
2019,17-29 y.,Urban regions,At least once per month,0.12151,376,3211,0.11021,0.13281
2019,17-29 y.,Urban regions,Seldom,0.31798,985,3211,0.30187,0.33409
2019,17-29 y.,Urban regions,Never,0.40670,1541,3211,0.38970,0.42369
2019,17-29 y.,Rural regions,At least once per week,0.10794,158,1395,0.09165,0.12423
2019,17-29 y.,Rural regions,At least once per month,0.13738,180,1395,0.11931,0.15545
2019,17-29 y.,Rural regions,Seldom,0.27273,420,1395,0.24935,0.29611
2019,17-29 y.,Rural regions,Never,0.37470,637,1395,0.34929,0.40011
2019,30-45 y.,Urban regions,At least once per week,0.05136,374,5172,0.04534,0.05738
2019,30-45 y.,Urban regions,At least once per month,0.12113,513,5172,0.11224,0.13003
2019,30-45 y.,Urban regions,Seldom,0.32976,1524,5172,0.31695,0.34258
2019,30-45 y.,Urban regions,Never,0.49271,2761,5172,0.47908,0.50634
2019,30-45 y.,Rural regions,At least once per week,0.07393,219,2498,0.06367,0.08419
2019,30-45 y.,Rural regions,At least once per month,0.13802,284,2498,0.12449,0.15155
2019,30-45 y.,Rural regions,Seldom,0.34811,786,2498,0.32943,0.36680
