"plb0219","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","kein Migrationshintergrund","39","0.58806554368594","0.470213364728882","0.705917722642997"
"Nein, nie","2005","(noch) kein Abschluss","direkter Migrationshintergrund","33","0.795513125260073","0.677671634583666","0.913354615936481"
"Nein, nie","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Nein, nie","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Hauptschule","kein Migrationshintergrund","1469","0.658349189741567","0.63873535122956","0.677963028253574"
"Nein, nie","2005","Hauptschule","direkter Migrationshintergrund","412","0.714810359474617","0.677348159016868","0.752272559932366"
"Nein, nie","2005","Hauptschule","indirekter Migrationshintergrund","108","0.665162419883881","0.590137205228807","0.740187634538955"
"Nein, nie","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Realschule","kein Migrationshintergrund","2007","0.609801695561866","0.592874315230162","0.62672907589357"
"Nein, nie","2005","Realschule","direkter Migrationshintergrund","83","0.76674396728407","0.688422519677282","0.845065414890858"
"Nein, nie","2005","Realschule","indirekter Migrationshintergrund","92","0.661955586873661","0.582453240888421","0.741457932858902"
"Nein, nie","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","(Fach-)Abitur","kein Migrationshintergrund","700","0.645418258537095","0.616821114236856","0.674015402837333"
"Nein, nie","2005","(Fach-)Abitur","direkter Migrationshintergrund","138","0.646386463495502","0.582480788207913","0.71029213878309"
"Nein, nie","2005","(Fach-)Abitur","indirekter Migrationshintergrund","49","0.662436413485093","0.555415820215969","0.769457006754218"
"Nein, nie","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","AkademikerIn","kein Migrationshintergrund","1366","0.505149629753727","0.48581601732931","0.524483242178144"
"Nein, nie","2005","AkademikerIn","direkter Migrationshintergrund","132","0.607126921117151","0.540271436531475","0.673982405702826"
"Nein, nie","2005","AkademikerIn","indirekter Migrationshintergrund","30","0.456985171964803","0.32412093129043","0.589849412639176"
"Nein, nie","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","kein Migrationshintergrund","10","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","Hauptschule","kein Migrationshintergrund","125","0.0592540817568903","0.0494898400265329","0.0690183234872476"
"Ja, jede Woche","2005","Hauptschule","direkter Migrationshintergrund","29","","",""
"Ja, jede Woche","2005","Hauptschule","indirekter Migrationshintergrund","9","","",""
"Ja, jede Woche","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","Realschule","kein Migrationshintergrund","134","0.0458851134626683","0.0386242379570017","0.0531459889683349"
"Ja, jede Woche","2005","Realschule","direkter Migrationshintergrund","3","","",""
"Ja, jede Woche","2005","Realschule","indirekter Migrationshintergrund","9","","",""
"Ja, jede Woche","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","kein Migrationshintergrund","46","0.0387169740604951","0.02718456072794","0.0502493873930501"
"Ja, jede Woche","2005","(Fach-)Abitur","direkter Migrationshintergrund","7","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","indirekter Migrationshintergrund","8","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","AkademikerIn","kein Migrationshintergrund","234","0.0917070163130856","0.080546602433549","0.102867430192622"
"Ja, jede Woche","2005","AkademikerIn","direkter Migrationshintergrund","16","","",""
"Ja, jede Woche","2005","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Ja, jede Woche","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","kein Migrationshintergrund","6","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","kein Migrationshintergrund","195","0.0872837881315623","0.0756109116336898","0.0989566646294348"
"Ja, alle 2 Wochen","2005","Hauptschule","direkter Migrationshintergrund","40","0.0771406413822852","0.0550025398645413","0.099278742900029"
"Ja, alle 2 Wochen","2005","Hauptschule","indirekter Migrationshintergrund","9","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","Realschule","kein Migrationshintergrund","316","0.106247458745061","0.0955539391406335","0.116940978349488"
"Ja, alle 2 Wochen","2005","Realschule","direkter Migrationshintergrund","8","","",""
"Ja, alle 2 Wochen","2005","Realschule","indirekter Migrationshintergrund","17","","",""
"Ja, alle 2 Wochen","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","kein Migrationshintergrund","75","0.0855093972486634","0.0687930876894246","0.102225706807902"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","direkter Migrationshintergrund","23","","",""
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","kein Migrationshintergrund","180","0.0761912175586343","0.0659321110384392","0.0864503240788293"
"Ja, alle 2 Wochen","2005","AkademikerIn","direkter Migrationshintergrund","12","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","indirekter Migrationshintergrund","5","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","kein Migrationshintergrund","4","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","kein Migrationshintergrund","101","0.0439676007110846","0.0354885759443625","0.0524466254778067"
"Ja, alle 3-4 Wochen","2005","Hauptschule","direkter Migrationshintergrund","25","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","indirekter Migrationshintergrund","10","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","kein Migrationshintergrund","167","0.0607841127953461","0.0524926624228014","0.0690755631678907"
"Ja, alle 3-4 Wochen","2005","Realschule","direkter Migrationshintergrund","4","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","indirekter Migrationshintergrund","4","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","kein Migrationshintergrund","52","0.049131749258532","0.0362110759539912","0.0620524225630728"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","direkter Migrationshintergrund","18","","",""
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","indirekter Migrationshintergrund","4","","",""
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","kein Migrationshintergrund","155","0.0633188756537393","0.0539015297959198","0.0727362215115587"
"Ja, alle 3-4 Wochen","2005","AkademikerIn","direkter Migrationshintergrund","9","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","indirekter Migrationshintergrund","3","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","(noch) kein Abschluss","kein Migrationshintergrund","8","","",""
"Seltener","2005","(noch) kein Abschluss","direkter Migrationshintergrund","5","","",""
"Seltener","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","Hauptschule","kein Migrationshintergrund","356","0.151145339658896","0.136331853904548","0.165958825413243"
"Seltener","2005","Hauptschule","direkter Migrationshintergrund","52","0.0943781351866898","0.0701209648903803","0.118635305482999"
"Seltener","2005","Hauptschule","indirekter Migrationshintergrund","16","","",""
"Seltener","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","Realschule","kein Migrationshintergrund","566","0.177281619435059","0.164028741294488","0.19053449757563"
"Seltener","2005","Realschule","direkter Migrationshintergrund","14","","",""
"Seltener","2005","Realschule","indirekter Migrationshintergrund","14","","",""
"Seltener","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","(Fach-)Abitur","kein Migrationshintergrund","202","0.181223620895215","0.158196803698889","0.20425043809154"
"Seltener","2005","(Fach-)Abitur","direkter Migrationshintergrund","29","","",""
"Seltener","2005","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"Seltener","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2005","AkademikerIn","kein Migrationshintergrund","634","0.263633260720814","0.246595472276571","0.280671049165056"
"Seltener","2005","AkademikerIn","direkter Migrationshintergrund","36","0.206364596937287","0.150965935187036","0.261763258687538"
"Seltener","2005","AkademikerIn","indirekter Migrationshintergrund","15","","",""
"Seltener","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein, nie","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Nein, nie","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","Realschule","kein Migrationshintergrund","","","",""
"Nein, nie","2006","Realschule","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein, nie","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein, nie","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein, nie","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","Realschule","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Realschule","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
