"plb0219","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","Westdeutschland","4301","0.616191121182224","0.604743004671431","0.627639237693018"
"Nein, nie","2005","kein Migrationshintergrund","Ostdeutschland","1380","0.565910602476563","0.545922496245098","0.585898708708028"
"Nein, nie","2005","direkter Migrationshintergrund","Westdeutschland","799","0.695276797773483","0.668451261136029","0.722102334410937"
"Nein, nie","2005","direkter Migrationshintergrund","Ostdeutschland","13","","",""
"Nein, nie","2005","indirekter Migrationshintergrund","Westdeutschland","298","0.65415858906945","0.60951235132648","0.698804826812421"
"Nein, nie","2005","indirekter Migrationshintergrund","Ostdeutschland","11","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","Westdeutschland","424","0.0607176848901785","0.0550958965722259","0.0663394732081311"
"Ja, jede Woche","2005","kein Migrationshintergrund","Ostdeutschland","132","0.0554088221088202","0.046182692614237","0.0646349516034033"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Westdeutschland","56","0.0489713366829245","0.0363941191932341","0.0615485541726149"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Ostdeutschland","1","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Westdeutschland","27","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Westdeutschland","528","0.0835739281944891","0.0770591004101846","0.0900887559787935"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Ostdeutschland","260","0.129103528158054","0.1155809199487","0.142626136367407"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Westdeutschland","86","0.0830958418348452","0.0670090883876448","0.0991825952820455"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Ostdeutschland","1","","",""
