"plb0219","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","23","","",""
"Nein, nie","2005","(noch) kein Abschluss","2","18","","",""
"Nein, nie","2005","(noch) kein Abschluss","3","12","","",""
"Nein, nie","2005","(noch) kein Abschluss","4","17","","",""
"Nein, nie","2005","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","8","","",""
"Nein, nie","2005","Hauptschule","1 Einkommensschwächstes Quintil","375","0.702483985125742","0.664207574959521","0.740760395291963"
"Nein, nie","2005","Hauptschule","2","527","0.65601847426627","0.622745409594919","0.689291538937621"
"Nein, nie","2005","Hauptschule","3","428","0.636703091302234","0.599842818312712","0.673563364291757"
"Nein, nie","2005","Hauptschule","4","450","0.711825306988007","0.676430675099723","0.747219938876291"
"Nein, nie","2005","Hauptschule","5 Einkommensstärkstes Quintil","209","0.61928707229292","0.567825878446554","0.670748266139285"
"Nein, nie","2005","Realschule","1 Einkommensschwächstes Quintil","302","0.613927854726151","0.570952691490685","0.656903017961618"
"Nein, nie","2005","Realschule","2","455","0.618992393493632","0.583883762057464","0.654101024929799"
"Nein, nie","2005","Realschule","3","485","0.621261582779845","0.587044232930077","0.655478932629613"
"Nein, nie","2005","Realschule","4","539","0.620712174064896","0.587461456462546","0.653962891667247"
"Nein, nie","2005","Realschule","5 Einkommensstärkstes Quintil","401","0.61656140362279","0.578288771876464","0.654834035369116"
"Nein, nie","2005","(Fach-)Abitur","1 Einkommensschwächstes Quintil","109","0.626056237603129","0.555174983054282","0.696937492151977"
"Nein, nie","2005","(Fach-)Abitur","2","165","0.698898814499995","0.64061835098836","0.757179278011629"
"Nein, nie","2005","(Fach-)Abitur","3","176","0.67567716679456","0.618333363683362","0.733020969905759"
"Nein, nie","2005","(Fach-)Abitur","4","218","0.649761599579179","0.599568703512504","0.699954495645854"
"Nein, nie","2005","(Fach-)Abitur","5 Einkommensstärkstes Quintil","219","0.57100334416269","0.518777577657949","0.623229110667431"
"Nein, nie","2005","AkademikerIn","1 Einkommensschwächstes Quintil","83","0.456599184742463","0.377412163645323","0.535786205839603"
"Nein, nie","2005","AkademikerIn","2","162","0.619945098534711","0.560943850080219","0.678946346989204"
"Nein, nie","2005","AkademikerIn","3","212","0.563644868198137","0.511762791025009","0.615526945371265"
"Nein, nie","2005","AkademikerIn","4","395","0.561859868773715","0.52475847318038","0.59896126436705"
"Nein, nie","2005","AkademikerIn","5 Einkommensstärkstes Quintil","676","0.441140878799173","0.414925067280036","0.467356690318311"
"Ja, jede Woche","2005","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","1","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","2","5","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","3","1","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","4","5","","",""
