"plb0219","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein, nie","2005","17-34","(noch) kein Abschluss","41","0.614616610014937","0.497201290025984","0.732031930003889"
"Nein, nie","2005","17-34","Hauptschule","414","0.650542204223521","0.612981141481973","0.688103266965069"
"Nein, nie","2005","17-34","Realschule","728","0.647148357753516","0.618806078676075","0.675490636830957"
"Nein, nie","2005","17-34","(Fach-)Abitur","429","0.672391098764635","0.636085851301251","0.70869634622802"
"Nein, nie","2005","17-34","AkademikerIn","241","0.533356049941627","0.485925838721808","0.580786261161447"
"Nein, nie","2005","35-65","(noch) kein Abschluss","35","0.775956061357972","0.661523882465059","0.890388240250885"
"Nein, nie","2005","35-65","Hauptschule","1534","0.672381590451962","0.653133302939217","0.691629877964707"
"Nein, nie","2005","35-65","Realschule","1443","0.603986690926733","0.584137061957439","0.623836319896028"
"Nein, nie","2005","35-65","(Fach-)Abitur","456","0.620717548064359","0.58530078669633","0.656134309432387"
"Nein, nie","2005","35-65","AkademikerIn","1250","0.506505689616916","0.486270377543617","0.526741001690215"
"Nein, nie","2005","66 +","(noch) kein Abschluss","2","","",""
"Nein, nie","2005","66 +","Hauptschule","41","0.717116637408097","0.595859096003231","0.838374178812963"
"Nein, nie","2005","66 +","Realschule","11","","",""
"Nein, nie","2005","66 +","(Fach-)Abitur","2","","",""
"Nein, nie","2005","66 +","AkademikerIn","37","0.636287322571143","0.512481819587166","0.760092825555119"
"Ja, jede Woche","2005","17-34","(noch) kein Abschluss","11","","",""
"Ja, jede Woche","2005","17-34","Hauptschule","39","0.0762824194939951","0.0553709476808785","0.0971938913071118"
"Ja, jede Woche","2005","17-34","Realschule","47","0.0434591436918632","0.0313662811438068","0.0555520062399196"
"Ja, jede Woche","2005","17-34","(Fach-)Abitur","32","0.0407785263304502","0.0254797820023777","0.0560772706585227"
"Ja, jede Woche","2005","17-34","AkademikerIn","33","0.0721993005227248","0.0475929351269975","0.0968056659184521"
"Ja, jede Woche","2005","35-65","(noch) kein Abschluss","2","","",""
"Ja, jede Woche","2005","35-65","Hauptschule","118","0.0519306635712323","0.0428308597965534","0.0610304673459111"
"Ja, jede Woche","2005","35-65","Realschule","98","0.0451564765001214","0.0367287594768695","0.0535841935233732"
"Ja, jede Woche","2005","35-65","(Fach-)Abitur","29","","",""
"Ja, jede Woche","2005","35-65","AkademikerIn","211","0.0907984341907481","0.0791693387558088","0.102427529625687"
"Ja, jede Woche","2005","66 +","(noch) kein Abschluss","","","",""
"Ja, jede Woche","2005","66 +","Hauptschule","6","","",""
"Ja, jede Woche","2005","66 +","Realschule","1","","",""
"Ja, jede Woche","2005","66 +","(Fach-)Abitur","","","",""
"Ja, jede Woche","2005","66 +","AkademikerIn","7","","",""
"Ja, alle 2 Wochen","2005","17-34","(noch) kein Abschluss","5","","",""
"Ja, alle 2 Wochen","2005","17-34","Hauptschule","44","0.0508009717342153","0.0335021143283139","0.0680998291401168"
"Ja, alle 2 Wochen","2005","17-34","Realschule","115","0.121484511021518","0.102108162466057","0.14086085957698"
"Ja, alle 2 Wochen","2005","17-34","(Fach-)Abitur","58","0.112831782333955","0.08835810168425","0.137305462983659"
"Ja, alle 2 Wochen","2005","17-34","AkademikerIn","42","0.102886299511681","0.0740023787944137","0.131770220228948"
"Ja, alle 2 Wochen","2005","35-65","(noch) kein Abschluss","4","","",""
"Ja, alle 2 Wochen","2005","35-65","Hauptschule","199","0.0945587214473248","0.0825587287475749","0.106558714147075"
"Ja, alle 2 Wochen","2005","35-65","Realschule","225","0.100015912943391","0.0878390397050589","0.112192786181723"
"Ja, alle 2 Wochen","2005","35-65","(Fach-)Abitur","47","0.0719145375355746","0.0530570951456515","0.0907719799254978"
"Ja, alle 2 Wochen","2005","35-65","AkademikerIn","152","0.0701092935354469","0.0597750089588482","0.0804435781120455"
"Ja, alle 2 Wochen","2005","66 +","(noch) kein Abschluss","","","",""
"Ja, alle 2 Wochen","2005","66 +","Hauptschule","1","","",""
"Ja, alle 2 Wochen","2005","66 +","Realschule","1","","",""
"Ja, alle 2 Wochen","2005","66 +","(Fach-)Abitur","","","",""
"Ja, alle 2 Wochen","2005","66 +","AkademikerIn","3","","",""
"Ja, alle 3-4 Wochen","2005","17-34","(noch) kein Abschluss","3","","",""
"Ja, alle 3-4 Wochen","2005","17-34","Hauptschule","40","0.0814781622191231","0.059927127731156","0.10302919670709"
"Ja, alle 3-4 Wochen","2005","17-34","Realschule","55","0.0473719791659152","0.0347723079487704","0.0599716503830601"
"Ja, alle 3-4 Wochen","2005","17-34","(Fach-)Abitur","26","","",""
"Ja, alle 3-4 Wochen","2005","17-34","AkademikerIn","25","","",""
"Ja, alle 3-4 Wochen","2005","35-65","(noch) kein Abschluss","3","","",""
"Ja, alle 3-4 Wochen","2005","35-65","Hauptschule","96","0.0411750069846122","0.0330263402754938","0.0493236736937307"
"Ja, alle 3-4 Wochen","2005","35-65","Realschule","120","0.062616367043229","0.0527833580941956","0.0724493759922625"
"Ja, alle 3-4 Wochen","2005","35-65","(Fach-)Abitur","48","0.0703332346436036","0.0516683888120341","0.0889980804751731"
"Ja, alle 3-4 Wochen","2005","35-65","AkademikerIn","142","0.0642387836974685","0.0543154443557763","0.0741621230391608"
