"plb0219","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","78","0.703974457984957","0.621954856680764","0.785994059289151"
"Nein, nie","2005","Hauptschule","1989","","",""
"Nein, nie","2005","Realschule","2182","","",""
"Nein, nie","2005","(Fach-)Abitur","887","0.64626176072808","0.620897220177569","0.671626301278591"
"Nein, nie","2005","AkademikerIn","1528","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","13","","",""
"Ja, jede Woche","2005","Hauptschule","163","","",""
"Ja, jede Woche","2005","Realschule","146","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","61","0.0380810791613176","0.0279278164718689","0.0482343418507662"
"Ja, jede Woche","2005","AkademikerIn","251","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","9","0.0963632916185295","0.0433448014485471","0.149381781788512"
"Ja, alle 2 Wochen","2005","Hauptschule","244","","",""
"Ja, alle 2 Wochen","2005","Realschule","341","0.107349845484253","0.0970023198986311","0.117697371069874"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","105","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","197","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","6","0.031332122043784","3.12120130407934e-05","0.0626330320745273"
"Ja, alle 3-4 Wochen","2005","Hauptschule","136","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","175","","",""
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","74","0.0518513764701049","0.0400888633810309","0.063613889559179"
"Ja, alle 3-4 Wochen","2005","AkademikerIn","167","","",""
"Seltener","2005","(noch) kein Abschluss","13","","",""
"Seltener","2005","Hauptschule","424","0.138388835251007","0.125940764095348","0.150836906406666"
"Seltener","2005","Realschule","594","0.171379846711371","0.158783263040118","0.183976430382624"
"Seltener","2005","(Fach-)Abitur","238","","",""
"Seltener","2005","AkademikerIn","685","0.259040790402933","0.242893873252426","0.27518770755344"
"Nein, nie","2006","(noch) kein Abschluss","","","",""
"Nein, nie","2006","Hauptschule","","","",""
"Nein, nie","2006","Realschule","","","",""
"Nein, nie","2006","(Fach-)Abitur","","","",""
"Nein, nie","2006","AkademikerIn","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","","","",""
"Ja, jede Woche","2006","Hauptschule","","","",""
"Ja, jede Woche","2006","Realschule","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","","","",""
"Ja, jede Woche","2006","AkademikerIn","","","",""
"Ja, alle 2 Wochen","2006","(noch) kein Abschluss","","","",""
"Ja, alle 2 Wochen","2006","Hauptschule","","","",""
"Ja, alle 2 Wochen","2006","Realschule","","","",""
"Ja, alle 2 Wochen","2006","(Fach-)Abitur","","","",""
"Ja, alle 2 Wochen","2006","AkademikerIn","","","",""
"Ja, alle 3-4 Wochen","2006","(noch) kein Abschluss","","","",""
"Ja, alle 3-4 Wochen","2006","Hauptschule","","","",""
"Ja, alle 3-4 Wochen","2006","Realschule","","","",""
"Ja, alle 3-4 Wochen","2006","(Fach-)Abitur","","","",""
"Ja, alle 3-4 Wochen","2006","AkademikerIn","","","",""
"Seltener","2006","(noch) kein Abschluss","","","",""
"Seltener","2006","Hauptschule","","","",""
"Seltener","2006","Realschule","","","",""
"Seltener","2006","(Fach-)Abitur","","","",""
"Seltener","2006","AkademikerIn","","","",""
"Nein, nie","2007","(noch) kein Abschluss","57","0.708082084383991","0.614670750731621","0.80149341803636"
"Nein, nie","2007","Hauptschule","1961","","",""
"Nein, nie","2007","Realschule","2170","","",""
"Nein, nie","2007","(Fach-)Abitur","901","0.625077814476879","0.599969266411165","0.650186362542592"
"Nein, nie","2007","AkademikerIn","1504","","",""
"Ja, jede Woche","2007","(noch) kein Abschluss","5","0.0554475566733221","0.00842766334926528","0.102467449997379"
"Ja, jede Woche","2007","Hauptschule","156","","",""
"Ja, jede Woche","2007","Realschule","175","","",""
"Ja, jede Woche","2007","(Fach-)Abitur","79","0.0515610007802755","0.0400913720994337","0.0630306294611174"
"Ja, jede Woche","2007","AkademikerIn","298","","",""
"Ja, alle 2 Wochen","2007","(noch) kein Abschluss","12","","",""
"Ja, alle 2 Wochen","2007","Hauptschule","220","","",""
