"plb0219","year","migback","n","percent","lower_confidence","upper_confidence"
"Nein, nie","2005","kein Migrationshintergrund","5681","0.606753523892727","0.596822698857791","0.616684348927663"
"Nein, nie","2005","direkter Migrationshintergrund","812","0.693727176122806","0.667109481584454","0.720344870661158"
"Nein, nie","2005","indirekter Migrationshintergrund","309","0.653045923997856","0.60916389175998","0.696927956235732"
"Ja, jede Woche","2005","kein Migrationshintergrund","556","0.0597212172664263","0.054903521172247","0.0645389133606056"
"Ja, jede Woche","2005","direkter Migrationshintergrund","57","0.0491818368083285","0.0366944099248358","0.0616692636918213"
"Ja, jede Woche","2005","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","788","0.0921197833341982","0.0862403226962834","0.097999243972113"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","87","0.0826305408729727","0.066731743000225","0.0985293387457204"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","39","0.0932644484780948","0.0664556556379864","0.120073241318203"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","487","0.0548575585385965","0.0502282766451955","0.0594868404319974"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","60","0.0517526403548766","0.0389603317334859","0.0645449489762673"
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","","","",""
"Seltener","2005","kein Migrationshintergrund","1782","0.186547916968052","0.178628231264655","0.194467602671448"
"Seltener","2005","direkter Migrationshintergrund","136","0.122707805841016","0.10376125850196","0.141654353180071"
"Seltener","2005","indirekter Migrationshintergrund","53","0.11746002592412","0.0877781659058305","0.14714188594241"
"Nein, nie","2006","kein Migrationshintergrund","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2006","indirekter Migrationshintergrund","","","",""
"Seltener","2006","kein Migrationshintergrund","","","",""
