"plb0219","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Nein, nie","2005","kein Migrationshintergrund","Staedtischer Raum","3723","0.616573616107828","0.604277930774447","0.628869301441208"
"Nein, nie","2005","kein Migrationshintergrund","Laendlicher Raum","1958","0.586925358500407","0.570092652301387","0.603758064699427"
"Nein, nie","2005","direkter Migrationshintergrund","Staedtischer Raum","685","0.69055868983348","0.661498101557854","0.719619278109106"
"Nein, nie","2005","direkter Migrationshintergrund","Laendlicher Raum","127","0.709716717839977","0.643408803365806","0.776024632314148"
"Nein, nie","2005","indirekter Migrationshintergrund","Staedtischer Raum","268","0.646030232424281","0.598871833745486","0.693188631103077"
"Nein, nie","2005","indirekter Migrationshintergrund","Laendlicher Raum","41","0.696783039959651","0.577456734750804","0.816109345168497"
"Ja, jede Woche","2005","kein Migrationshintergrund","Staedtischer Raum","334","0.0510514449695041","0.0454854266815627","0.0566174632574454"
"Ja, jede Woche","2005","kein Migrationshintergrund","Laendlicher Raum","222","0.0772267228412914","0.0681007421319031","0.0863527035506797"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Staedtischer Raum","50","0.053788906868669","0.0396063238181204","0.0679714899192175"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Staedtischer Raum","494","0.0913774799111498","0.0840907845757678","0.0986641752465318"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Laendlicher Raum","294","0.0936185997119973","0.0836603089676746","0.10357689045632"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Staedtischer Raum","71","0.0831897583975641","0.0658281635153524","0.100551353279776"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Staedtischer Raum","32","0.0824538268077937","0.0553288787205166","0.109578774895071"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Staedtischer Raum","297","0.0518229028969958","0.0462172671522241","0.0574285386417675"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Laendlicher Raum","190","0.0609849606701028","0.0528041585671615","0.069165762773044"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Staedtischer Raum","51","0.0528988778301161","0.0388275084454565","0.0669702472147756"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2005","kein Migrationshintergrund","Staedtischer Raum","1159","0.189174556114523","0.179270471977758","0.199078640251287"
"Seltener","2005","kein Migrationshintergrund","Laendlicher Raum","623","0.181244358276201","0.168075211436841","0.194413505115562"
"Seltener","2005","direkter Migrationshintergrund","Staedtischer Raum","115","0.119563767070171","0.0991668886627058","0.139960645477636"
"Seltener","2005","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2005","indirekter Migrationshintergrund","Staedtischer Raum","47","0.123583040304551","0.0911278345046191","0.156038246104483"
"Seltener","2005","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
