"plb0219","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","938","0.647771128082933","0.623336353736228","0.672205902429637"
"Nein, nie","2005","2","1352","0.642571868518523","0.621991238011353","0.663152499025694"
"Nein, nie","2005","3","1343","0.630852013276313","0.610143213088706","0.651560813463919"
"Nein, nie","2005","4","1643","0.635725537422141","0.617018306388909","0.654432768455373"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","1526","0.534606860779088","0.515858178929065","0.55335554262911"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","99","0.0641499110459792","0.0516160107561909","0.0766838113357674"
"Ja, jede Woche","2005","2","112","0.0544031607424389","0.0446629460839505","0.0641433754009273"
"Ja, jede Woche","2005","3","102","0.0493661697286276","0.040069823548122","0.0586625159091332"
"Ja, jede Woche","2005","4","125","0.0488478851589116","0.0404685764711336","0.0572271938466895"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","203","0.0811539617261361","0.0708898889259","0.0914180345263722"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","138","0.0905188651050629","0.075841386334331","0.105196343875795"
"Ja, alle 2 Wochen","2005","2","194","0.0959210295366752","0.0832747273418806","0.10856733173147"
"Ja, alle 2 Wochen","2005","3","189","0.0976772434112114","0.0849372679487099","0.110417218873713"
"Ja, alle 2 Wochen","2005","4","184","0.0853597352591488","0.0744976800533768","0.0962217904649209"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","209","0.0850127826524642","0.0745296008730429","0.0954959644318856"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","71","0.0529771198958978","0.0415191026612937","0.0644351371305019"
"Ja, alle 3-4 Wochen","2005","2","101","0.0578439642540004","0.0478187445752069","0.067869183932794"
"Ja, alle 3-4 Wochen","2005","3","106","0.0513788414650401","0.0419049261982956","0.0608527567317846"
"Ja, alle 3-4 Wochen","2005","4","125","0.0471901120114547","0.0389470427351878","0.0554331812877216"
