"plb0219","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Westdeutschland","628","0.666880315216697","0.636845385475227","0.696915244958168"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","310","0.594057504403701","0.551930619962957","0.636184388844444"
"Nein, nie","2005","2","Westdeutschland","1031","0.663215457071479","0.639626469621425","0.686804444521533"
"Nein, nie","2005","2","Ostdeutschland","321","0.549459337253509","0.507533259613645","0.591385414893373"
"Nein, nie","2005","3","Westdeutschland","1027","0.637323091113469","0.613579435106953","0.661066747119985"
"Nein, nie","2005","3","Ostdeutschland","316","0.596997798299397","0.554469528435707","0.639526068163086"
"Nein, nie","2005","4","Westdeutschland","1379","0.650868766356241","0.630417136049101","0.671320396663382"
"Nein, nie","2005","4","Ostdeutschland","264","0.536885591087779","0.491068510426349","0.582702671749209"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Westdeutschland","1333","0.535730935066791","0.515562842848936","0.555899027284646"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","193","0.521137000999656","0.470235706856472","0.572038295142841"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Westdeutschland","61","0.0614372530133617","0.0461351869133821","0.0767393191133413"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","38","0.0717748660853804","0.0496324148519018","0.0939173173188589"
"Ja, jede Woche","2005","2","Westdeutschland","87","0.0559719331879145","0.0444987610145268","0.0674451053613023"
"Ja, jede Woche","2005","2","Ostdeutschland","25","","",""
"Ja, jede Woche","2005","3","Westdeutschland","75","0.0484009100760753","0.0378019907915905","0.0589998293605601"
"Ja, jede Woche","2005","3","Ostdeutschland","27","","",""
"Ja, jede Woche","2005","4","Westdeutschland","103","0.0506450534694881","0.0412376516980761","0.0600524552409"
"Ja, jede Woche","2005","4","Ostdeutschland","22","","",""
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Westdeutschland","181","0.0821231770485985","0.0710203990620676","0.0932259550351293"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","22","","",""
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Westdeutschland","76","0.0773964008163744","0.0603681327818338","0.0944246688509149"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","62","0.127404531858587","0.0988015207821607","0.156007542935013"
"Ja, alle 2 Wochen","2005","2","Westdeutschland","131","0.0825256886304843","0.0687916761023306","0.0962597011586381"
"Ja, alle 2 Wochen","2005","2","Ostdeutschland","63","0.156340471424586","0.125737135106355","0.186943807742818"
"Ja, alle 2 Wochen","2005","3","Westdeutschland","137","0.0967170603935973","0.0821198032049715","0.111314317582223"
"Ja, alle 2 Wochen","2005","3","Ostdeutschland","52","0.102700555309709","0.0763801400818307","0.129020970537587"
"Ja, alle 2 Wochen","2005","4","Westdeutschland","136","0.0768513049354803","0.065423881513423","0.0882787283575377"
"Ja, alle 2 Wochen","2005","4","Ostdeutschland","48","0.140894311157114","0.108926535470485","0.172862086843743"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","Westdeutschland","171","0.0841045567968842","0.07288077292868","0.0953283406650884"
"Ja, alle 2 Wochen","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","38","0.0958961157707006","0.0658936530469525","0.125898578494449"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","Westdeutschland","46","0.0504783356361217","0.036527266999966","0.0644294042722774"
"Ja, alle 3-4 Wochen","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","25","","",""
