"plb0219","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","711","0.623318467989759","0.595325265184767","0.651311670794751"
"Nein, nie","2005","kein Migrationshintergrund","2","1039","0.627029821773076","0.603674683452169","0.650384960093984"
"Nein, nie","2005","kein Migrationshintergrund","3","1085","0.615824743442775","0.592897921576578","0.638751565308973"
"Nein, nie","2005","kein Migrationshintergrund","4","1432","0.633649525648916","0.613697039499661","0.65360201179817"
"Nein, nie","2005","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","1414","0.531956222720627","0.512501427911513","0.551411017529742"
"Nein, nie","2005","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","168","0.710585455351977","0.652481125615423","0.76868978508853"
"Nein, nie","2005","direkter Migrationshintergrund","2","235","0.704660059065918","0.655062839520824","0.754257278611012"
"Nein, nie","2005","direkter Migrationshintergrund","3","190","0.72846407706333","0.674403692154139","0.78252446197252"
"Nein, nie","2005","direkter Migrationshintergrund","4","136","0.655392379252077","0.588689601857836","0.722095156646318"
"Nein, nie","2005","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","83","0.602372821214419","0.52071848306724","0.684027159361597"
"Nein, nie","2005","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","59","0.769804147019086","0.679241748586423","0.860366545451749"
"Nein, nie","2005","indirekter Migrationshintergrund","2","78","0.661671405181524","0.57365226184267","0.749690548520377"
"Nein, nie","2005","indirekter Migrationshintergrund","3","68","0.643527738389005","0.548213291875228","0.738842184902783"
"Nein, nie","2005","indirekter Migrationshintergrund","4","75","0.642289553492942","0.551468310145504","0.733110796840381"
"Nein, nie","2005","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","29","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","2","","","",""
