"plb0219","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","Westdeutschland","73","0.730866127218651","0.646831302247595","0.814900952189707"
"Nein, nie","2005","(noch) kein Abschluss","Ostdeutschland","5","0.370816696203218","0.0975254614164047","0.64410793099003"
"Nein, nie","2005","Hauptschule","Westdeutschland","1863","","",""
"Nein, nie","2005","Hauptschule","Ostdeutschland","126","","",""
"Nein, nie","2005","Realschule","Westdeutschland","1499","","",""
"Nein, nie","2005","Realschule","Ostdeutschland","683","0.551117898797255","0.522556890813818","0.579678906780693"
"Nein, nie","2005","(Fach-)Abitur","Westdeutschland","756","0.648493957481292","0.62105436873192","0.675933546230664"
"Nein, nie","2005","(Fach-)Abitur","Ostdeutschland","131","","",""
"Nein, nie","2005","AkademikerIn","Westdeutschland","1097","","",""
"Nein, nie","2005","AkademikerIn","Ostdeutschland","431","0.549261062688681","0.513979049630736","0.584543075746626"
"Ja, jede Woche","2005","(noch) kein Abschluss","Westdeutschland","12","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, jede Woche","2005","Hauptschule","Westdeutschland","144","","",""
"Ja, jede Woche","2005","Hauptschule","Ostdeutschland","19","","",""
"Ja, jede Woche","2005","Realschule","Westdeutschland","90","0.0433030101465111","0.0349355313543307","0.0516704889386915"
"Ja, jede Woche","2005","Realschule","Ostdeutschland","56","0.0506591671705133","0.0380662823325651","0.0632520520084615"
"Ja, jede Woche","2005","(Fach-)Abitur","Westdeutschland","56","0.0384686644904095","0.0274153249935021","0.049522003987317"
"Ja, jede Woche","2005","(Fach-)Abitur","Ostdeutschland","5","0.0347670288118395","0.00950476481716158","0.0600292928065174"
"Ja, jede Woche","2005","AkademikerIn","Westdeutschland","200","","",""
"Ja, jede Woche","2005","AkademikerIn","Ostdeutschland","51","0.0647896096907646","0.0473350557303926","0.0822441636511366"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","Westdeutschland","7","0.0965525362450773","0.0405910169177928","0.152514055572362"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","Westdeutschland","215","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","Ostdeutschland","29","","",""
"Ja, alle 2 Wochen","2005","Realschule","Westdeutschland","202","","",""
"Ja, alle 2 Wochen","2005","Realschule","Ostdeutschland","139","","",""
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","Westdeutschland","83","0.0862276458386146","0.0700951892341514","0.102360102443078"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","Ostdeutschland","22","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","Westdeutschland","130","","",""
