"plb0219","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-29","kein Migrationshintergrund","1049","0.666790796699195","0.643309833634788","0.690271759763602"
"Nein, nie","2005","17-29","direkter Migrationshintergrund","100","0.71226769132908","0.636183474504681","0.788351908153479"
"Nein, nie","2005","17-29","indirekter Migrationshintergrund","176","0.673486504798039","0.61524086309381","0.731732146502267"
"Nein, nie","2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","30-45","kein Migrationshintergrund","2321","0.572251816097092","0.556757979115628","0.587745653078557"
"Nein, nie","2005","30-45","direkter Migrationshintergrund","364","0.692462414217061","0.653540121517523","0.731384706916599"
"Nein, nie","2005","30-45","indirekter Migrationshintergrund","118","0.652480342860165","0.581929457144196","0.723031228576133"
"Nein, nie","2005","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","46-65","kein Migrationshintergrund","2230","0.617188190732227","0.601555684570313","0.63282069689414"
"Nein, nie","2005","46-65","direkter Migrationshintergrund","336","0.682443845160418","0.639994516015123","0.724893174305713"
"Nein, nie","2005","46-65","indirekter Migrationshintergrund","15","","",""
"Nein, nie","2005","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","66","kein Migrationshintergrund","","","",""
"Nein, nie","2005","66","direkter Migrationshintergrund","","","",""
"Nein, nie","2005","66","indirekter Migrationshintergrund","","","",""
"Nein, nie","2005","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","17-29","kein Migrationshintergrund","72","0.0468173924476968","0.0362940360693573","0.0573407488260362"
"Ja, jede Woche","2005","17-29","direkter Migrationshintergrund","6","","",""
"Ja, jede Woche","2005","17-29","indirekter Migrationshintergrund","17","","",""
"Ja, jede Woche","2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","30-45","kein Migrationshintergrund","197","0.0551817642655378","0.0480311520003755","0.0623323765307"
"Ja, jede Woche","2005","30-45","direkter Migrationshintergrund","32","0.0628988669828706","0.0424218894488256","0.0833758445169155"
"Ja, jede Woche","2005","30-45","indirekter Migrationshintergrund","10","","",""
"Ja, jede Woche","2005","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","46-65","kein Migrationshintergrund","274","0.0662917290022421","0.0582903946730901","0.074293063331394"
