"plb0219","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Nein, nie","2005","kein Migrationshintergrund","maennlich","2696","0.548311383738373","0.534409732875831","0.562213034600915"
"Nein, nie","2005","kein Migrationshintergrund","weiblich","2985","0.680198807491291","0.666372199172072","0.69402541581051"
"Nein, nie","2005","direkter Migrationshintergrund","maennlich","426","0.684578401023884","0.647912461326277","0.721244340721491"
"Nein, nie","2005","direkter Migrationshintergrund","weiblich","386","0.70389186663525","0.665206266207588","0.742577467062913"
"Nein, nie","2005","indirekter Migrationshintergrund","maennlich","156","0.62096638691654","0.560341150345975","0.681591623487105"
"Nein, nie","2005","indirekter Migrationshintergrund","weiblich","153","0.694860095513965","0.631980075732017","0.757740115295912"
"Ja, jede Woche","2005","kein Migrationshintergrund","maennlich","323","0.0619855714608558","0.055249863686601","0.0687212792351105"
"Ja, jede Woche","2005","kein Migrationshintergrund","weiblich","233","0.0568755628201957","0.0500095431955386","0.0637415824448528"
"Ja, jede Woche","2005","direkter Migrationshintergrund","maennlich","42","0.0660906623939915","0.0464874195418344","0.0856939052461486"
"Ja, jede Woche","2005","direkter Migrationshintergrund","weiblich","","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","maennlich","","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","weiblich","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","maennlich","388","0.0837747128393068","0.0760356070374936","0.0915138186411199"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","weiblich","400","0.102607182795076","0.0936114227144782","0.111602942875673"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","maennlich","","","",""
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","weiblich","64","0.139599479818931","0.110232219553374","0.168966740084489"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","maennlich","","","",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","weiblich","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","maennlich","302","0.0639866393466144","0.0571503750024477","0.0708229036907811"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","weiblich","185","0.0433848792840684","0.0373454554980184","0.0494243030701184"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","maennlich","35","0.0639074681147567","0.0446082059700122","0.0832067302595012"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","weiblich","","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","maennlich","","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","2005","kein Migrationshintergrund","maennlich","1214","0.24194169261485","0.229978699957643","0.253904685272058"
"Seltener","2005","kein Migrationshintergrund","weiblich","568","0.116933567609369","0.107407273708539","0.1264598615102"
"Seltener","2005","direkter Migrationshintergrund","maennlich","91","0.154068075559083","0.125582201789157","0.182553949329009"
"Seltener","2005","direkter Migrationshintergrund","weiblich","45","0.0878651703379894","0.0638763386459855","0.111854002029993"
