"plb0219","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","männlich","40","0.692094612912898","0.578103972291636","0.806085253534159"
"Nein, nie","2005","(noch) kein Abschluss","weiblich","38","0.72234348186653","0.605048375547504","0.839638588185556"
"Nein, nie","2005","Hauptschule","männlich","1098","0.639858349087634","0.617205014609592","0.662511683565676"
"Nein, nie","2005","Hauptschule","weiblich","891","0.709535905738966","0.684175717039067","0.734896094438864"
"Nein, nie","2005","Realschule","männlich","907","0.548694679738889","0.524559218660774","0.572830140817004"
"Nein, nie","2005","Realschule","weiblich","1275","0.691404869827613","0.670095518035993","0.712714221619233"
"Nein, nie","2005","(Fach-)Abitur","männlich","383","0.588169968740068","0.550650404065125","0.62568953341501"
"Nein, nie","2005","(Fach-)Abitur","weiblich","504","0.707043477886404","0.673424352782006","0.740662602990802"
"Nein, nie","2005","AkademikerIn","männlich","777","0.447791222182394","0.423463580328106","0.472118864036681"
"Nein, nie","2005","AkademikerIn","weiblich","751","0.611063575423146","0.583741268246386","0.638385882599906"
"Ja, jede Woche","2005","(noch) kein Abschluss","männlich","8","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","weiblich","5","","",""
"Ja, jede Woche","2005","Hauptschule","männlich","110","0.0672500428636966","0.0554309963194405","0.0790690894079527"
"Ja, jede Woche","2005","Hauptschule","weiblich","53","0.0504873383356544","0.0382563744870721","0.0627183021842368"
"Ja, jede Woche","2005","Realschule","männlich","83","0.0498528440285229","0.0392969406917337","0.0604087473653122"
"Ja, jede Woche","2005","Realschule","weiblich","63","0.0406527996809658","0.0315422910449022","0.0497633083170295"
"Ja, jede Woche","2005","(Fach-)Abitur","männlich","35","0.0434333461976615","0.0278945766904296","0.0589721157048935"
"Ja, jede Woche","2005","(Fach-)Abitur","weiblich","26","","",""
"Ja, jede Woche","2005","AkademikerIn","männlich","150","0.0889179142375887","0.0749932747580696","0.102842553717108"
"Ja, jede Woche","2005","AkademikerIn","weiblich","101","0.088056917656911","0.0721750903694311","0.103938744944391"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","männlich","3","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","weiblich","6","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","männlich","115","0.0631128430213306","0.05163775419052","0.0745879318521413"
"Ja, alle 2 Wochen","2005","Hauptschule","weiblich","129","0.112953416252667","0.0952709855940196","0.130635846911315"
"Ja, alle 2 Wochen","2005","Realschule","männlich","144","0.094434029788113","0.080250663883279","0.108617395692947"
"Ja, alle 2 Wochen","2005","Realschule","weiblich","197","0.120704687914353","0.105675381614948","0.135733994213758"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","männlich","45","0.0709563627944416","0.0513831962833515","0.0905295293055317"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","weiblich","60","0.112304460996952","0.0889810382541362","0.135627883739768"
"Ja, alle 2 Wochen","2005","AkademikerIn","männlich","111","0.0732505595062937","0.0605038757236214","0.0859972432889659"
"Ja, alle 2 Wochen","2005","AkademikerIn","weiblich","86","0.0789258129884278","0.0638148653645524","0.0940367606123031"
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","männlich","4","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","weiblich","2","","",""
