"plb0219","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-29","1 Einkommensschwächstes Quintil","292","0.692056790809873","0.64832146265459","0.735792118965156"
"Nein, nie","2005","17-29","2","288","0.656126389811136","0.610860497670448","0.701392281951824"
"Nein, nie","2005","17-29","3","283","0.724044832029064","0.679738917309892","0.768350746748237"
"Nein, nie","2005","17-29","4","319","0.66953834698644","0.626553296761561","0.712523397211318"
"Nein, nie","2005","17-29","5 Einkommensstärkstes Quintil","143","0.551325947259711","0.487188481689578","0.615463412829844"
"Nein, nie","2005","30-45","1 Einkommensschwächstes Quintil","387","0.625848168019936","0.58732072297881","0.664375613061063"
"Nein, nie","2005","30-45","2","634","0.629405409791966","0.599426537970986","0.659384281612947"
"Nein, nie","2005","30-45","3","583","0.601868293282082","0.570773066238503","0.632963520325661"
"Nein, nie","2005","30-45","4","650","0.584265116527755","0.554912482828865","0.613617750226646"
"Nein, nie","2005","30-45","5 Einkommensstärkstes Quintil","549","0.501455332950299","0.470372323283821","0.532538342616777"
"Nein, nie","2005","46-65","1 Einkommensschwächstes Quintil","246","0.624001391236553","0.577677040216162","0.670325742256944"
"Nein, nie","2005","46-65","2","417","0.648837219504804","0.612028225452967","0.685646213556641"
"Nein, nie","2005","46-65","3","463","0.622395847840988","0.586985224912524","0.657806470769452"
"Nein, nie","2005","46-65","4","661","0.681079809263267","0.651930225508634","0.7102293930179"
"Nein, nie","2005","46-65","5 Einkommensstärkstes Quintil","794","0.551571288020826","0.525848478459734","0.577294097581919"
"Nein, nie","2005","66","1 Einkommensschwächstes Quintil","","","",""
"Nein, nie","2005","66","2","","","",""
"Nein, nie","2005","66","3","","","",""
"Nein, nie","2005","66","4","","","",""
"Nein, nie","2005","66","5 Einkommensstärkstes Quintil","","","",""
"Ja, jede Woche","2005","17-29","1 Einkommensschwächstes Quintil","23","","",""
"Ja, jede Woche","2005","17-29","2","22","","",""
"Ja, jede Woche","2005","17-29","3","18","","",""
"Ja, jede Woche","2005","17-29","4","21","","",""
"Ja, jede Woche","2005","17-29","5 Einkommensstärkstes Quintil","11","","",""
"Ja, jede Woche","2005","30-45","1 Einkommensschwächstes Quintil","37","0.0693389504295532","0.0491135941942278","0.0895643066648786"
"Ja, jede Woche","2005","30-45","2","55","0.0599909802987484","0.0452505723974624","0.0747313882000344"
"Ja, jede Woche","2005","30-45","3","39","0.040841864569621","0.0282691949154668","0.0534145342237752"
"Ja, jede Woche","2005","30-45","4","50","0.0509102575824367","0.0378187352860787","0.0640017798787947"
"Ja, jede Woche","2005","30-45","5 Einkommensstärkstes Quintil","58","0.0676758119229907","0.0520603400629531","0.0832912837830283"
"Ja, jede Woche","2005","46-65","1 Einkommensschwächstes Quintil","38","0.0674445212511922","0.0434598305188028","0.0914292119835816"
"Ja, jede Woche","2005","46-65","2","33","0.0490267004313235","0.0323760069319368","0.0656773939307103"
"Ja, jede Woche","2005","46-65","3","39","0.0513134868194305","0.0351974233400771","0.0674295502987839"
"Ja, jede Woche","2005","46-65","4","54","0.0450529120939742","0.032079821963106","0.0580260022248424"
"Ja, jede Woche","2005","46-65","5 Einkommensstärkstes Quintil","129","0.094272133964648","0.079158760826981","0.109385507102315"
"Ja, jede Woche","2005","66","1 Einkommensschwächstes Quintil","","","",""
"Ja, jede Woche","2005","66","2","","","",""
"Ja, jede Woche","2005","66","3","","","",""
"Ja, jede Woche","2005","66","4","","","",""
"Ja, jede Woche","2005","66","5 Einkommensstärkstes Quintil","","","",""
"Ja, alle 2 Wochen","2005","17-29","1 Einkommensschwächstes Quintil","42","0.0791938971128077","0.0536106209723848","0.104777173253231"
"Ja, alle 2 Wochen","2005","17-29","2","44","0.118740562756572","0.0879136985620014","0.149567426951143"
"Ja, alle 2 Wochen","2005","17-29","3","32","0.073417891408446","0.0475653869909431","0.0992703958259488"
"Ja, alle 2 Wochen","2005","17-29","4","39","0.110315642326305","0.0816866737622178","0.138944610890391"
"Ja, alle 2 Wochen","2005","17-29","5 Einkommensstärkstes Quintil","22","","",""
"Ja, alle 2 Wochen","2005","30-45","1 Einkommensschwächstes Quintil","56","0.0974612465667404","0.0738477288317542","0.121074764301727"
"Ja, alle 2 Wochen","2005","30-45","2","96","0.0985722223251869","0.0800691752301494","0.117075269420224"
"Ja, alle 2 Wochen","2005","30-45","3","88","0.0929485290401784","0.074504030879069","0.111393027201288"
"Ja, alle 2 Wochen","2005","30-45","4","84","0.0929647932239764","0.0756704055946084","0.110259180853344"
"Ja, alle 2 Wochen","2005","30-45","5 Einkommensstärkstes Quintil","88","0.103448112435283","0.0845157897166727","0.122380435153894"
"Ja, alle 2 Wochen","2005","46-65","1 Einkommensschwächstes Quintil","40","0.0961109957927629","0.0679227833514247","0.124299208234101"
"Ja, alle 2 Wochen","2005","46-65","2","54","0.0780979798237727","0.0574063778645907","0.0987895817829547"
"Ja, alle 2 Wochen","2005","46-65","3","68","0.119903509045032","0.0961754106781952","0.143631607411869"
"Ja, alle 2 Wochen","2005","46-65","4","60","0.0658034467319696","0.0502961606637651","0.081310732800174"
"Ja, alle 2 Wochen","2005","46-65","5 Einkommensstärkstes Quintil","96","0.0663941651220163","0.0535170788055138","0.0792712514385188"
"Ja, alle 2 Wochen","2005","66","1 Einkommensschwächstes Quintil","","","",""
"Ja, alle 2 Wochen","2005","66","2","","","",""
"Ja, alle 2 Wochen","2005","66","3","","","",""
"Ja, alle 2 Wochen","2005","66","4","","","",""
"Ja, alle 2 Wochen","2005","66","5 Einkommensstärkstes Quintil","","","",""
"Ja, alle 3-4 Wochen","2005","17-29","1 Einkommensschwächstes Quintil","25","","",""
"Ja, alle 3-4 Wochen","2005","17-29","2","22","","",""
"Ja, alle 3-4 Wochen","2005","17-29","3","16","","",""
"Ja, alle 3-4 Wochen","2005","17-29","4","22","","",""
"Ja, alle 3-4 Wochen","2005","17-29","5 Einkommensstärkstes Quintil","19","","",""
"Ja, alle 3-4 Wochen","2005","30-45","1 Einkommensschwächstes Quintil","29","","",""
"Ja, alle 3-4 Wochen","2005","30-45","2","45","0.0459412724856629","0.0329458747412202","0.0589366702301057"
"Ja, alle 3-4 Wochen","2005","30-45","3","57","0.064626552660215","0.0490084731089389","0.0802446322114911"
"Ja, alle 3-4 Wochen","2005","30-45","4","59","0.051576370480906","0.0384041062488847","0.0647486347129272"
"Ja, alle 3-4 Wochen","2005","30-45","5 Einkommensstärkstes Quintil","72","0.0840472944059662","0.0667987165839209","0.101295872228012"
"Ja, alle 3-4 Wochen","2005","46-65","1 Einkommensschwächstes Quintil","17","","",""
"Ja, alle 3-4 Wochen","2005","46-65","2","34","0.0705791117856943","0.0508287006436057","0.0903295229277829"
"Ja, alle 3-4 Wochen","2005","46-65","3","33","0.0427394031902331","0.0279649586939417","0.0575138476865245"
"Ja, alle 3-4 Wochen","2005","46-65","4","44","0.0483587903334743","0.0349414424066346","0.0617761382603139"
"Ja, alle 3-4 Wochen","2005","46-65","5 Einkommensstärkstes Quintil","76","0.0549461192424237","0.0431600858249106","0.0667321526599367"
"Ja, alle 3-4 Wochen","2005","66","1 Einkommensschwächstes Quintil","","","",""
"Ja, alle 3-4 Wochen","2005","66","2","","","",""
"Ja, alle 3-4 Wochen","2005","66","3","","","",""
"Ja, alle 3-4 Wochen","2005","66","4","","","",""
"Ja, alle 3-4 Wochen","2005","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","2005","17-29","1 Einkommensschwächstes Quintil","46","0.101680061266695","0.0730475377736524","0.130312584759739"
"Seltener","2005","17-29","2","47","0.108684997899007","0.079024508257179","0.138345487540835"
"Seltener","2005","17-29","3","42","0.121790519795326","0.0893740651460068","0.154206974444645"
"Seltener","2005","17-29","4","59","0.132100979819486","0.101158380497269","0.163043579141704"
"Seltener","2005","17-29","5 Einkommensstärkstes Quintil","36","0.189122552910085","0.138622553541905","0.239622552278265"
"Seltener","2005","30-45","1 Einkommensschwächstes Quintil","97","0.161677957928848","0.132366148450556","0.19098976740714"
"Seltener","2005","30-45","2","167","0.166090115098435","0.142989052028104","0.189191178168767"
