"plb0219","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Schleswig-Holstein","kein Migrationshintergrund","168","0.546748125807862","0.49088031842669","0.602615933189034"
"Nein, nie","2005","Schleswig-Holstein","direkter Migrationshintergrund","20","","",""
"Nein, nie","2005","Schleswig-Holstein","indirekter Migrationshintergrund","5","","",""
"Nein, nie","2005","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Hamburg","kein Migrationshintergrund","94","0.627401935432565","0.547312119128707","0.707491751736423"
"Nein, nie","2005","Hamburg","direkter Migrationshintergrund","9","","",""
"Nein, nie","2005","Hamburg","indirekter Migrationshintergrund","1","","",""
"Nein, nie","2005","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Niedersachsen","kein Migrationshintergrund","463","0.570874422861834","0.536746889201936","0.605001956521731"
"Nein, nie","2005","Niedersachsen","direkter Migrationshintergrund","67","0.595686194465871","0.50355580756138","0.687816581370361"
"Nein, nie","2005","Niedersachsen","indirekter Migrationshintergrund","20","","",""
"Nein, nie","2005","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Bremen","kein Migrationshintergrund","29","","",""
"Nein, nie","2005","Bremen","direkter Migrationshintergrund","5","","",""
"Nein, nie","2005","Bremen","indirekter Migrationshintergrund","","","",""
"Nein, nie","2005","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Nordrhein-Westfalen","kein Migrationshintergrund","1176","0.632050687885047","0.610205030373659","0.653896345396435"
"Nein, nie","2005","Nordrhein-Westfalen","direkter Migrationshintergrund","232","0.742937452422968","0.695715311623401","0.790159593222536"
"Nein, nie","2005","Nordrhein-Westfalen","indirekter Migrationshintergrund","84","0.593009288174541","0.507567716712951","0.678450859636131"
"Nein, nie","2005","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Hessen","kein Migrationshintergrund","369","0.573066391060992","0.534503268416391","0.611629513705594"
"Nein, nie","2005","Hessen","direkter Migrationshintergrund","76","0.638562658245628","0.551137311126816","0.725988005364441"
"Nein, nie","2005","Hessen","indirekter Migrationshintergrund","33","0.773875021089636","0.655533497463313","0.892216544715958"
"Nein, nie","2005","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","336","0.648512204179663","0.607750063337709","0.689274345021618"
"Nein, nie","2005","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","58","0.585450603923083","0.483671151771837","0.687230056074329"
"Nein, nie","2005","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","16","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Baden-Wuerttemberg","kein Migrationshintergrund","675","0.655973707936791","0.626632878319326","0.685314537554256"
"Nein, nie","2005","Baden-Wuerttemberg","direkter Migrationshintergrund","189","0.724180011310022","0.668779442785721","0.779580579834322"
"Nein, nie","2005","Baden-Wuerttemberg","indirekter Migrationshintergrund","83","0.764811637755171","0.684824276272496","0.844798999237846"
"Nein, nie","2005","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Bayern","kein Migrationshintergrund","891","0.629331350088828","0.60401348293515","0.654649217242506"
