"plb0219","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Städtischer Raum","573","0.65539163098167","0.623956578560499","0.68682668340284"
"Nein, nie","2005","1 Einkommensschwächstes Quintil","Ländlicher Raum","365","0.634450752893036","0.595591540800149","0.673309964985922"
"Nein, nie","2005","2","Städtischer Raum","866","0.651939660993868","0.626074996234538","0.677804325753199"
"Nein, nie","2005","2","Ländlicher Raum","486","0.625350006256264","0.591381595085009","0.659318417427518"
"Nein, nie","2005","3","Städtischer Raum","895","0.667216254839801","0.641929998412837","0.692502511266764"
"Nein, nie","2005","3","Ländlicher Raum","448","0.548366417762215","0.512797740920837","0.583935094603594"
"Nein, nie","2005","4","Städtischer Raum","1184","0.654931683438487","0.632865716540912","0.676997650336061"
"Nein, nie","2005","4","Ländlicher Raum","459","0.585044711304025","0.549991938011038","0.620097484597011"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Städtischer Raum","1158","0.517670371413997","0.496175589591164","0.539165153236831"
"Nein, nie","2005","5 Einkommensstärkstes Quintil","Ländlicher Raum","368","0.59374827252445","0.555786944741068","0.631709600307831"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Städtischer Raum","54","0.0573400515410144","0.0419617844254821","0.0727183186565467"
"Ja, jede Woche","2005","1 Einkommensschwächstes Quintil","Ländlicher Raum","45","0.0760533096539171","0.0546636141882259","0.0974430051196083"
"Ja, jede Woche","2005","2","Städtischer Raum","74","0.0502287937811308","0.0383694200022236","0.062088167560038"
"Ja, jede Woche","2005","2","Ländlicher Raum","38","0.0620773671287337","0.045143702975352","0.0790110312821154"
"Ja, jede Woche","2005","3","Städtischer Raum","53","0.0405143036741106","0.0299341099887612","0.0510944973594601"
"Ja, jede Woche","2005","3","Ländlicher Raum","49","0.0694450002369744","0.0512760144146458","0.0876139860593031"
"Ja, jede Woche","2005","4","Städtischer Raum","83","0.044694450094549","0.0351033070335073","0.0542855931555907"
"Ja, jede Woche","2005","4","Ländlicher Raum","42","0.0598078934870113","0.0429379061518461","0.0766778808221766"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Städtischer Raum","147","0.0728703106122795","0.0616893280248795","0.0840512931996795"
"Ja, jede Woche","2005","5 Einkommensstärkstes Quintil","Ländlicher Raum","56","0.110080075675661","0.0858880391565935","0.134272112194728"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Städtischer Raum","75","0.0892139944771262","0.0703590394868582","0.108068949467394"
"Ja, alle 2 Wochen","2005","1 Einkommensschwächstes Quintil","Ländlicher Raum","63","0.0927997337786086","0.0693872745082682","0.116212193048949"
"Ja, alle 2 Wochen","2005","2","Städtischer Raum","124","0.102352845384833","0.085894784194378","0.118810906575289"
"Ja, alle 2 Wochen","2005","2","Ländlicher Raum","70","0.0840967019883515","0.064620015063076","0.103573388913627"
