"plb0219","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","Schleswig-Holstein","5","","",""
"Nein, nie","2005","(noch) kein Abschluss","Hamburg","1","","",""
"Nein, nie","2005","(noch) kein Abschluss","Niedersachsen","6","","",""
"Nein, nie","2005","(noch) kein Abschluss","Bremen","1","","",""
"Nein, nie","2005","(noch) kein Abschluss","Nordrhein-Westfalen","25","","",""
"Nein, nie","2005","(noch) kein Abschluss","Hessen","3","","",""
"Nein, nie","2005","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","4","","",""
"Nein, nie","2005","(noch) kein Abschluss","Baden-Wuerttemberg","18","","",""
"Nein, nie","2005","(noch) kein Abschluss","Bayern","9","","",""
"Nein, nie","2005","(noch) kein Abschluss","Saarland","","","",""
"Nein, nie","2005","(noch) kein Abschluss","Berlin","2","","",""
"Nein, nie","2005","(noch) kein Abschluss","Brandenburg","3","","",""
"Nein, nie","2005","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Nein, nie","2005","(noch) kein Abschluss","Sachsen","","","",""
"Nein, nie","2005","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Nein, nie","2005","(noch) kein Abschluss","Thueringen","","","",""
"Nein, nie","2005","Hauptschule","Schleswig-Holstein","53","0.468368999578609","0.370074387373158","0.566663611784059"
"Nein, nie","2005","Hauptschule","Hamburg","17","","",""
"Nein, nie","2005","Hauptschule","Niedersachsen","177","0.626779510494661","0.570329546224407","0.683229474764915"
"Nein, nie","2005","Hauptschule","Bremen","8","","",""
"Nein, nie","2005","Hauptschule","Nordrhein-Westfalen","483","0.698912637073751","0.664856968360769","0.732968305786733"
"Nein, nie","2005","Hauptschule","Hessen","152","0.67989788774616","0.618668237958155","0.741127537534164"
"Nein, nie","2005","Hauptschule","Rheinland-Pfalz,Saarland","175","0.637662269635664","0.580643360062288","0.694681179209041"
"Nein, nie","2005","Hauptschule","Baden-Wuerttemberg","348","0.726512721820711","0.686342179315051","0.76668326432637"
