year,hhtyp,regtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Urban regions,No,0.99760,2058,2058,0.99548,0.99971
2001,Single-person household,Rural regions,No,0.98912,854,854,0.98215,0.99608
2001,Couple without children,Urban regions,No,0.99359,2363,2363,0.99038,0.99681
2001,Couple without children,Rural regions,No,0.98518,1196,1196,0.97833,0.99203
2001,Single parent,Urban regions,No,0.99054,463,463,0.98171,0.99937
2001,Single parent,Rural regions,No,0.99458,237,237,0.98521,1.00395
2001,Couple with children,Urban regions,Yes,0.01958,42,2689,0.01434,0.02482
2001,Couple with children,Urban regions,No,0.98042,2647,2689,0.97518,0.98566
2001,Couple with children,Rural regions,Yes,0.02787,39,1486,0.01950,0.03624
2001,Couple with children,Rural regions,No,0.97213,1447,1486,0.96376,0.98050
2001,Multi-generational household,Urban regions,No,0.99380,104,104,0.97865,1.00896
2001,Multi-generational household,Rural regions,No,0.95428,52,52,0.89695,1.01161
2006,Single-person household,Urban regions,No,0.99688,2250,2250,0.99457,0.99918
2006,Single-person household,Rural regions,No,0.99098,1021,1021,0.98518,0.99678
2006,Couple without children,Urban regions,No,0.99280,2766,2766,0.98964,0.99595
2006,Couple without children,Rural regions,No,0.98106,1353,1353,0.97380,0.98833
2006,Single parent,Urban regions,No,0.99839,491,491,0.99485,1.00194
2006,Single parent,Rural regions,No,0.98638,275,275,0.97265,1.00010
2006,Couple with children,Urban regions,Yes,0.01339,34,2499,0.00888,0.01789
2006,Couple with children,Urban regions,No,0.98661,2465,2499,0.98211,0.99112
2006,Couple with children,Rural regions,Yes,0.04150,55,1338,0.03081,0.05219
2006,Couple with children,Rural regions,No,0.95850,1283,1338,0.94781,0.96919
2006,Multi-generational household,Urban regions,No,0.93124,60,60,0.86667,0.99581
2006,Multi-generational household,Rural regions,No,0.98609,43,43,0.95066,1.02151
2006,Other Combinations,Rural regions,No,0.96295,38,38,0.90209,1.02381
2011,Single-person household,Urban regions,No,0.99397,2373,2373,0.99085,0.99708
2011,Single-person household,Rural regions,No,0.99492,1116,1116,0.99075,0.99909
2011,Couple without children,Urban regions,No,0.99455,2751,2751,0.99180,0.99730
2011,Couple without children,Rural regions,No,0.98051,1575,1575,0.97369,0.98734
2011,Single parent,Urban regions,No,0.98640,514,514,0.97637,0.99642
2011,Single parent,Rural regions,No,0.96883,262,262,0.94775,0.98991
2011,Couple with children,Urban regions,No,0.98653,2059,2059,0.98155,0.99151
2011,Couple with children,Rural regions,No,0.96743,1123,1123,0.95704,0.97781
2011,Multi-generational household,Urban regions,No,0.89887,45,45,0.80978,0.98796
2011,Other Combinations,Rural regions,No,0.96581,33,33,0.90285,1.02877
2016,Single-person household,Urban regions,No,0.99663,2310,2310,0.99427,0.99900
2016,Single-person household,Rural regions,No,0.99597,1065,1065,0.99216,0.99978
2016,Couple without children,Urban regions,No,0.99000,2546,2546,0.98613,0.99387
2016,Couple without children,Rural regions,No,0.98015,1508,1508,0.97311,0.98719
2016,Single parent,Urban regions,No,0.99391,985,985,0.98905,0.99877
2016,Single parent,Rural regions,No,0.96502,524,524,0.94927,0.98076
2016,Couple with children,Urban regions,Yes,0.01392,41,3297,0.00992,0.01792
2016,Couple with children,Urban regions,No,0.98608,3256,3297,0.98208,0.99008
2016,Couple with children,Rural regions,Yes,0.02703,45,1693,0.01931,0.03476
2016,Couple with children,Rural regions,No,0.97297,1648,1693,0.96524,0.98069
2016,Multi-generational household,Urban regions,No,0.91924,62,62,0.85087,0.98762
2016,Multi-generational household,Rural regions,No,0.92415,43,43,0.84408,1.00422
2016,Other Combinations,Urban regions,No,0.97140,135,135,0.94317,0.99962
2021,Single-person household,Urban regions,No,0.99448,2237,2237,0.99141,0.99755
2021,Single-person household,Rural regions,No,0.99148,932,932,0.98557,0.99738
2021,Couple without children,Urban regions,No,0.98985,2195,2195,0.98566,0.99404
2021,Couple without children,Rural regions,No,0.97613,1179,1179,0.96741,0.98485
2021,Single parent,Urban regions,No,0.99315,565,565,0.98634,0.99996
2021,Single parent,Rural regions,No,0.95203,316,316,0.92843,0.97563
2021,Couple with children,Urban regions,Yes,0.01928,36,2101,0.01340,0.02516
2021,Couple with children,Urban regions,No,0.98072,2065,2101,0.97484,0.98660
2021,Couple with children,Rural regions,Yes,0.02222,31,1061,0.01335,0.03110
2021,Couple with children,Rural regions,No,0.97778,1030,1061,0.96890,0.98665
2021,Other Combinations,Urban regions,No,0.98731,184,184,0.97109,1.00353
2021,Other Combinations,Rural regions,No,0.95668,75,75,0.91030,1.00306
