year,hhtyp,quintil_oecd_hh,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,1st Quintile,No,0.99314,823,823,0.98750,0.99878
2001,Single-person household,2nd Quintile,No,0.99899,602,602,0.99645,1.00153
2001,Single-person household,3rd Quintile,No,0.99483,541,541,0.98879,1.00088
2001,Single-person household,4th Quintile,No,0.99391,492,492,0.98703,1.00079
2001,Single-person household,5th Quintile,No,0.99618,451,451,0.99048,1.00188
2001,Couple without children,1st Quintile,No,0.99891,409,409,0.99571,1.00211
2001,Couple without children,2nd Quintile,No,0.99353,620,620,0.98721,0.99985
2001,Couple without children,3rd Quintile,No,0.99690,730,730,0.99287,1.00094
2001,Couple without children,4th Quintile,No,0.98960,834,834,0.98271,0.99649
2001,Couple without children,5th Quintile,No,0.98372,966,966,0.97574,0.99171
2001,Single parent,1st Quintile,No,0.99355,296,296,0.98442,1.00269
2001,Single parent,3rd Quintile,No,0.98308,108,108,0.95865,1.00752
2001,Single parent,4th Quintile,No,0.97107,72,72,0.93208,1.01006
2001,Couple with children,1st Quintile,No,0.98308,635,635,0.97304,0.99312
2001,Couple with children,2nd Quintile,No,0.99033,985,985,0.98421,0.99644
2001,Couple with children,3rd Quintile,No,0.97502,973,973,0.96521,0.98483
2001,Couple with children,4th Quintile,No,0.97436,875,875,0.96388,0.98484
2001,Couple with children,5th Quintile,No,0.96399,626,626,0.94939,0.97860
2001,Multi-generational household,2nd Quintile,No,0.97248,41,41,0.92178,1.02318
2006,Single-person household,1st Quintile,No,0.99824,845,845,0.99541,1.00107
2006,Single-person household,2nd Quintile,No,0.99457,644,644,0.98889,1.00025
2006,Single-person household,3rd Quintile,No,0.99745,600,600,0.99340,1.00149
2006,Single-person household,4th Quintile,No,0.99843,589,589,0.99522,1.00163
2006,Single-person household,5th Quintile,No,0.98594,588,588,0.97641,0.99546
2006,Couple without children,1st Quintile,No,0.99896,425,425,0.99589,1.00203
2006,Couple without children,2nd Quintile,No,0.98981,659,659,0.98213,0.99748
2006,Couple without children,3rd Quintile,No,0.98960,765,765,0.98240,0.99679
2006,Couple without children,4th Quintile,No,0.98762,826,826,0.98007,0.99516
2006,Couple without children,5th Quintile,No,0.98497,1443,1443,0.97869,0.99125
2006,Single parent,1st Quintile,No,0.99634,335,335,0.98987,1.00282
2006,Single parent,4th Quintile,No,0.99476,93,93,0.98001,1.00951
2006,Single parent,5th Quintile,No,0.94350,60,60,0.88459,1.00242
2006,Couple with children,1st Quintile,No,0.98807,452,452,0.97804,0.99809
2006,Couple with children,2nd Quintile,No,0.98282,696,696,0.97316,0.99248
2006,Couple with children,3rd Quintile,No,0.98017,843,843,0.97075,0.98958
2006,Couple with children,4th Quintile,No,0.97378,893,893,0.96329,0.98426
2006,Couple with children,5th Quintile,No,0.96222,864,864,0.94949,0.97494
