year,hhtyp,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Owner,No,0.99553,769,769,0.99081,1.00025
2001,Single-person household,Tenant,No,0.99518,2143,2143,0.99225,0.99811
2001,Couple without children,Owner,No,0.98445,1756,1756,0.97867,0.99024
2001,Couple without children,Tenant,No,0.99791,1803,1803,0.99580,1.00002
2001,Single parent,Owner,No,0.97017,187,187,0.94571,0.99462
2001,Single parent,Tenant,No,0.99944,513,513,0.99739,1.00149
2001,Couple with children,Owner,Yes,0.02961,61,2339,0.02274,0.03648
2001,Couple with children,Owner,No,0.97039,2278,2339,0.96352,0.97726
2001,Couple with children,Tenant,No,0.98683,1816,1816,0.98159,0.99208
2001,Multi-generational household,Owner,No,0.97149,113,113,0.94067,1.00231
2006,Single-person household,Owner,No,0.99259,948,948,0.98713,0.99805
2006,Single-person household,Tenant,No,0.99619,2322,2322,0.99369,0.99870
2006,Couple without children,Owner,No,0.98557,2282,2282,0.98068,0.99046
2006,Couple without children,Tenant,No,0.99271,1837,1837,0.98882,0.99660
2006,Single parent,Owner,No,0.98242,220,220,0.96502,0.99983
2006,Single parent,Tenant,No,0.99788,546,546,0.99401,1.00174
2006,Couple with children,Owner,Yes,0.03794,78,2375,0.03025,0.04563
2006,Couple with children,Owner,No,0.96206,2297,2375,0.95437,0.96975
2006,Couple with children,Tenant,No,0.99617,1450,1450,0.99299,0.99935
2006,Multi-generational household,Owner,No,0.98985,76,76,0.96716,1.01254
2006,Other Combinations,Owner,No,0.97614,61,61,0.93752,1.01476
2011,Single-person household,Owner,No,0.99312,1067,1067,0.98816,0.99808
2011,Single-person household,Tenant,No,0.99475,2422,2422,0.99187,0.99763
2011,Couple without children,Owner,No,0.98675,2484,2484,0.98225,0.99124
2011,Couple without children,Tenant,No,0.99360,1842,1842,0.98996,0.99725
2011,Single parent,Owner,No,0.96988,218,218,0.94714,0.99262
2011,Single parent,Tenant,No,0.98646,558,558,0.97686,0.99606
2011,Couple with children,Owner,Yes,0.02759,48,2030,0.02046,0.03472
2011,Couple with children,Owner,No,0.97241,1982,2030,0.96528,0.97954
2011,Couple with children,Tenant,No,0.99459,1200,1200,0.99044,0.99874
2011,Other Combinations,Owner,No,0.97825,44,44,0.93465,1.02185
2016,Single-person household,Owner,No,0.99563,926,926,0.99138,0.99988
2016,Single-person household,Tenant,No,0.99683,2448,2448,0.99460,0.99906
2016,Couple without children,Owner,No,0.98246,2192,2192,0.97696,0.98795
2016,Couple without children,Tenant,No,0.99237,1862,1862,0.98842,0.99632
2016,Single parent,Owner,No,0.94960,371,371,0.92731,0.97189
2016,Single parent,Tenant,No,0.99778,1138,1138,0.99504,1.00052
2016,Couple with children,Owner,Yes,0.02417,69,2662,0.01833,0.03000
2016,Couple with children,Owner,No,0.97583,2593,2662,0.97000,0.98167
2016,Couple with children,Tenant,No,0.99121,2311,2311,0.98741,0.99502
2016,Multi-generational household,Owner,No,0.87331,49,49,0.77921,0.96741
2016,Other Combinations,Owner,No,0.95116,51,51,0.89141,1.01090
2016,Other Combinations,Tenant,No,0.99207,142,142,0.97743,1.00671
2021,Single-person household,Owner,No,0.99041,853,853,0.98387,0.99696
2021,Single-person household,Tenant,No,0.99520,2316,2316,0.99238,0.99801
2021,Couple without children,Owner,No,0.98061,1897,1897,0.97441,0.98682
2021,Couple without children,Tenant,No,0.99435,1477,1477,0.99053,0.99817
2021,Single parent,Owner,No,0.93956,238,238,0.90923,0.96990
2021,Single parent,Tenant,No,0.99504,643,643,0.98960,1.00047
2021,Couple with children,Owner,Yes,0.02632,57,1881,0.01908,0.03355
2021,Couple with children,Owner,No,0.97368,1824,1881,0.96645,0.98092
2021,Couple with children,Tenant,No,0.98969,1268,1268,0.98413,0.99525
2021,Multi-generational household,Owner,No,0.98743,39,39,0.95200,1.02285
2021,Other Combinations,Owner,No,0.94888,103,103,0.90614,0.99162
