"hlf0001_h","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Hauptmieter","1995","1","Staedtischer Raum","3211","0.659470050436655","0.645284488483359","0.67365561238995"
"Hauptmieter","1995","1","Laendlicher Raum","1532","0.515620230285269","0.497168564948644","0.534071895621894"
"Hauptmieter","1995","2","Staedtischer Raum","2078","0.551783953782426","0.534512789856278","0.569055117708574"
"Hauptmieter","1995","2","Laendlicher Raum","819","0.405386613347446","0.382481746101264","0.428291480593628"
"Hauptmieter","1995","3","Staedtischer Raum","1138","0.501431729003754","0.479702673934513","0.523160784072995"
"Hauptmieter","1995","3","Laendlicher Raum","457","0.396960165574302","0.366374509792092","0.427545821356513"
"Hauptmieter","1995","4","Staedtischer Raum","654","0.476910817332456","0.449935804516969","0.503885830147943"
"Hauptmieter","1995","4","Laendlicher Raum","193","0.38718089514662","0.343513503573947","0.430848286719292"
"Hauptmieter","1995","5","Staedtischer Raum","224","0.313833071251684","0.279082091770613","0.348584050732755"
"Hauptmieter","1995","5","Laendlicher Raum","35","0.205457077505883","0.142852320450633","0.268061834561133"
"Untermieter","1995","1","Staedtischer Raum","136","0.0371408114207843","0.0314800033204289","0.0428016195211398"
"Untermieter","1995","1","Laendlicher Raum","126","0.0538018099928155","0.0454713861902001","0.062132233795431"
"Untermieter","1995","2","Staedtischer Raum","54","0.0272188633958317","0.021567725095209","0.0328700016964543"
"Untermieter","1995","2","Laendlicher Raum","57","0.0308376020120714","0.0227724173848085","0.0389027866393343"
"Untermieter","1995","3","Staedtischer Raum","31","0.0135848089654108","0.00855409922341889","0.0186155187074027"
"Untermieter","1995","3","Laendlicher Raum","","","",""
"Untermieter","1995","4","Staedtischer Raum","","","",""
"Untermieter","1995","4","Laendlicher Raum","","","",""
"Untermieter","1995","5","Staedtischer Raum","","","",""
"Untermieter","1995","5","Laendlicher Raum","","","",""
"Eigentuemer","1995","1","Staedtischer Raum","940","0.303389138142561","0.289627615649355","0.317150660635767"
"Eigentuemer","1995","1","Laendlicher Raum","1160","0.430577959721916","0.412296089109287","0.448859830334545"
"Eigentuemer","1995","2","Staedtischer Raum","1053","0.420997182821743","0.403850768806533","0.438143596836952"
"Eigentuemer","1995","2","Laendlicher Raum","889","0.563775784640482","0.540640021454427","0.586911547826537"
"Eigentuemer","1995","3","Staedtischer Raum","865","0.484983462030835","0.46326411977743","0.50670280428424"
"Eigentuemer","1995","3","Laendlicher Raum","504","0.583016373310749","0.552193635713968","0.61383911090753"
"Eigentuemer","1995","4","Staedtischer Raum","638","0.494198541111776","0.467196538690442","0.52120054353311"
"Eigentuemer","1995","4","Laendlicher Raum","269","0.58316143710536","0.538962432741274","0.627360441469446"
"Eigentuemer","1995","5","Staedtischer Raum","450","0.675065757334324","0.639992703216125","0.710138811452523"
