"hlf0001_h","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","1-Pers.- Haushalt","2","318","0.706718477133939","0.663333089535804","0.750103864732074"
"Hauptmieter","1995","1-Pers.- Haushalt","3","175","","",""
"Hauptmieter","1995","1-Pers.- Haushalt","4","90","0.614663080692139","0.535174321162404","0.694151840221873"
"Hauptmieter","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","2","518","0.52173160219452","0.488652367580225","0.554810836808816"
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","3","534","0.54656930454191","0.512823248012647","0.580315361071174"
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","4","422","0.570136177605807","0.533566889214591","0.606705465997023"
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","Alleinerziehende","2","151","","",""
"Hauptmieter","1995","Alleinerziehende","3","54","0.454129851420355","0.362733183428864","0.545526519411846"
"Hauptmieter","1995","Alleinerziehende","4","25","","",""
"Hauptmieter","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","Paar mit Kind(ern)","2","1758","","",""
"Hauptmieter","1995","Paar mit Kind(ern)","3","769","0.376458729511416","0.35288761493167","0.400029844091163"
"Hauptmieter","1995","Paar mit Kind(ern)","4","267","","",""
"Hauptmieter","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","Sonstige","2","152","","",""
"Hauptmieter","1995","Sonstige","3","63","0.234744656887601","0.17873823934544","0.290751074429762"
