year,hhtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,Yes,0.30726,988,2879,0.29040,0.32411
2005,Single-person household,No,0.68086,1891,2879,0.66383,0.69789
2005,Couple without children,Yes,0.43255,1790,3654,0.41648,0.44861
2005,Couple without children,No,0.55545,1864,3654,0.53934,0.57157
2005,Single parent,Yes,0.45389,325,687,0.41663,0.49115
2005,Single parent,No,0.53447,362,687,0.49714,0.57179
2005,Couple with children,Yes,0.72113,2748,3677,0.70663,0.73563
2005,Couple with children,No,0.26705,929,3677,0.25275,0.28136
2005,Multi-generational household,Yes,0.53066,54,105,0.43474,0.62657
2005,Multi-generational household,No,0.45558,51,105,0.35986,0.55129
2005,Other Combinations,Yes,0.45229,54,99,0.35375,0.55083
2005,Other Combinations,No,0.53929,45,99,0.44060,0.63798
2007,Single-person household,Yes,0.35460,1224,3074,0.33769,0.37152
2007,Single-person household,No,0.62925,1850,3074,0.61217,0.64633
2007,Couple without children,Yes,0.51891,2189,3847,0.50312,0.53470
2007,Couple without children,No,0.46945,1658,3847,0.45368,0.48522
2007,Single parent,Yes,0.56506,428,711,0.52860,0.60153
2007,Single parent,No,0.43494,283,711,0.39847,0.47140
2007,Couple with children,Yes,0.84117,3017,3556,0.82915,0.85318
2007,Couple with children,No,0.15082,539,3556,0.13906,0.16259
2007,Multi-generational household,Yes,0.68744,64,64,0.57298,0.80190
2007,Other Combinations,Yes,0.55256,53,88,0.44807,0.65704
2007,Other Combinations,No,0.39809,35,88,0.29523,0.50096
2011,Single-person household,Yes,0.49387,1806,3489,0.47728,0.51046
2011,Single-person household,No,0.49621,1683,3489,0.47962,0.51280
2011,Couple without children,Yes,0.69437,3093,4339,0.68066,0.70807
2011,Couple without children,No,0.29417,1246,4339,0.28061,0.30773
2011,Single parent,Yes,0.42893,646,781,0.39420,0.46366
2011,Single parent,No,0.09292,135,781,0.07254,0.11329
2011,Couple with children,Yes,0.75276,3082,3235,0.73789,0.76763
2011,Couple with children,No,0.03901,153,3235,0.03234,0.04569
2011,Multi-generational household,Yes,0.69660,68,68,0.58651,0.80668
2011,Other Combinations,Yes,0.71438,73,73,0.61004,0.81872
2013,Single-person household,Yes,0.55273,2187,3691,0.53669,0.56878
2013,Single-person household,No,0.42681,1504,3691,0.41085,0.44277
2013,Couple without children,Yes,0.75931,3567,4562,0.74690,0.77172
2013,Couple without children,No,0.22635,995,4562,0.21420,0.23849
2013,Single parent,Yes,0.53144,852,979,0.50017,0.56272
2013,Single parent,No,0.09154,127,979,0.07347,0.10962
2013,Couple with children,Yes,0.80521,4052,4181,0.79321,0.81722
2013,Couple with children,No,0.02481,129,4181,0.02009,0.02953
2013,Multi-generational household,Yes,0.84612,109,109,0.77807,0.91417
2013,Other Combinations,Yes,0.88050,308,343,0.84612,0.91488
2013,Other Combinations,No,0.10152,35,343,0.06951,0.13353
2014,Single-person household,Yes,0.56132,2124,3554,0.54501,0.57764
2014,Single-person household,No,0.43335,1430,3554,0.41705,0.44964
2014,Couple without children,Yes,0.77619,3420,4343,0.76379,0.78859
2014,Couple without children,No,0.21848,923,4343,0.20619,0.23077
2014,Single parent,Yes,0.87288,1647,1805,0.85751,0.88825
2014,Single parent,No,0.11914,158,1805,0.10419,0.13408
2014,Couple with children,Yes,0.96369,5514,5691,0.95883,0.96855
2014,Couple with children,No,0.03492,177,5691,0.03015,0.03969
2014,Multi-generational household,Yes,0.83815,111,111,0.76932,0.90698
2014,Other Combinations,Yes,0.85812,234,234,0.81332,0.90292
2015,Single-person household,Yes,0.59194,2268,3607,0.57590,0.60798
2015,Single-person household,No,0.39969,1339,3607,0.38370,0.41568
2015,Couple without children,Yes,0.81863,3644,4360,0.80719,0.83007
2015,Couple without children,No,0.17508,716,4360,0.16380,0.18636
2015,Single parent,Yes,0.87889,1561,1709,0.86341,0.89436
2015,Single parent,No,0.12043,148,1709,0.10499,0.13586
2015,Couple with children,Yes,0.97313,5474,5654,0.96892,0.97735
2015,Couple with children,No,0.02633,180,5654,0.02216,0.03051
2015,Multi-generational household,Yes,0.84892,128,128,0.78664,0.91121
2015,Other Combinations,Yes,0.91849,228,228,0.88289,0.95408
2016,Single-person household,Yes,0.62905,2481,3797,0.61368,0.64442
2016,Single-person household,No,0.36736,1316,3797,0.35202,0.38269
2016,Couple without children,Yes,0.84387,3532,4151,0.83283,0.85492
2016,Couple without children,No,0.15255,619,4151,0.14161,0.16349
2016,Single parent,Yes,0.89038,1532,1707,0.87555,0.90520
2016,Single parent,No,0.10962,175,1707,0.09480,0.12445
2016,Couple with children,Yes,0.97058,5849,6197,0.96638,0.97479
2016,Couple with children,No,0.02895,348,6197,0.02477,0.03312
2016,Multi-generational household,Yes,0.97587,134,134,0.94979,1.00195
2016,Other Combinations,Yes,0.85943,319,383,0.82457,0.89429
2016,Other Combinations,No,0.11830,64,383,0.08591,0.15069
2017,Single-person household,Yes,0.66010,3076,4284,0.64592,0.67429
2017,Single-person household,No,0.33691,1208,4284,0.32275,0.35106
2017,Couple without children,Yes,0.87140,4150,4706,0.86183,0.88096
2017,Couple without children,No,0.12628,556,4706,0.11679,0.13578
