year,regtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,West,Yes,0.47742,3689,6565,0.46533,0.48950
2005,Urban regions,West,No,0.51238,2876,6565,0.50029,0.52448
2005,Urban regions,East,Yes,0.42311,477,928,0.39131,0.45492
2005,Urban regions,East,No,0.55717,451,928,0.52519,0.58914
2005,Rural regions,West,Yes,0.47592,1028,1877,0.45332,0.49852
2005,Rural regions,West,No,0.51167,849,1877,0.48905,0.53429
2005,Rural regions,East,Yes,0.36869,765,1731,0.34595,0.39142
2005,Rural regions,East,No,0.61586,966,1731,0.59294,0.63878
2007,Urban regions,West,Yes,0.56591,4283,6615,0.55396,0.57785
2007,Urban regions,West,No,0.42136,2332,6615,0.40946,0.43326
2007,Urban regions,East,Yes,0.52073,551,936,0.48871,0.55276
2007,Urban regions,East,No,0.47262,385,936,0.44062,0.50462
2007,Rural regions,West,Yes,0.54081,1255,2013,0.51903,0.56258
2007,Rural regions,West,No,0.44661,758,2013,0.42489,0.46833
2007,Rural regions,East,Yes,0.39393,886,1802,0.37136,0.41650
2007,Rural regions,East,No,0.59618,916,1802,0.57352,0.61884
2011,Urban regions,West,Yes,0.63735,5206,6817,0.62594,0.64876
2011,Urban regions,West,No,0.28104,1611,6817,0.27037,0.29172
2011,Urban regions,East,Yes,0.60899,738,1018,0.57900,0.63899
2011,Urban regions,East,No,0.30777,280,1018,0.27940,0.33614
2011,Rural regions,West,Yes,0.59795,1686,2331,0.57804,0.61786
2011,Rural regions,West,No,0.30613,645,2331,0.28741,0.32484
2011,Rural regions,East,Yes,0.49715,1138,1856,0.47439,0.51990
2011,Rural regions,East,No,0.42585,718,1856,0.40334,0.44835
2013,Urban regions,West,Yes,0.70634,6915,8297,0.69654,0.71614
2013,Urban regions,West,No,0.22652,1382,8297,0.21751,0.23553
2013,Urban regions,East,Yes,0.65140,793,1031,0.62229,0.68050
2013,Urban regions,East,No,0.27100,238,1031,0.24385,0.29814
2013,Rural regions,West,Yes,0.65433,2140,2706,0.63641,0.67225
2013,Rural regions,West,No,0.26159,566,2706,0.24502,0.27815
2013,Rural regions,East,Yes,0.55644,1227,1838,0.53372,0.57916
2013,Rural regions,East,No,0.37106,611,1838,0.34897,0.39316
2014,Urban regions,West,Yes,0.76499,7842,9158,0.75630,0.77367
2014,Urban regions,West,No,0.23001,1316,9158,0.22139,0.23863
2014,Urban regions,East,Yes,0.70915,954,1204,0.68349,0.73482
2014,Urban regions,East,No,0.27774,250,1204,0.25243,0.30305
2014,Rural regions,West,Yes,0.72374,2692,3254,0.70837,0.73910
2014,Rural regions,West,No,0.27385,562,3254,0.25853,0.28917
2014,Rural regions,East,Yes,0.61858,1562,2160,0.59809,0.63907
2014,Rural regions,East,No,0.37760,598,2160,0.35715,0.39805
2015,Urban regions,West,Yes,0.78835,7989,9164,0.77999,0.79672
2015,Urban regions,West,No,0.20818,1175,9164,0.19987,0.21649
2015,Urban regions,East,Yes,0.73404,971,1193,0.70896,0.75913
