year,quintil_oecd_hh,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Urban regions,Yes,0.30251,428,1261,0.27714,0.32787
2005,1st Quintile,Urban regions,No,0.67922,833,1261,0.65344,0.70499
2005,1st Quintile,Rural regions,Yes,0.25316,201,684,0.22055,0.28577
2005,1st Quintile,Rural regions,No,0.72743,483,684,0.69404,0.76083
2005,2nd Quintile,Urban regions,Yes,0.38191,525,1260,0.35507,0.40875
2005,2nd Quintile,Urban regions,No,0.60726,735,1260,0.58029,0.63424
2005,2nd Quintile,Rural regions,Yes,0.32280,283,788,0.29013,0.35546
2005,2nd Quintile,Rural regions,No,0.66295,505,788,0.62993,0.69598
2005,3rd Quintile,Urban regions,Yes,0.43934,655,1322,0.41258,0.46611
2005,3rd Quintile,Urban regions,No,0.54727,667,1322,0.52042,0.57411
2005,3rd Quintile,Rural regions,Yes,0.46209,385,760,0.42662,0.49756
2005,3rd Quintile,Rural regions,No,0.52905,375,760,0.49354,0.56457
2005,4th Quintile,Urban regions,Yes,0.51269,873,1476,0.48718,0.53820
2005,4th Quintile,Urban regions,No,0.48088,603,1476,0.45539,0.50638
2005,4th Quintile,Rural regions,Yes,0.52953,423,722,0.49310,0.56596
2005,4th Quintile,Rural regions,No,0.46035,299,722,0.42397,0.49674
2005,5th Quintile,Urban regions,Yes,0.68894,1685,2172,0.66947,0.70841
2005,5th Quintile,Urban regions,No,0.30358,487,2172,0.28423,0.32292
2005,5th Quintile,Rural regions,Yes,0.70226,501,653,0.66716,0.73736
2005,5th Quintile,Rural regions,No,0.28249,152,653,0.24793,0.31704
2007,1st Quintile,Urban regions,Yes,0.40237,550,1228,0.37493,0.42981
2007,1st Quintile,Urban regions,No,0.58978,678,1228,0.56226,0.61731
2007,1st Quintile,Rural regions,Yes,0.27927,237,714,0.24633,0.31220
2007,1st Quintile,Rural regions,No,0.70188,477,714,0.66831,0.73546
2007,2nd Quintile,Urban regions,Yes,0.43165,627,1290,0.40461,0.45869
2007,2nd Quintile,Urban regions,No,0.55564,663,1290,0.52851,0.58276
2007,2nd Quintile,Rural regions,Yes,0.40601,360,803,0.37202,0.44000
2007,2nd Quintile,Rural regions,No,0.58516,443,803,0.55106,0.61926
2007,3rd Quintile,Urban regions,Yes,0.54372,814,1359,0.51723,0.57021
2007,3rd Quintile,Urban regions,No,0.43927,545,1359,0.41287,0.46567
2007,3rd Quintile,Rural regions,Yes,0.47128,443,832,0.43734,0.50522
2007,3rd Quintile,Rural regions,No,0.51656,389,832,0.48258,0.55053
2007,4th Quintile,Urban regions,Yes,0.63758,1072,1541,0.61357,0.66159
2007,4th Quintile,Urban regions,No,0.34497,469,1541,0.32123,0.36872
2007,4th Quintile,Rural regions,Yes,0.59697,536,775,0.56241,0.63153
2007,4th Quintile,Rural regions,No,0.39833,239,775,0.36384,0.43282
2007,5th Quintile,Urban regions,Yes,0.75872,1768,2130,0.74055,0.77690
2007,5th Quintile,Urban regions,No,0.23500,362,2130,0.21699,0.25301
2007,5th Quintile,Rural regions,Yes,0.75515,565,691,0.72306,0.78723
2007,5th Quintile,Rural regions,No,0.23229,126,691,0.20078,0.26379
2011,1st Quintile,Urban regions,Yes,0.40571,833,1381,0.37980,0.43162
2011,1st Quintile,Urban regions,No,0.45132,548,1381,0.42506,0.47757
2011,1st Quintile,Rural regions,Yes,0.34580,421,858,0.31396,0.37765
2011,1st Quintile,Rural regions,No,0.50870,437,858,0.47522,0.54217
2011,2nd Quintile,Urban regions,Yes,0.51248,837,1324,0.48555,0.53942
2011,2nd Quintile,Urban regions,No,0.38864,487,1324,0.36237,0.41490
2011,2nd Quintile,Rural regions,Yes,0.43597,503,901,0.40357,0.46837
2011,2nd Quintile,Rural regions,No,0.44542,398,901,0.41295,0.47790
2011,3rd Quintile,Urban regions,Yes,0.63017,1063,1441,0.60523,0.65510
2011,3rd Quintile,Urban regions,No,0.29163,378,1441,0.26815,0.31510
2011,3rd Quintile,Rural regions,Yes,0.56411,612,922,0.53208,0.59614
2011,3rd Quintile,Rural regions,No,0.36763,310,922,0.33649,0.39877
2011,4th Quintile,Urban regions,Yes,0.74227,1351,1628,0.72102,0.76353
2011,4th Quintile,Urban regions,No,0.19886,277,1628,0.17946,0.21825
2011,4th Quintile,Rural regions,Yes,0.74715,657,797,0.71696,0.77735
2011,4th Quintile,Rural regions,No,0.20119,140,797,0.17334,0.22904
2011,5th Quintile,Urban regions,Yes,0.83900,1859,2058,0.82312,0.85488
2011,5th Quintile,Urban regions,No,0.12104,199,2058,0.10695,0.13514
2011,5th Quintile,Rural regions,Yes,0.82793,631,709,0.80013,0.85574
2011,5th Quintile,Rural regions,No,0.13336,78,709,0.10831,0.15840
2013,1st Quintile,Urban regions,Yes,0.52807,1491,2026,0.50632,0.54981
2013,1st Quintile,Urban regions,No,0.36757,535,2026,0.34657,0.38857
2013,1st Quintile,Rural regions,Yes,0.42500,608,1001,0.39436,0.45564
2013,1st Quintile,Rural regions,No,0.46298,393,1001,0.43207,0.49388
2013,2nd Quintile,Urban regions,Yes,0.58129,1316,1761,0.55824,0.60433
2013,2nd Quintile,Urban regions,No,0.32818,445,1761,0.30624,0.35012
2013,2nd Quintile,Rural regions,Yes,0.50457,659,1022,0.47390,0.53524
2013,2nd Quintile,Rural regions,No,0.38033,363,1022,0.35055,0.41010
2013,3rd Quintile,Urban regions,Yes,0.69139,1350,1667,0.66920,0.71357
2013,3rd Quintile,Urban regions,No,0.24319,317,1667,0.22259,0.26379
2013,3rd Quintile,Rural regions,Yes,0.63172,715,951,0.60105,0.66240
2013,3rd Quintile,Rural regions,No,0.30214,236,951,0.27294,0.33134
2013,4th Quintile,Urban regions,Yes,0.79510,1510,1702,0.77592,0.81428
2013,4th Quintile,Urban regions,No,0.15649,192,1702,0.13923,0.17376
2013,4th Quintile,Rural regions,Yes,0.75334,740,875,0.72476,0.78192
2013,4th Quintile,Rural regions,No,0.19861,135,875,0.17216,0.22506
2013,5th Quintile,Urban regions,Yes,0.87343,2037,2165,0.85943,0.88744
2013,5th Quintile,Urban regions,No,0.08814,128,2165,0.07620,0.10009
2013,5th Quintile,Rural regions,Yes,0.88164,645,695,0.85761,0.90568
2013,5th Quintile,Rural regions,No,0.07636,50,695,0.05660,0.09612
2014,1st Quintile,Urban regions,Yes,0.60425,1685,2215,0.58388,0.62462
2014,1st Quintile,Urban regions,No,0.38331,530,2215,0.36306,0.40356
2014,1st Quintile,Rural regions,Yes,0.55743,860,1224,0.52960,0.58527
2014,1st Quintile,Rural regions,No,0.44221,364,1224,0.41438,0.47005
2014,2nd Quintile,Urban regions,Yes,0.67094,1615,2022,0.65045,0.69142
2014,2nd Quintile,Urban regions,No,0.32243,407,2022,0.30206,0.34281
2014,2nd Quintile,Rural regions,Yes,0.57364,913,1279,0.54652,0.60075
2014,2nd Quintile,Rural regions,No,0.41949,366,1279,0.39243,0.44655
2014,3rd Quintile,Urban regions,Yes,0.74139,1623,1936,0.72188,0.76090
2014,3rd Quintile,Urban regions,No,0.25416,313,1936,0.23476,0.27356
