year,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,Yes,0.47219,4166,7493,0.46088,0.48349
2005,Urban regions,No,0.51670,3327,7493,0.50538,0.52801
2005,Rural regions,Yes,0.43385,1793,3608,0.41767,0.45002
2005,Rural regions,No,0.55255,1815,3608,0.53632,0.56878
2007,Urban regions,Yes,0.56164,4834,7551,0.55045,0.57284
2007,Urban regions,No,0.42620,2717,7551,0.41504,0.43735
2007,Rural regions,Yes,0.48327,2141,3815,0.46741,0.49913
2007,Rural regions,No,0.50520,1674,3815,0.48933,0.52107
2011,Urban regions,Yes,0.63459,5944,7835,0.62393,0.64525
2011,Urban regions,No,0.28365,1891,7835,0.27366,0.29363
2011,Rural regions,Yes,0.56082,2824,4187,0.54578,0.57585
2011,Rural regions,No,0.35023,1363,4187,0.33578,0.36468
2013,Urban regions,Yes,0.70120,7708,9328,0.69191,0.71049
2013,Urban regions,No,0.23068,1620,9328,0.22213,0.23923
2013,Rural regions,Yes,0.61845,3367,4544,0.60432,0.63257
2013,Rural regions,No,0.30172,1177,4544,0.28837,0.31507
2014,Urban regions,Yes,0.75962,8796,10362,0.75139,0.76785
2014,Urban regions,No,0.23460,1566,10362,0.22644,0.24276
2014,Rural regions,Yes,0.68545,4254,5414,0.67309,0.69782
2014,Rural regions,No,0.31162,1160,5414,0.29928,0.32396
2015,Urban regions,Yes,0.78303,8960,10357,0.77509,0.79097
2015,Urban regions,No,0.21194,1397,10357,0.20407,0.21981
2015,Rural regions,Yes,0.71839,4343,5364,0.70635,0.73043
2015,Rural regions,No,0.27514,1021,5364,0.26319,0.28710
2016,Urban regions,Yes,0.80277,9327,10809,0.79527,0.81027
2016,Urban regions,No,0.19429,1482,10809,0.18683,0.20175
2016,Rural regions,Yes,0.75185,4520,5572,0.74051,0.76319
2016,Rural regions,No,0.24528,1052,5572,0.23398,0.25658
2017,Urban regions,Yes,0.82779,10748,12020,0.82104,0.83454
2017,Urban regions,No,0.17164,1272,12020,0.16490,0.17838
2017,Rural regions,Yes,0.76794,5308,6233,0.75746,0.77842
2017,Rural regions,No,0.22641,925,6233,0.21602,0.23680
2018,Urban regions,Yes,0.84037,10817,11926,0.83380,0.84695
2018,Urban regions,No,0.15814,1109,11926,0.15159,0.16469
2018,Rural regions,Yes,0.78031,5140,5936,0.76978,0.79085
2018,Rural regions,No,0.21723,796,5936,0.20673,0.22772
2019,Urban regions,Yes,0.86112,11103,11968,0.85493,0.86732
2019,Urban regions,No,0.13751,865,11968,0.13134,0.14369
2019,Rural regions,Yes,0.81323,5357,5982,0.80336,0.82311
2019,Rural regions,No,0.18329,625,5982,0.17349,0.19310
2020,Urban regions,Yes,0.00998,2221,2366,0.00598,0.01399
2020,Urban regions,No,0.00092,145,2366,-0.00030,0.00214
2020,Rural regions,Yes,0.00702,603,603,0.00035,0.01368
2021,Urban regions,Yes,0.90063,8201,8616,0.89432,0.90695
2021,Urban regions,No,0.09688,415,8616,0.09063,0.10313
2021,Rural regions,Yes,0.85182,3602,3942,0.84073,0.86291
2021,Rural regions,No,0.14588,340,3942,0.13486,0.15690
