year,sampreg,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.20418,2657,13477,0.19738,0.21099
2009,West,No,0.79582,10820,13477,0.78901,0.80262
2009,East,Yes,0.19385,835,4541,0.18235,0.20535
2009,East,No,0.80615,3706,4541,0.79465,0.81765
2011,West,Yes,0.14556,2249,15840,0.14007,0.15106
2011,West,No,0.85444,13591,15840,0.84894,0.85993
2011,East,Yes,0.14339,642,4905,0.13358,0.15320
2011,East,No,0.85661,4263,4905,0.84680,0.86642
2013,West,Yes,0.14923,2141,14414,0.14341,0.15505
2013,West,No,0.85077,12273,14414,0.84495,0.85659
2013,East,Yes,0.13283,588,4452,0.12286,0.14280
2013,East,No,0.86717,3864,4452,0.85720,0.87714
2015,West,Yes,0.15039,2751,19787,0.14541,0.15537
2015,West,No,0.84961,17036,19787,0.84463,0.85459
2015,East,Yes,0.14551,746,5253,0.13597,0.15504
2015,East,No,0.85449,4507,5253,0.84496,0.86403
2017,West,Yes,0.15708,3119,20959,0.15215,0.16201
2017,West,No,0.84292,17840,20959,0.83799,0.84785
2017,East,Yes,0.15192,803,5590,0.14251,0.16133
2017,East,No,0.84808,4787,5590,0.83867,0.85749
2019,Does not apply,No,0.71062,48,48,0.58097,0.84026
2019,West,Yes,0.14719,2741,20104,0.14229,0.15209
2019,West,No,0.85281,17363,20104,0.84791,0.85771
2019,East,Yes,0.14096,782,5546,0.13180,0.15012
2019,East,No,0.85904,4764,5546,0.84988,0.86820
2021,West,Yes,0.14134,1977,15343,0.13583,0.14685
2021,West,No,0.85866,13366,15343,0.85315,0.86417
2021,East,Yes,0.14017,525,3859,0.12921,0.15112
2021,East,No,0.85983,3334,3859,0.84888,0.87079
