year,regtyp,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,male,Yes,0.18490,1009,5553,0.17469,0.19511
2009,Urban regions,male,No,0.81510,4544,5553,0.80489,0.82531
2009,Urban regions,female,Yes,0.22859,1334,6166,0.21811,0.23908
2009,Urban regions,female,No,0.77141,4832,6166,0.76092,0.78189
2009,Rural regions,male,Yes,0.17935,506,3045,0.16572,0.19297
2009,Rural regions,male,No,0.82065,2539,3045,0.80703,0.83428
2009,Rural regions,female,Yes,0.20324,643,3254,0.18941,0.21707
2009,Rural regions,female,No,0.79676,2611,3254,0.78293,0.81059
2011,Urban regions,male,Yes,0.13193,834,6271,0.12355,0.14031
2011,Urban regions,male,No,0.86807,5437,6271,0.85969,0.87645
2011,Urban regions,female,Yes,0.16765,1119,7121,0.15898,0.17633
2011,Urban regions,female,No,0.83235,6002,7121,0.82367,0.84102
2011,Rural regions,male,Yes,0.12888,428,3518,0.11781,0.13996
2011,Rural regions,male,No,0.87112,3090,3518,0.86004,0.88219
2011,Rural regions,female,Yes,0.14021,510,3835,0.12922,0.15120
2011,Rural regions,female,No,0.85979,3325,3835,0.84880,0.87078
2013,Urban regions,male,Yes,0.13558,770,5620,0.12663,0.14453
2013,Urban regions,male,No,0.86442,4850,5620,0.85547,0.87337
2013,Urban regions,female,Yes,0.16476,1040,6454,0.15571,0.17381
2013,Urban regions,female,No,0.83524,5414,6454,0.82619,0.84429
2013,Rural regions,male,Yes,0.12711,411,3214,0.11560,0.13863
2013,Rural regions,male,No,0.87289,2803,3214,0.86137,0.88440
2013,Rural regions,female,Yes,0.14696,508,3578,0.13536,0.15856
2013,Rural regions,female,No,0.85304,3070,3578,0.84144,0.86464
2015,Urban regions,male,Yes,0.12124,903,7385,0.11379,0.12868
2015,Urban regions,male,No,0.87876,6482,7385,0.87132,0.88621
2015,Urban regions,female,Yes,0.17438,1399,8815,0.16646,0.18230
2015,Urban regions,female,No,0.82562,7416,8815,0.81770,0.83354
2015,Rural regions,male,Yes,0.13580,505,4074,0.12527,0.14632
2015,Rural regions,male,No,0.86420,3569,4074,0.85368,0.87473
2015,Rural regions,female,Yes,0.16663,690,4766,0.15605,0.17721
2015,Rural regions,female,No,0.83337,4076,4766,0.82279,0.84395
2017,Urban regions,male,Yes,0.13942,1041,7885,0.13178,0.14707
2017,Urban regions,male,No,0.86058,6844,7885,0.85293,0.86822
2017,Urban regions,female,Yes,0.17708,1569,9295,0.16932,0.18484
2017,Urban regions,female,No,0.82292,7726,9295,0.81516,0.83068
2017,Rural regions,male,Yes,0.13534,532,4376,0.12521,0.14548
2017,Rural regions,male,No,0.86466,3844,4376,0.85452,0.87479
2017,Rural regions,female,Yes,0.16572,780,4993,0.15540,0.17603
2017,Rural regions,female,No,0.83428,4213,4993,0.82397,0.84460
2019,No answer / don't know,male,Yes,0.25699,81,297,0.20721,0.30677
2019,No answer / don't know,male,No,0.74301,216,297,0.69323,0.79279
2019,No answer / don't know,female,Yes,0.24610,71,251,0.19271,0.29950
2019,No answer / don't know,female,No,0.75390,180,251,0.70050,0.80729
2019,Urban regions,male,Yes,0.14343,1034,7774,0.13564,0.15122
2019,Urban regions,male,No,0.85657,6740,7774,0.84878,0.86436
2019,Urban regions,female,Yes,0.14462,1188,8617,0.13720,0.15205
2019,Urban regions,female,No,0.85538,7429,8617,0.84795,0.86280
2019,Rural regions,male,Yes,0.15182,580,4208,0.14098,0.16267
2019,Rural regions,male,No,0.84818,3628,4208,0.83733,0.85902
2019,Rural regions,female,Yes,0.13913,593,4573,0.12910,0.14916
2019,Rural regions,female,No,0.86087,3980,4573,0.85084,0.87090
2021,Urban regions,male,Yes,0.13363,764,6339,0.12525,0.14201
2021,Urban regions,male,No,0.86637,5575,6339,0.85799,0.87475
2021,Urban regions,female,Yes,0.15828,950,6690,0.14954,0.16703
2021,Urban regions,female,No,0.84172,5740,6690,0.83297,0.85046
2021,Rural regions,male,Yes,0.12560,344,2971,0.11368,0.13752
2021,Rural regions,male,No,0.87440,2627,2971,0.86248,0.88632
2021,Rural regions,female,Yes,0.13445,441,3194,0.12262,0.14629
2021,Rural regions,female,No,0.86555,2753,3194,0.85371,0.87738
