year,pgisced97,quintil_oecd,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,1st Quintile,No,0.84939,95,95,0.77709,0.92170
2009,No answer / don't know,2nd Quintile,No,0.82366,52,52,0.71907,0.92826
2009,No answer / don't know,3rd Quintile,No,0.91121,49,49,0.83075,0.99168
2009,No answer / don't know,4th Quintile,No,0.96482,53,53,0.91475,1.01490
2009,No answer / don't know,5th Quintile,No,0.92185,45,45,0.84254,1.00116
2009,Pre-primary Level,1st Quintile,No,0.85450,50,50,0.75577,0.95323
2009,Pre-primary Level,2nd Quintile,No,0.81607,37,37,0.68951,0.94263
2009,Pre-primary Level,3rd Quintile,No,0.86014,50,50,0.76302,0.95725
2009,Pre-primary Level,4th Quintile,No,0.95012,69,69,0.89838,1.00186
2009,Pre-primary Level,5th Quintile,No,0.75557,67,67,0.65189,0.85925
2009,Primary Level,1st Quintile,No,0.82044,77,77,0.73414,0.90673
2009,Primary Level,2nd Quintile,No,0.75972,36,36,0.61817,0.90127
2009,Lower Secondary Level,1st Quintile,Yes,0.20236,116,594,0.17003,0.23470
2009,Lower Secondary Level,1st Quintile,No,0.79764,478,594,0.76530,0.82997
2009,Lower Secondary Level,2nd Quintile,Yes,0.18937,92,460,0.15352,0.22521
2009,Lower Secondary Level,2nd Quintile,No,0.81063,368,460,0.77479,0.84648
2009,Lower Secondary Level,3rd Quintile,Yes,0.26321,84,361,0.21772,0.30871
2009,Lower Secondary Level,3rd Quintile,No,0.73679,277,361,0.69129,0.78228
2009,Lower Secondary Level,4th Quintile,Yes,0.19907,46,249,0.14938,0.24877
2009,Lower Secondary Level,4th Quintile,No,0.80093,203,249,0.75123,0.85062
2009,Lower Secondary Level,5th Quintile,No,0.88779,98,98,0.82498,0.95060
2009,Upper Secondary Level,1st Quintile,Yes,0.19401,300,1560,0.17438,0.21364
2009,Upper Secondary Level,1st Quintile,No,0.80599,1260,1560,0.78636,0.82562
2009,Upper Secondary Level,2nd Quintile,Yes,0.20762,364,1881,0.18928,0.22595
2009,Upper Secondary Level,2nd Quintile,No,0.79238,1517,1881,0.77405,0.81072
2009,Upper Secondary Level,3rd Quintile,Yes,0.20765,373,1901,0.18941,0.22589
2009,Upper Secondary Level,3rd Quintile,No,0.79235,1528,1901,0.77411,0.81059
2009,Upper Secondary Level,4th Quintile,Yes,0.20144,396,1985,0.18379,0.21909
2009,Upper Secondary Level,4th Quintile,No,0.79856,1589,1985,0.78091,0.81621
2009,Upper Secondary Level,5th Quintile,Yes,0.20457,339,1734,0.18557,0.22356
2009,Upper Secondary Level,5th Quintile,No,0.79543,1395,1734,0.77644,0.81443
2009,Post-secondary Non-tertiary Level,1st Quintile,No,0.73302,91,91,0.64162,0.82441
2009,Post-secondary Non-tertiary Level,2nd Quintile,No,0.80328,129,129,0.73441,0.87214
2009,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.16339,32,194,0.11123,0.21556
2009,Post-secondary Non-tertiary Level,3rd Quintile,No,0.83661,162,194,0.78444,0.88877
2009,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.26142,52,229,0.20438,0.31845
2009,Post-secondary Non-tertiary Level,4th Quintile,No,0.73858,177,229,0.68155,0.79562
2009,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.20660,57,310,0.16146,0.25174
2009,Post-secondary Non-tertiary Level,5th Quintile,No,0.79340,253,310,0.74826,0.83854
2009,First Stage of Tertiary Education,1st Quintile,No,0.71917,91,91,0.62633,0.81202
2009,First Stage of Tertiary Education,2nd Quintile,Yes,0.21095,46,209,0.15551,0.26640
2009,First Stage of Tertiary Education,2nd Quintile,No,0.78905,163,209,0.73360,0.84449
2009,First Stage of Tertiary Education,3rd Quintile,Yes,0.20629,58,287,0.15940,0.25319
2009,First Stage of Tertiary Education,3rd Quintile,No,0.79371,229,287,0.74681,0.84060
2009,First Stage of Tertiary Education,4th Quintile,Yes,0.20961,78,345,0.16659,0.25262
2009,First Stage of Tertiary Education,4th Quintile,No,0.79039,267,345,0.74738,0.83341
2009,First Stage of Tertiary Education,5th Quintile,Yes,0.20003,75,370,0.15922,0.24085
2009,First Stage of Tertiary Education,5th Quintile,No,0.79997,295,370,0.75915,0.84078
2009,Second Stage of Tertiary Education,1st Quintile,Yes,0.20626,42,217,0.15230,0.26022
