year,sampreg,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,Yes,0.18656,1165,6411,0.17703,0.19610
2009,West,male,No,0.81344,5246,6411,0.80390,0.82297
2009,West,female,Yes,0.22080,1492,7066,0.21113,0.23048
2009,West,female,No,0.77920,5574,7066,0.76952,0.78887
2009,East,male,Yes,0.16837,350,2187,0.15269,0.18406
2009,East,male,No,0.83163,1837,2187,0.81594,0.84731
2009,East,female,Yes,0.21865,485,2354,0.20195,0.23535
2009,East,female,No,0.78135,1869,2354,0.76465,0.79805
2011,West,male,Yes,0.13366,984,7459,0.12594,0.14139
2011,West,male,No,0.86634,6475,7459,0.85861,0.87406
2011,West,female,Yes,0.15683,1265,8381,0.14904,0.16461
2011,West,female,No,0.84317,7116,8381,0.83539,0.85096
2011,East,male,Yes,0.11917,278,2330,0.10601,0.13233
2011,East,male,No,0.88083,2052,2330,0.86767,0.89399
2011,East,female,Yes,0.16772,364,2575,0.15329,0.18215
2011,East,female,No,0.83228,2211,2575,0.81785,0.84671
2013,West,male,Yes,0.13627,918,6731,0.12807,0.14447
2013,West,male,No,0.86373,5813,6731,0.85553,0.87193
2013,West,female,Yes,0.16141,1223,7683,0.15318,0.16964
2013,West,female,No,0.83859,6460,7683,0.83036,0.84682
2013,East,male,Yes,0.11795,263,2103,0.10416,0.13174
2013,East,male,No,0.88205,1840,2103,0.86826,0.89584
2013,East,female,Yes,0.14763,325,2349,0.13329,0.16198
2013,East,female,No,0.85237,2024,2349,0.83802,0.86671
2015,West,male,Yes,0.12683,1088,9061,0.11998,0.13369
2015,West,male,No,0.87317,7973,9061,0.86631,0.88002
2015,West,female,Yes,0.17272,1663,10726,0.16557,0.17988
2015,West,female,No,0.82728,9063,10726,0.82012,0.83443
2015,East,male,Yes,0.12214,320,2398,0.10903,0.13525
2015,East,male,No,0.87786,2078,2398,0.86475,0.89097
2015,East,female,Yes,0.16803,426,2855,0.15432,0.18175
2015,East,female,No,0.83197,2429,2855,0.81825,0.84568
2017,West,male,Yes,0.13657,1223,9685,0.12973,0.14341
2017,West,male,No,0.86343,8462,9685,0.85659,0.87027
2017,West,female,Yes,0.17673,1896,11274,0.16969,0.18377
2017,West,female,No,0.82327,9378,11274,0.81623,0.83031
2017,East,male,Yes,0.14550,350,2576,0.13188,0.15912
2017,East,male,No,0.85450,2226,2576,0.84088,0.86812
2017,East,female,Yes,0.15819,453,3014,0.14516,0.17122
2017,East,female,No,0.84181,2561,3014,0.82878,0.85484
2019,West,male,Yes,0.14713,1281,9601,0.14004,0.15422
2019,West,male,No,0.85287,8320,9601,0.84578,0.85996
2019,West,female,Yes,0.14722,1459,10501,0.14044,0.15399
2019,West,female,No,0.85278,9042,10501,0.84601,0.85956
2019,East,male,Yes,0.15145,400,2642,0.13778,0.16512
2019,East,male,No,0.84855,2242,2642,0.83488,0.86222
2019,East,female,Yes,0.13034,381,2903,0.11809,0.14259
2019,East,female,No,0.86966,2522,2903,0.85741,0.88191
2021,West,male,Yes,0.13114,882,7464,0.12348,0.13880
2021,West,male,No,0.86886,6582,7464,0.86120,0.87652
2021,West,female,Yes,0.15123,1093,7874,0.14331,0.15914
2021,West,female,No,0.84877,6781,7874,0.84086,0.85669
2021,East,male,Yes,0.13033,226,1846,0.11497,0.14569
2021,East,male,No,0.86967,1620,1846,0.85431,0.88503
2021,East,female,Yes,0.14873,298,2011,0.13318,0.16429
2021,East,female,No,0.85127,1713,2011,0.83571,0.86682
