year,migback,regtyp,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,Yes,0.21417,2008,9786,0.20604,0.22230
2009,No migration background,Urban regions,No,0.78583,7778,9786,0.77770,0.79396
2009,No migration background,Rural regions,Yes,0.20031,1085,5864,0.19007,0.21056
2009,No migration background,Rural regions,No,0.79969,4779,5864,0.78944,0.80993
2009,Direct migration background,Urban regions,Yes,0.19562,261,1341,0.17438,0.21686
2009,Direct migration background,Urban regions,No,0.80438,1080,1341,0.78314,0.82562
2009,Direct migration background,Rural regions,Yes,0.11378,44,318,0.07882,0.14874
2009,Direct migration background,Rural regions,No,0.88622,274,318,0.85126,0.92118
2009,Indirect migration background,Urban regions,Yes,0.14452,74,592,0.11617,0.17287
2009,Indirect migration background,Urban regions,No,0.85548,518,592,0.82713,0.88383
2009,Indirect migration background,Rural regions,No,0.87436,97,97,0.80806,0.94066
2011,No migration background,Urban regions,Yes,0.15764,1688,11186,0.15088,0.16439
2011,No migration background,Urban regions,No,0.84236,9498,11186,0.83561,0.84912
2011,No migration background,Rural regions,Yes,0.13787,875,6747,0.12965,0.14610
2011,No migration background,Rural regions,No,0.86213,5872,6747,0.85390,0.87035
2011,Direct migration background,Urban regions,Yes,0.11988,188,1549,0.10369,0.13606
2011,Direct migration background,Urban regions,No,0.88012,1361,1549,0.86394,0.89631
2011,Direct migration background,Rural regions,Yes,0.11032,48,467,0.08187,0.13876
2011,Direct migration background,Rural regions,No,0.88968,419,467,0.86124,0.91813
2011,Indirect migration background,Urban regions,Yes,0.11357,77,657,0.08929,0.13785
2011,Indirect migration background,Urban regions,No,0.88643,580,657,0.86215,0.91071
2011,Indirect migration background,Rural regions,No,0.89827,124,124,0.84484,0.95169
2013,No migration background,Urban regions,Yes,0.15238,1552,10189,0.14540,0.15936
2013,No migration background,Urban regions,No,0.84762,8637,10189,0.84064,0.85460
2013,No migration background,Rural regions,Yes,0.13717,852,6232,0.12863,0.14571
2013,No migration background,Rural regions,No,0.86283,5380,6232,0.85429,0.87137
2013,Direct migration background,Urban regions,Yes,0.14733,184,1322,0.12821,0.16644
2013,Direct migration background,Urban regions,No,0.85267,1138,1322,0.83356,0.87179
2013,Direct migration background,Rural regions,Yes,0.15061,54,424,0.11652,0.18469
2013,Direct migration background,Rural regions,No,0.84939,370,424,0.81531,0.88348
2013,Indirect migration background,Urban regions,Yes,0.11532,74,563,0.08891,0.14173
2013,Indirect migration background,Urban regions,No,0.88468,489,563,0.85827,0.91109
2013,Indirect migration background,Rural regions,No,0.90810,123,123,0.85683,0.95936
2015,No migration background,Urban regions,Yes,0.15506,1745,11612,0.14848,0.16165
2015,No migration background,Urban regions,No,0.84494,9867,11612,0.83835,0.85152
2015,No migration background,Rural regions,Yes,0.15266,1038,7411,0.14447,0.16085
2015,No migration background,Rural regions,No,0.84734,6373,7411,0.83915,0.85553
2015,Direct migration background,Urban regions,Yes,0.13273,394,3335,0.12121,0.14424
2015,Direct migration background,Urban regions,No,0.86727,2941,3335,0.85576,0.87879
2015,Direct migration background,Rural regions,Yes,0.13209,117,1138,0.11241,0.15178
2015,Direct migration background,Rural regions,No,0.86791,1021,1138,0.84822,0.88759
2015,Indirect migration background,Urban regions,Yes,0.10442,163,1253,0.08748,0.12136
2015,Indirect migration background,Urban regions,No,0.89558,1090,1253,0.87864,0.91252
2015,Indirect migration background,Rural regions,Yes,0.17665,40,291,0.13275,0.22054
2015,Indirect migration background,Rural regions,No,0.82335,251,291,0.77946,0.86725
2017,No migration background,Urban regions,Yes,0.16494,1956,12289,0.15838,0.17151
2017,No migration background,Urban regions,No,0.83506,10333,12289,0.82849,0.84162
2017,No migration background,Rural regions,Yes,0.15379,1128,7822,0.14580,0.16179
2017,No migration background,Rural regions,No,0.84621,6694,7822,0.83821,0.85420
2017,Direct migration background,Urban regions,Yes,0.13717,445,3553,0.12585,0.14848
2017,Direct migration background,Urban regions,No,0.86283,3108,3553,0.85152,0.87415
2017,Direct migration background,Rural regions,Yes,0.12078,151,1263,0.10280,0.13876
2017,Direct migration background,Rural regions,No,0.87922,1112,1263,0.86124,0.89720
2017,Indirect migration background,Urban regions,Yes,0.14388,209,1338,0.12506,0.16269
2017,Indirect migration background,Urban regions,No,0.85612,1129,1338,0.83731,0.87494
2017,Indirect migration background,Rural regions,Yes,0.16043,33,284,0.11767,0.20319
2017,Indirect migration background,Rural regions,No,0.83957,251,284,0.79681,0.88233
2019,No migration background,No answer / don't know,Yes,0.26106,138,484,0.22189,0.30023
2019,No migration background,No answer / don't know,No,0.73894,346,484,0.69977,0.77811
2019,No migration background,Urban regions,Yes,0.14952,1753,12180,0.14319,0.15586
2019,No migration background,Urban regions,No,0.85048,10427,12180,0.84414,0.85681
2019,No migration background,Rural regions,Yes,0.14424,1036,7459,0.13626,0.15221
2019,No migration background,Rural regions,No,0.85576,6423,7459,0.84779,0.86374
2019,Direct migration background,Urban regions,Yes,0.12331,311,2967,0.11148,0.13514
2019,Direct migration background,Urban regions,No,0.87669,2656,2967,0.86486,0.88852
2019,Direct migration background,Rural regions,Yes,0.15636,111,1031,0.13418,0.17854
2019,Direct migration background,Rural regions,No,0.84364,920,1031,0.82146,0.86582
2019,Indirect migration background,Urban regions,Yes,0.13880,158,1244,0.11958,0.15802
2019,Indirect migration background,Urban regions,No,0.86120,1086,1244,0.84198,0.88042
2019,Indirect migration background,Rural regions,No,0.85690,265,265,0.81465,0.89914
2021,No migration background,Urban regions,Yes,0.15386,1208,8265,0.14608,0.16164
2021,No migration background,Urban regions,No,0.84614,7057,8265,0.83836,0.85392
2021,No migration background,Rural regions,Yes,0.13246,646,4821,0.12289,0.14203
2021,No migration background,Rural regions,No,0.86754,4175,4821,0.85797,0.87711
2021,Direct migration background,Urban regions,Yes,0.12341,408,4036,0.11326,0.13356
2021,Direct migration background,Urban regions,No,0.87659,3628,4036,0.86644,0.88674
2021,Direct migration background,Rural regions,Yes,0.10536,122,1152,0.08762,0.12309
2021,Direct migration background,Rural regions,No,0.89464,1030,1152,0.87691,0.91238
2021,Indirect migration background,Urban regions,Yes,0.12309,101,735,0.09932,0.14686
2021,Indirect migration background,Urban regions,No,0.87691,634,735,0.85314,0.90068
2021,Indirect migration background,Rural regions,No,0.85355,175,175,0.80101,0.90608
