year,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.18310,1515,8598,0.17493,0.19128
2009,male,No,0.81690,7083,8598,0.80872,0.82507
2009,female,Yes,0.22040,1977,9420,0.21203,0.22877
2009,female,No,0.77960,7443,9420,0.77123,0.78797
2011,male,Yes,0.13093,1262,9789,0.12425,0.13762
2011,male,No,0.86907,8527,9789,0.86238,0.87575
2011,female,Yes,0.15878,1629,10956,0.15194,0.16562
2011,female,No,0.84122,9327,10956,0.83438,0.84806
2013,male,Yes,0.13267,1181,8834,0.12559,0.13974
2013,male,No,0.86733,7653,8834,0.86026,0.87441
2013,female,Yes,0.15882,1548,10032,0.15167,0.16598
2013,female,No,0.84118,8484,10032,0.83402,0.84833
2015,male,Yes,0.12599,1408,11459,0.11991,0.13207
2015,male,No,0.87401,10051,11459,0.86793,0.88009
2015,female,Yes,0.17189,2089,13581,0.16554,0.17823
2015,female,No,0.82811,11492,13581,0.82177,0.83446
2017,male,Yes,0.13813,1573,12261,0.13202,0.14423
2017,male,No,0.86187,10688,12261,0.85577,0.86798
2017,female,Yes,0.17355,2349,14288,0.16734,0.17976
2017,female,No,0.82645,11939,14288,0.82024,0.83266
2019,male,Yes,0.14811,1695,12279,0.14182,0.15439
2019,male,No,0.85189,10584,12279,0.84561,0.85818
2019,female,Yes,0.14439,1852,13441,0.13844,0.15033
2019,female,No,0.85561,11589,13441,0.84967,0.86156
2021,male,Yes,0.13100,1108,9310,0.12415,0.13786
2021,male,No,0.86900,8202,9310,0.86214,0.87585
2021,female,Yes,0.15080,1391,9885,0.14375,0.15786
2021,female,No,0.84920,8494,9885,0.84214,0.85625
