year,regtyp,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.20733,2343,11719,0.19999,0.21467
2009,Urban regions,No,0.79267,9376,11719,0.78533,0.80001
2009,Rural regions,Yes,0.19159,1149,6299,0.18187,0.20131
2009,Rural regions,No,0.80841,5150,6299,0.79869,0.81813
2011,Urban regions,Yes,0.15023,1953,13392,0.14418,0.15628
2011,Urban regions,No,0.84977,11439,13392,0.84372,0.85582
2011,Rural regions,Yes,0.13464,938,7353,0.12684,0.14244
2011,Rural regions,No,0.86536,6415,7353,0.85756,0.87316
2013,Urban regions,Yes,0.15065,1810,12074,0.14427,0.15703
2013,Urban regions,No,0.84935,10264,12074,0.84297,0.85573
2013,Rural regions,Yes,0.13714,919,6792,0.12896,0.14532
2013,Rural regions,No,0.86286,5873,6792,0.85468,0.87104
2015,Urban regions,Yes,0.14857,2302,16200,0.14310,0.15405
2015,Urban regions,No,0.85143,13898,16200,0.84595,0.85690
2015,Rural regions,Yes,0.15149,1195,8840,0.14401,0.15896
2015,Rural regions,No,0.84851,7645,8840,0.84104,0.85599
2017,Urban regions,Yes,0.15872,2610,17180,0.15325,0.16418
2017,Urban regions,No,0.84128,14570,17180,0.83582,0.84675
2017,Rural regions,Yes,0.15065,1312,9369,0.14341,0.15790
2017,Rural regions,No,0.84935,8057,9369,0.84210,0.85659
2019,No answer / don't know,Yes,0.25722,156,554,0.22079,0.29366
2019,No answer / don't know,No,0.74278,398,554,0.70634,0.77921
2019,Urban regions,Yes,0.14404,2222,16391,0.13867,0.14942
2019,Urban regions,No,0.85596,14169,16391,0.85058,0.86133
2019,Rural regions,Yes,0.14540,1173,8781,0.13803,0.15278
2019,Rural regions,No,0.85460,7608,8781,0.84722,0.86197
2021,Urban regions,Yes,0.14642,1717,13036,0.14035,0.15248
2021,Urban regions,No,0.85358,11319,13036,0.84752,0.85965
2021,Rural regions,Yes,0.12998,785,6165,0.12158,0.13837
2021,Rural regions,No,0.87002,5380,6165,0.86163,0.87842
