year,migback,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.20933,3093,15650,0.20296,0.21570
2009,No migration background,No,0.79067,12557,15650,0.78430,0.79704
2009,Direct migration background,Yes,0.17909,305,1659,0.16064,0.19755
2009,Direct migration background,No,0.82091,1354,1659,0.80245,0.83936
2009,Indirect migration background,Yes,0.14101,94,709,0.11538,0.16665
2009,Indirect migration background,No,0.85899,615,709,0.83335,0.88462
2011,No migration background,Yes,0.15081,2563,17933,0.14558,0.15605
2011,No migration background,No,0.84919,15370,17933,0.84395,0.85442
2011,Direct migration background,Yes,0.11765,236,2016,0.10359,0.13172
2011,Direct migration background,No,0.88235,1780,2016,0.86828,0.89641
2011,Indirect migration background,Yes,0.11141,92,796,0.08953,0.13328
2011,Indirect migration background,No,0.88859,704,796,0.86672,0.91047
2013,No migration background,Yes,0.14700,2404,16421,0.14158,0.15241
2013,No migration background,No,0.85300,14017,16421,0.84759,0.85842
2013,Direct migration background,Yes,0.14806,238,1746,0.13139,0.16472
2013,Direct migration background,No,0.85194,1508,1746,0.83528,0.86861
2013,Indirect migration background,Yes,0.11022,87,699,0.08699,0.13345
2013,Indirect migration background,No,0.88978,612,699,0.86655,0.91301
2015,No migration background,Yes,0.15422,2783,19023,0.14909,0.15935
2015,No migration background,No,0.84578,16240,19023,0.84065,0.85091
2015,Direct migration background,Yes,0.13259,511,4473,0.12265,0.14253
2015,Direct migration background,No,0.86741,3962,4473,0.85747,0.87735
2015,Indirect migration background,Yes,0.11671,203,1544,0.10069,0.13273
2015,Indirect migration background,No,0.88329,1341,1544,0.86727,0.89931
2017,No migration background,Yes,0.16110,3084,20111,0.15601,0.16618
2017,No migration background,No,0.83890,17027,20111,0.83382,0.84399
2017,Direct migration background,Yes,0.13372,596,4816,0.12410,0.14333
2017,Direct migration background,No,0.86628,4220,4816,0.85667,0.87590
2017,Indirect migration background,Yes,0.14625,242,1622,0.12904,0.16345
2017,Indirect migration background,No,0.85375,1380,1622,0.83655,0.87096
2019,No migration background,Yes,0.14975,2927,20123,0.14482,0.15468
2019,No migration background,No,0.85025,17196,20123,0.84532,0.85518
2019,Direct migration background,Yes,0.13022,431,4030,0.11983,0.14061
2019,Direct migration background,No,0.86978,3599,4030,0.85939,0.88017
2019,Indirect migration background,Yes,0.14206,193,1573,0.12480,0.15932
2019,Indirect migration background,No,0.85794,1380,1573,0.84068,0.87520
2021,No migration background,Yes,0.14634,1854,13087,0.14028,0.15239
2021,No migration background,No,0.85366,11233,13087,0.84761,0.85972
2021,Direct migration background,Yes,0.11949,530,5188,0.11066,0.12831
2021,Direct migration background,No,0.88051,4658,5188,0.87169,0.88934
2021,Indirect migration background,Yes,0.12677,118,927,0.10534,0.14820
2021,Indirect migration background,No,0.87323,809,927,0.85180,0.89466
