year,bula_h,sex,plh0191,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Berlin,male,Disagree completely,0.48148148148148145,18165,0.4742152320816914,0.4887477308812715
1990,Berlin,male,Disagree,0.32592592592592595,18165,0.3191095797860094,0.3327422720658425
1990,Berlin,male,Agree,0.14814814814814814,18165,0.14298198021041583,0.15331431608588045
1990,Berlin,male,Agree completely,0.044444444444444446,18165,0.04144752491305744,0.04744136397583145
1990,Berlin,female,Disagree,0.3860759493670886,18165,0.3789959687627032,0.393155929971474
1990,Berlin,female,Disagree completely,0.35443037974683544,18165,0.3474741265272183,0.36138663296645257
1990,Berlin,female,Agree,0.18354430379746836,18165,0.17791473491570672,0.18917387267923
1990,Berlin,female,Agree completely,0.0759493670886076,18165,0.07209681664207827,0.07980191753513692
1990,Brandenburg,male,Disagree completely,0.3903133903133903,18165,0.3832192720518449,0.3974075085749357
1990,Brandenburg,male,Disagree,0.32763532763532766,18165,0.320809800847477,0.3344608544231783
1990,Brandenburg,male,Agree,0.2222222222222222,18165,0.21617633727039473,0.2282681071740497
1990,Brandenburg,male,Agree completely,0.05982905982905983,18165,0.05638002268806773,0.06327809697005193
1990,Brandenburg,female,Disagree completely,0.3342541436464088,18165,0.32739403480562884,0.3411142524871888
1990,Brandenburg,female,Disagree,0.3342541436464088,18165,0.32739403480562884,0.3411142524871888
1990,Brandenburg,female,Agree,0.2430939226519337,18165,0.23685590761634773,0.24933193768751966
1990,Brandenburg,female,Agree completely,0.08839779005524862,18165,0.08426958027105937,0.09252599983943786
1990,Mecklenburg-Western Pomerania,male,Disagree completely,0.35319148936170214,18165,0.346240744486831,0.36014223423657327
1990,Mecklenburg-Western Pomerania,male,Disagree,0.3404255319148936,18165,0.3335345461849391,0.3473165176448481
1990,Mecklenburg-Western Pomerania,male,Agree,0.23404255319148937,18165,0.22788528450716894,0.2401998218758098
1990,Mecklenburg-Western Pomerania,male,Agree completely,0.07234042553191489,18165,0.06857318616737676,0.07610766489645301
1990,Mecklenburg-Western Pomerania,female,Disagree,0.3700787401574803,18165,0.36305726163478225,0.3771002186801784
1990,Mecklenburg-Western Pomerania,female,Disagree completely,0.29133858267716534,18165,0.2847307845570264,0.2979463807973043
1990,Mecklenburg-Western Pomerania,female,Agree,0.24015748031496062,18165,0.23394524031510258,0.24636972031481866
1990,Mecklenburg-Western Pomerania,female,Agree completely,0.0984251968503937,18165,0.09409315743789133,0.10275723626289608
1990,Saxony,male,Disagree completely,0.3707865168539326,18165,0.3637622767699818,0.3778107569378834
1990,Saxony,male,Disagree,0.3707865168539326,18165,0.3637622767699818,0.3778107569378834
1990,Saxony,male,Agree,0.17495987158908508,18165,0.16943470811546513,0.18048503506270502
1990,Saxony,male,Agree completely,0.08346709470304976,18165,0.07944483554164429,0.08748935386445524
1990,Saxony,female,Disagree,0.3670520231213873,18165,0.36004253685193094,0.37406150939084365
1990,Saxony,female,Disagree completely,0.3453757225433526,18165,0.3384609113350057,0.35229053375169944
1990,Saxony,female,Agree,0.2138728323699422,18165,0.20790986293352864,0.21983580180635576
