year,pgisced97,sampreg,plh0191,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Lower Secondary Level,East,Agree completely,0.15422,63,511,0.12287,0.18556
1990,Lower Secondary Level,East,Agree,0.23231,124,511,0.19566,0.26896
1990,Lower Secondary Level,East,Disagree,0.35962,184,511,0.31797,0.40127
1990,Lower Secondary Level,East,Disagree completely,0.25385,140,511,0.21607,0.29162
1990,Upper Secondary Level,East,Agree completely,0.09167,209,2509,0.08038,0.10296
1990,Upper Secondary Level,East,Agree,0.20836,523,2509,0.19247,0.22426
1990,Upper Secondary Level,East,Disagree,0.34501,876,2509,0.32641,0.36362
1990,Upper Secondary Level,East,Disagree completely,0.35495,901,2509,0.33622,0.37368
1990,Post-secondary Non-tertiary Level,East,Disagree,0.39842,32,64,0.27753,0.51931
1990,Post-secondary Non-tertiary Level,East,Disagree completely,0.42960,32,64,0.30736,0.55184
1990,First Stage of Tertiary Education,East,Agree,0.18563,45,232,0.13549,0.23577
1990,First Stage of Tertiary Education,East,Disagree,0.30831,80,232,0.24875,0.36786
1990,First Stage of Tertiary Education,East,Disagree completely,0.41219,107,232,0.34872,0.47567
1990,Second Stage of Tertiary Education,East,Agree completely,0.04987,50,990,0.03630,0.06344
1990,Second Stage of Tertiary Education,East,Agree,0.18381,178,990,0.15967,0.20795
1990,Second Stage of Tertiary Education,East,Disagree,0.39448,393,990,0.36402,0.42494
1990,Second Stage of Tertiary Education,East,Disagree completely,0.37183,369,990,0.34171,0.40196
1991,Lower Secondary Level,East,Agree completely,0.17184,72,449,0.13691,0.20677
1991,Lower Secondary Level,East,Agree,0.27114,116,449,0.22997,0.31230
1991,Lower Secondary Level,East,Disagree,0.35651,164,449,0.31215,0.40086
1991,Lower Secondary Level,East,Disagree completely,0.20052,97,449,0.16344,0.23759
1991,Upper Secondary Level,East,Agree completely,0.09467,203,2333,0.08278,0.10655
1991,Upper Secondary Level,East,Agree,0.24872,568,2333,0.23117,0.26626
1991,Upper Secondary Level,East,Disagree,0.38458,917,2333,0.36484,0.40433
1991,Upper Secondary Level,East,Disagree completely,0.27203,645,2333,0.25397,0.29010
1991,Post-secondary Non-tertiary Level,East,Disagree,0.42302,31,31,0.24623,0.59981
1991,First Stage of Tertiary Education,East,Agree,0.23227,53,217,0.17595,0.28859
1991,First Stage of Tertiary Education,East,Disagree,0.39759,99,217,0.33232,0.46285
1991,First Stage of Tertiary Education,East,Disagree completely,0.28322,65,217,0.22313,0.34331
1991,Second Stage of Tertiary Education,East,Agree completely,0.04561,43,946,0.03231,0.05891
1991,Second Stage of Tertiary Education,East,Agree,0.20514,178,946,0.17939,0.23089
1991,Second Stage of Tertiary Education,East,Disagree,0.42248,407,946,0.39098,0.45397
1991,Second Stage of Tertiary Education,East,Disagree completely,0.32677,318,946,0.29687,0.35668
1992,No answer / don't know,West,Disagree completely,0.63246,60,60,0.50943,0.75549
1992,Pre-primary Level,West,Disagree completely,0.68073,64,64,0.56561,0.79585
1992,Primary Level,West,Disagree completely,0.43023,32,32,0.25594,0.60452
1992,Lower Secondary Level,West,Agree completely,0.06134,81,1482,0.04911,0.07356
1992,Lower Secondary Level,West,Agree,0.16413,217,1482,0.14527,0.18300
1992,Lower Secondary Level,West,Disagree,0.30812,464,1482,0.28460,0.33164
1992,Lower Secondary Level,West,Disagree completely,0.46641,720,1482,0.44100,0.49182
1992,Lower Secondary Level,East,Agree completely,0.16705,59,450,0.13255,0.20155
1992,Lower Secondary Level,East,Agree,0.27828,128,450,0.23682,0.31973
1992,Lower Secondary Level,East,Disagree,0.36493,168,450,0.32040,0.40946
1992,Lower Secondary Level,East,Disagree completely,0.18975,95,450,0.15348,0.22602
1992,Upper Secondary Level,West,Agree completely,0.04744,163,3800,0.04068,0.05420
1992,Upper Secondary Level,West,Agree,0.11087,382,3800,0.10089,0.12086
1992,Upper Secondary Level,West,Disagree,0.28758,1086,3800,0.27319,0.30198
1992,Upper Secondary Level,West,Disagree completely,0.55410,2169,3800,0.53830,0.56991
1992,Upper Secondary Level,East,Agree completely,0.09226,174,2210,0.08019,0.10432
1992,Upper Secondary Level,East,Agree,0.26348,554,2210,0.24511,0.28185
1992,Upper Secondary Level,East,Disagree,0.36257,804,2210,0.34252,0.38262
1992,Upper Secondary Level,East,Disagree completely,0.28169,678,2210,0.26293,0.30045
1992,Post-secondary Non-tertiary Level,West,Disagree,0.28710,60,205,0.22502,0.34918
1992,Post-secondary Non-tertiary Level,West,Disagree completely,0.61744,145,205,0.55075,0.68413
1992,First Stage of Tertiary Education,West,Agree,0.08189,38,497,0.05775,0.10602
1992,First Stage of Tertiary Education,West,Disagree,0.29596,141,497,0.25579,0.33613
1992,First Stage of Tertiary Education,West,Disagree completely,0.59450,318,497,0.55129,0.63771
1992,First Stage of Tertiary Education,East,Agree,0.20456,44,217,0.15077,0.25836
1992,First Stage of Tertiary Education,East,Disagree,0.40566,97,217,0.34018,0.47114
1992,First Stage of Tertiary Education,East,Disagree completely,0.31559,76,217,0.25361,0.37757
1992,Second Stage of Tertiary Education,West,Agree,0.05041,32,682,0.03398,0.06685
1992,Second Stage of Tertiary Education,West,Disagree,0.22091,158,682,0.18975,0.25207
1992,Second Stage of Tertiary Education,West,Disagree completely,0.71345,492,682,0.67949,0.74741
1992,Second Stage of Tertiary Education,East,Agree,0.17143,144,886,0.14660,0.19626
1992,Second Stage of Tertiary Education,East,Disagree,0.41297,392,886,0.38053,0.44541
1992,Second Stage of Tertiary Education,East,Disagree completely,0.37663,350,886,0.34471,0.40856
1993,No answer / don't know,West,Disagree,0.28061,50,145,0.20723,0.35400
1993,No answer / don't know,West,Disagree completely,0.50573,95,145,0.42407,0.58739
1993,Pre-primary Level,West,Disagree,0.31858,44,110,0.23111,0.40605
