,Unnamed: 0,year,migback,plh0191,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,Agree completely,0.08993,338,4354,0.0846,0.09469
1,1,1990,No migration background,Agree,0.20667,870,4354,0.19936,0.21251
2,2,1990,No migration background,Disagree,0.35374,1526,4354,0.34564,0.3612
3,3,1990,No migration background,Disagree completely,0.34966,1516,4354,0.34208,0.35737
4,4,1990,Direct migration background,Disagree,0.58329,59,4354,0.54007,0.64041
5,5,1990,Direct migration background,Disagree completely,0.41671,45,4354,0.37877,0.45789
6,6,1991,No migration background,Agree completely,0.08987,328,4117,0.08526,0.09555
7,7,1991,No migration background,Agree,0.24073,919,4117,0.23218,0.24938
8,8,1991,No migration background,Disagree,0.38794,1594,4117,0.37779,0.39913
9,9,1991,No migration background,Disagree completely,0.28145,1150,4117,0.27386,0.29128
10,10,1991,Direct migration background,Agree,0.2485,31,4117,0.21547,0.281
11,11,1991,Direct migration background,Disagree,0.43634,57,4117,0.39106,0.48084
12,12,1991,Direct migration background,Disagree completely,0.31516,38,4117,0.27866,0.36364
13,13,1992,No migration background,Agree completely,0.05328,527,10902,0.04972,0.05636
14,14,1992,No migration background,Agree,0.13985,1513,10902,0.13591,0.14457
15,15,1992,No migration background,Disagree,0.30657,3311,10902,0.29956,0.31367
16,16,1992,No migration background,Disagree completely,0.50031,4933,10902,0.4916,0.5078
17,17,1992,Direct migration background,Agree completely,0.08541,47,10902,0.07471,0.09855
18,18,1992,Direct migration background,Agree,0.14168,81,10902,0.12262,0.16668
19,19,1992,Direct migration background,Disagree,0.27166,165,10902,0.25071,0.29636
20,20,1992,Direct migration background,Disagree completely,0.50125,279,10902,0.47423,0.5292
21,21,1992,Indirect migration background,Disagree completely,1.0,46,10902,0.75352,1.26417
22,22,1993,No migration background,Agree completely,0.07537,700,12960,0.07225,0.07912
23,23,1993,No migration background,Agree,0.15517,1571,12960,0.15107,0.15939
24,24,1993,No migration background,Disagree,0.34435,3602,12960,0.33773,0.35093
25,25,1993,No migration background,Disagree completely,0.42512,4211,12960,0.41646,0.43386
26,26,1993,Direct migration background,Agree completely,0.08512,206,12960,0.07398,0.0946
27,27,1993,Direct migration background,Agree,0.20769,515,12960,0.1882,0.22764
28,28,1993,Direct migration background,Disagree,0.30288,761,12960,0.28153,0.32641
29,29,1993,Direct migration background,Disagree completely,0.4043,955,12960,0.38108,0.42825
30,30,1993,Indirect migration background,Agree,0.15995,61,12960,0.12515,0.19141
31,31,1993,Indirect migration background,Disagree,0.36287,161,12960,0.3099,0.41712
32,32,1993,Indirect migration background,Disagree completely,0.47718,217,12960,0.42334,0.55951
33,33,1995,No migration background,Agree completely,0.05915,503,13155,0.05578,0.06286
34,34,1995,No migration background,Agree,0.12836,1278,13155,0.12354,0.13325
35,35,1995,No migration background,Disagree,0.34477,3542,13155,0.33718,0.35237
36,36,1995,No migration background,Disagree completely,0.46772,4606,13155,0.45983,0.47695
37,37,1995,Direct migration background,Agree completely,0.0708,178,13155,0.05946,0.08058
38,38,1995,Direct migration background,Agree,0.1772,504,13155,0.16198,0.1917
39,39,1995,Direct migration background,Disagree,0.31545,909,13155,0.29256,0.33874
40,40,1995,Direct migration background,Disagree completely,0.43655,1156,13155,0.41316,0.46289
41,41,1995,Indirect migration background,Agree,0.10629,49,13155,0.0757,0.14634
42,42,1995,Indirect migration background,Disagree,0.36172,169,13155,0.31336,0.41818
43,43,1995,Indirect migration background,Disagree completely,0.53199,261,13155,0.46849,0.60626
44,44,1996,No migration background,Agree completely,0.04403,421,12949,0.04114,0.0469
45,45,1996,No migration background,Agree,0.13194,1283,12949,0.12582,0.13728
46,46,1996,No migration background,Disagree,0.38373,3902,12949,0.376,0.39296
47,47,1996,No migration background,Disagree completely,0.4403,4253,12949,0.42988,0.44841
