year,age_gr,pgisced97,plh0191,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Lower Secondary Level,Agree,0.17754,35,172,0.12026,0.23481
1990,17-29 y.,Lower Secondary Level,Disagree,0.47791,79,172,0.40304,0.55278
1990,17-29 y.,Lower Secondary Level,Disagree completely,0.29510,58,172,0.22674,0.36346
1990,17-29 y.,Upper Secondary Level,Agree completely,0.06020,44,705,0.04263,0.07777
1990,17-29 y.,Upper Secondary Level,Agree,0.21706,151,705,0.18661,0.24751
1990,17-29 y.,Upper Secondary Level,Disagree,0.36085,260,705,0.32538,0.39633
1990,17-29 y.,Upper Secondary Level,Disagree completely,0.36188,250,705,0.32639,0.39738
1990,17-29 y.,Second Stage of Tertiary Education,Disagree,0.42835,68,123,0.34054,0.51616
1990,17-29 y.,Second Stage of Tertiary Education,Disagree completely,0.35038,55,123,0.26572,0.43504
1990,30-45 y.,Upper Secondary Level,Agree completely,0.06833,55,856,0.05141,0.08524
1990,30-45 y.,Upper Secondary Level,Agree,0.19627,171,856,0.16965,0.22290
1990,30-45 y.,Upper Secondary Level,Disagree,0.34415,295,856,0.31230,0.37599
1990,30-45 y.,Upper Secondary Level,Disagree completely,0.39125,335,856,0.35854,0.42397
1990,30-45 y.,First Stage of Tertiary Education,Disagree,0.28796,31,82,0.18935,0.38658
1990,30-45 y.,First Stage of Tertiary Education,Disagree completely,0.53662,51,82,0.42803,0.64522
1990,30-45 y.,Second Stage of Tertiary Education,Agree,0.16187,79,462,0.12825,0.19549
1990,30-45 y.,Second Stage of Tertiary Education,Disagree,0.40909,199,462,0.36421,0.45398
1990,30-45 y.,Second Stage of Tertiary Education,Disagree completely,0.40204,184,462,0.35728,0.44680
1990,46-65 y.,Lower Secondary Level,Agree,0.25291,42,132,0.17847,0.32735
1990,46-65 y.,Lower Secondary Level,Disagree,0.31407,48,132,0.23459,0.39355
1990,46-65 y.,Lower Secondary Level,Disagree completely,0.27329,42,132,0.19697,0.34961
1990,46-65 y.,Upper Secondary Level,Agree completely,0.09902,75,747,0.07759,0.12046
1990,46-65 y.,Upper Secondary Level,Agree,0.22154,166,747,0.19174,0.25134
1990,46-65 y.,Upper Secondary Level,Disagree,0.35885,267,747,0.32443,0.39327
1990,46-65 y.,Upper Secondary Level,Disagree completely,0.32060,239,747,0.28710,0.35409
1990,46-65 y.,First Stage of Tertiary Education,Disagree,0.36177,37,72,0.24999,0.47354
1990,46-65 y.,First Stage of Tertiary Education,Disagree completely,0.33037,35,72,0.22096,0.43977
1990,46-65 y.,Second Stage of Tertiary Education,Agree,0.21844,67,290,0.17080,0.26608
1990,46-65 y.,Second Stage of Tertiary Education,Disagree,0.35947,108,290,0.30414,0.41479
1990,46-65 y.,Second Stage of Tertiary Education,Disagree completely,0.35779,115,290,0.30252,0.41305
1990,66 and older,Lower Secondary Level,Agree,0.24731,34,108,0.16556,0.32907
1990,66 and older,Lower Secondary Level,Disagree,0.31313,43,108,0.22525,0.40100
1990,66 and older,Lower Secondary Level,Disagree completely,0.21379,31,108,0.13611,0.29148
1990,66 and older,Upper Secondary Level,Agree completely,0.19454,35,201,0.13967,0.24940
1990,66 and older,Upper Secondary Level,Agree,0.18275,35,201,0.12919,0.23631
1990,66 and older,Upper Secondary Level,Disagree,0.27737,54,201,0.21532,0.33942
1990,66 and older,Upper Secondary Level,Disagree completely,0.34534,77,201,0.27944,0.41124
1991,17-29 y.,Lower Secondary Level,Disagree,0.44533,71,125,0.35786,0.53281
1991,17-29 y.,Lower Secondary Level,Disagree completely,0.33981,54,125,0.25645,0.42318
1991,17-29 y.,Upper Secondary Level,Agree completely,0.04883,36,609,0.03170,0.06596
1991,17-29 y.,Upper Secondary Level,Agree,0.22014,128,609,0.18721,0.25308
1991,17-29 y.,Upper Secondary Level,Disagree,0.39518,254,609,0.35632,0.43404
1991,17-29 y.,Upper Secondary Level,Disagree completely,0.33585,191,609,0.29831,0.37339
1991,17-29 y.,Second Stage of Tertiary Education,Disagree,0.44348,57,100,0.34562,0.54135
1991,17-29 y.,Second Stage of Tertiary Education,Disagree completely,0.33324,43,100,0.24039,0.42610
1991,30-45 y.,Upper Secondary Level,Agree completely,0.06513,55,858,0.04861,0.08165
1991,30-45 y.,Upper Secondary Level,Agree,0.23379,202,858,0.20545,0.26213
1991,30-45 y.,Upper Secondary Level,Disagree,0.37048,322,858,0.33814,0.40281
1991,30-45 y.,Upper Secondary Level,Disagree completely,0.33060,279,858,0.29911,0.36210
1991,30-45 y.,First Stage of Tertiary Education,Disagree,0.43918,44,75,0.32611,0.55226
1991,30-45 y.,First Stage of Tertiary Education,Disagree completely,0.36067,31,75,0.25126,0.47008
1991,30-45 y.,Second Stage of Tertiary Education,Agree,0.10895,56,443,0.07990,0.13800
1991,30-45 y.,Second Stage of Tertiary Education,Disagree,0.46817,213,443,0.42166,0.51469
1991,30-45 y.,Second Stage of Tertiary Education,Disagree completely,0.39052,174,443,0.34504,0.43600
1991,46-65 y.,Lower Secondary Level,Agree,0.33305,43,87,0.23344,0.43266
1991,46-65 y.,Lower Secondary Level,Disagree,0.30996,44,87,0.21221,0.40771
1991,46-65 y.,Upper Secondary Level,Agree completely,0.10927,73,692,0.08601,0.13253
1991,46-65 y.,Upper Secondary Level,Agree,0.26858,182,692,0.23553,0.30162
1991,46-65 y.,Upper Secondary Level,Disagree,0.39944,284,692,0.36293,0.43596
1991,46-65 y.,Upper Secondary Level,Disagree completely,0.22271,153,692,0.19169,0.25373
1991,46-65 y.,First Stage of Tertiary Education,Disagree,0.42047,44,44,0.27292,0.56802
1991,46-65 y.,Second Stage of Tertiary Education,Agree,0.27228,82,297,0.22157,0.32300
1991,46-65 y.,Second Stage of Tertiary Education,Disagree,0.40447,128,297,0.34855,0.46038
1991,46-65 y.,Second Stage of Tertiary Education,Disagree completely,0.26567,87,297,0.21535,0.31599
1991,66 and older,Lower Secondary Level,Agree,0.27554,32,72,0.17161,0.37947
1991,66 and older,Lower Secondary Level,Disagree,0.35804,40,72,0.24652,0.46956
1991,66 and older,Upper Secondary Level,Agree completely,0.20758,41,199,0.15109,0.26408
1991,66 and older,Upper Secondary Level,Agree,0.27262,57,199,0.21059,0.33465
1991,66 and older,Upper Secondary Level,Disagree,0.33705,63,199,0.27121,0.40290
1991,66 and older,Upper Secondary Level,Disagree completely,0.18274,38,199,0.12891,0.23657
1992,17-29 y.,No answer / don't know,Disagree completely,0.62440,39,39,0.47042,0.77837
1992,17-29 y.,Pre-primary Level,Disagree,0.33084,54,130,0.24964,0.41203
1992,17-29 y.,Pre-primary Level,Disagree completely,0.61753,76,130,0.53367,0.70140
1992,17-29 y.,Lower Secondary Level,Agree,0.10796,64,550,0.08201,0.13392
1992,17-29 y.,Lower Secondary Level,Disagree,0.35328,206,550,0.31330,0.39327
1992,17-29 y.,Lower Secondary Level,Disagree completely,0.51327,280,550,0.47146,0.55508
1992,17-29 y.,Upper Secondary Level,Agree completely,0.03625,57,1482,0.02673,0.04577
1992,17-29 y.,Upper Secondary Level,Agree,0.10924,166,1482,0.09335,0.12513
1992,17-29 y.,Upper Secondary Level,Disagree,0.31471,480,1482,0.29106,0.33836
1992,17-29 y.,Upper Secondary Level,Disagree completely,0.53980,779,1482,0.51442,0.56518
1992,17-29 y.,Post-secondary Non-tertiary Level,Disagree,0.31135,47,130,0.23145,0.39126
1992,17-29 y.,Post-secondary Non-tertiary Level,Disagree completely,0.61155,83,130,0.52744,0.69566
1992,17-29 y.,First Stage of Tertiary Education,Disagree,0.37003,31,88,0.26858,0.47149
1992,17-29 y.,First Stage of Tertiary Education,Disagree completely,0.52936,57,88,0.42448,0.63425
1992,17-29 y.,Second Stage of Tertiary Education,Disagree,0.36956,63,147,0.29126,0.44786
1992,17-29 y.,Second Stage of Tertiary Education,Disagree completely,0.56035,84,147,0.47984,0.64086
1992,30-45 y.,Lower Secondary Level,Agree,0.16696,50,253,0.12091,0.21300
1992,30-45 y.,Lower Secondary Level,Disagree,0.28795,80,253,0.23205,0.34386
1992,30-45 y.,Lower Secondary Level,Disagree completely,0.48357,123,253,0.42187,0.54527
1992,30-45 y.,Upper Secondary Level,Agree completely,0.04290,83,2051,0.03413,0.05167
1992,30-45 y.,Upper Secondary Level,Agree,0.10860,271,2051,0.09514,0.12207
1992,30-45 y.,Upper Secondary Level,Disagree,0.30330,656,2051,0.28340,0.32320
1992,30-45 y.,Upper Secondary Level,Disagree completely,0.54520,1041,2051,0.52364,0.56675
1992,30-45 y.,Post-secondary Non-tertiary Level,Disagree,0.33992,31,97,0.24516,0.43467
1992,30-45 y.,Post-secondary Non-tertiary Level,Disagree completely,0.59838,66,97,0.50031,0.69644
1992,30-45 y.,First Stage of Tertiary Education,Disagree,0.31512,97,273,0.25991,0.37033
1992,30-45 y.,First Stage of Tertiary Education,Disagree completely,0.59827,176,273,0.54000,0.65653
1992,30-45 y.,Second Stage of Tertiary Education,Agree,0.06973,67,799,0.05205,0.08740
1992,30-45 y.,Second Stage of Tertiary Education,Disagree,0.26780,276,799,0.23708,0.29853
1992,30-45 y.,Second Stage of Tertiary Education,Disagree completely,0.64125,456,799,0.60797,0.67453
1992,46-65 y.,Lower Secondary Level,Agree completely,0.06661,46,636,0.04722,0.08601
1992,46-65 y.,Lower Secondary Level,Agree,0.16836,118,636,0.13925,0.19746
1992,46-65 y.,Lower Secondary Level,Disagree,0.32080,208,636,0.28449,0.35710
1992,46-65 y.,Lower Secondary Level,Disagree completely,0.44423,264,636,0.40559,0.48288
1992,46-65 y.,Upper Secondary Level,Agree completely,0.07036,134,1782,0.05848,0.08224
1992,46-65 y.,Upper Secondary Level,Agree,0.15235,322,1782,0.13566,0.16904
1992,46-65 y.,Upper Secondary Level,Disagree,0.30464,562,1782,0.28326,0.32602
1992,46-65 y.,Upper Secondary Level,Disagree completely,0.47265,764,1782,0.44946,0.49584
1992,46-65 y.,First Stage of Tertiary Education,Agree,0.13560,41,241,0.09229,0.17892
1992,46-65 y.,First Stage of Tertiary Education,Disagree,0.33988,88,241,0.27995,0.39981
1992,46-65 y.,First Stage of Tertiary Education,Disagree completely,0.48414,112,241,0.42091,0.54736
