year,pgisced97,sex,plh0191,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No answer / don't know,male,Disagree completely,0.59165,34,34,0.42394,0.75935
1992,No answer / don't know,female,Disagree completely,0.65498,36,36,0.49748,0.81247
1992,Pre-primary Level,male,Disagree completely,0.65398,40,40,0.50468,0.80328
1992,Pre-primary Level,female,Disagree,0.38708,31,67,0.26957,0.50460
1992,Pre-primary Level,female,Disagree completely,0.57526,36,67,0.45600,0.69451
1992,Lower Secondary Level,male,Agree completely,0.06274,31,522,0.04191,0.08356
1992,Lower Secondary Level,male,Agree,0.11358,58,522,0.08633,0.14083
1992,Lower Secondary Level,male,Disagree,0.32294,174,522,0.28279,0.36310
1992,Lower Secondary Level,male,Disagree completely,0.50074,259,522,0.45780,0.54367
1992,Lower Secondary Level,female,Agree completely,0.07981,109,1410,0.06566,0.09396
1992,Lower Secondary Level,female,Agree,0.20120,287,1410,0.18027,0.22214
1992,Lower Secondary Level,female,Disagree,0.31342,458,1410,0.28920,0.33764
1992,Lower Secondary Level,female,Disagree completely,0.40556,556,1410,0.37992,0.43120
1992,Upper Secondary Level,male,Agree completely,0.05048,149,2993,0.04264,0.05833
1992,Upper Secondary Level,male,Agree,0.14358,445,2993,0.13102,0.15615
1992,Upper Secondary Level,male,Disagree,0.31310,964,2993,0.29648,0.32971
1992,Upper Secondary Level,male,Disagree completely,0.49284,1435,2993,0.47493,0.51075
1992,Upper Secondary Level,female,Agree completely,0.06460,188,3017,0.05583,0.07337
1992,Upper Secondary Level,female,Agree,0.14621,491,3017,0.13360,0.15882
1992,Upper Secondary Level,female,Disagree,0.29518,926,3017,0.27890,0.31146
1992,Upper Secondary Level,female,Disagree completely,0.49401,1412,3017,0.47617,0.51185
1992,Post-secondary Non-tertiary Level,male,Disagree,0.29974,49,143,0.22439,0.37510
1992,Post-secondary Non-tertiary Level,male,Disagree completely,0.61240,94,143,0.53227,0.69254
1992,Post-secondary Non-tertiary Level,female,Disagree,0.31448,40,119,0.23070,0.39825
1992,Post-secondary Non-tertiary Level,female,Disagree completely,0.56668,79,119,0.47727,0.65609
1992,First Stage of Tertiary Education,male,Agree,0.11052,58,461,0.08187,0.13917
1992,First Stage of Tertiary Education,male,Disagree,0.30472,153,461,0.26266,0.34679
1992,First Stage of Tertiary Education,male,Disagree completely,0.54505,250,461,0.49954,0.59056
1992,First Stage of Tertiary Education,female,Disagree,0.33551,85,229,0.27422,0.39680
1992,First Stage of Tertiary Education,female,Disagree completely,0.53646,144,229,0.47173,0.60119
1992,Second Stage of Tertiary Education,male,Agree,0.08742,88,858,0.06851,0.10633
1992,Second Stage of Tertiary Education,male,Disagree,0.27272,281,858,0.24290,0.30253
1992,Second Stage of Tertiary Education,male,Disagree completely,0.62212,489,858,0.58966,0.65459
1992,Second Stage of Tertiary Education,female,Agree,0.10643,88,710,0.08373,0.12913
1992,Second Stage of Tertiary Education,female,Disagree,0.32009,269,710,0.28575,0.35443
1992,Second Stage of Tertiary Education,female,Disagree completely,0.54023,353,710,0.50354,0.57691
1993,No answer / don't know,male,Disagree completely,0.60013,53,53,0.46699,0.73328
1993,No answer / don't know,female,Disagree,0.36729,36,84,0.26358,0.47101
1993,No answer / don't know,female,Disagree completely,0.40902,48,84,0.30324,0.51479
1993,Pre-primary Level,male,Disagree,0.30958,32,77,0.20564,0.41352
1993,Pre-primary Level,male,Disagree completely,0.59868,45,77,0.48848,0.70888
1993,Pre-primary Level,female,Disagree,0.37662,38,85,0.27300,0.48024
1993,Pre-primary Level,female,Disagree completely,0.49597,47,85,0.38905,0.60290
1993,Primary Level,male,Agree,0.27992,59,216,0.21991,0.33994
1993,Primary Level,male,Disagree,0.31544,80,216,0.25332,0.37755
1993,Primary Level,male,Disagree completely,0.30126,77,216,0.23993,0.36259
1993,Primary Level,female,Agree completely,0.13029,46,354,0.09518,0.16541
1993,Primary Level,female,Agree,0.28335,109,354,0.23634,0.33036
1993,Primary Level,female,Disagree,0.31526,105,354,0.26679,0.36373
1993,Primary Level,female,Disagree completely,0.27109,94,354,0.22472,0.31747
