year,bula_h,migback,plh0191,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,No migration background,Disagree,0.30500,68,201,0.24119,0.36881
1992,Schleswig-Holstein,No migration background,Disagree completely,0.54295,133,201,0.47391,0.61199
1992,Hamburg,No migration background,Disagree completely,0.56372,63,63,0.44028,0.68717
1992,Lower Saxony,No migration background,Agree,0.11957,78,773,0.09668,0.14246
1992,Lower Saxony,No migration background,Disagree,0.30174,229,773,0.26936,0.33412
1992,Lower Saxony,No migration background,Disagree completely,0.55132,466,773,0.51623,0.58640
1992,Bremen,No migration background,Disagree completely,0.61333,52,52,0.47968,0.74699
1992,North Rhine-Westphalia,No migration background,Agree completely,0.04704,74,1763,0.03716,0.05693
1992,North Rhine-Westphalia,No migration background,Agree,0.09185,148,1763,0.07837,0.10534
1992,North Rhine-Westphalia,No migration background,Disagree,0.27814,499,1763,0.25722,0.29907
1992,North Rhine-Westphalia,No migration background,Disagree completely,0.58296,1042,1763,0.55994,0.60598
1992,North Rhine-Westphalia,Direct migration background,Disagree completely,0.65764,60,60,0.53657,0.77872
1992,Hesse,No migration background,Agree,0.08942,49,558,0.06572,0.11312
1992,Hesse,No migration background,Disagree,0.27856,157,558,0.24133,0.31578
1992,Hesse,No migration background,Disagree completely,0.59854,352,558,0.55783,0.63925
1992,Hesse,Direct migration background,Disagree completely,0.54398,37,37,0.38128,0.70668
1992,"Rhineland-Palatinate, Saarland",No migration background,Agree,0.15429,72,506,0.12279,0.18580
1992,"Rhineland-Palatinate, Saarland",No migration background,Disagree,0.31105,167,506,0.27067,0.35142
1992,"Rhineland-Palatinate, Saarland",No migration background,Disagree completely,0.48608,267,506,0.44249,0.52968
1992,Baden-Wuerttemberg,No migration background,Agree completely,0.05036,49,979,0.03665,0.06406
1992,Baden-Wuerttemberg,No migration background,Agree,0.13102,118,979,0.10987,0.15216
1992,Baden-Wuerttemberg,No migration background,Disagree,0.30854,298,979,0.27959,0.33749
1992,Baden-Wuerttemberg,No migration background,Disagree completely,0.51009,514,979,0.47876,0.54142
1992,Baden-Wuerttemberg,Direct migration background,Disagree completely,0.47444,56,56,0.34247,0.60641
1992,Bavaria,No migration background,Agree completely,0.03981,48,1217,0.02882,0.05080
1992,Bavaria,No migration background,Agree,0.11985,131,1217,0.10159,0.13810
1992,Bavaria,No migration background,Disagree,0.27872,335,1217,0.25352,0.30392
1992,Bavaria,No migration background,Disagree completely,0.56162,703,1217,0.53373,0.58951
1992,Bavaria,Direct migration background,Disagree completely,0.48985,41,41,0.33493,0.64477
1992,Berlin,No migration background,Agree,0.08803,43,448,0.06177,0.11430
1992,Berlin,No migration background,Disagree,0.33501,160,448,0.29125,0.37876
1992,Berlin,No migration background,Disagree completely,0.52627,245,448,0.47998,0.57256
1992,Brandenburg,No migration background,Agree completely,0.06300,40,636,0.04410,0.08190
1992,Brandenburg,No migration background,Agree,0.23549,138,636,0.20249,0.26849
1992,Brandenburg,No migration background,Disagree,0.36068,239,636,0.32333,0.39803
1992,Brandenburg,No migration background,Disagree completely,0.34083,219,636,0.30396,0.37770
1992,Mecklenburg-Western Pomerania,No migration background,Agree,0.25797,97,375,0.21363,0.30231
1992,Mecklenburg-Western Pomerania,No migration background,Disagree,0.35638,149,375,0.30784,0.40492
1992,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.30143,129,375,0.25492,0.34794
1992,Saxony,No migration background,Agree completely,0.09710,94,1112,0.07969,0.11451
1992,Saxony,No migration background,Agree,0.23442,251,1112,0.20951,0.25934
1992,Saxony,No migration background,Disagree,0.36963,413,1112,0.34124,0.39801
1992,Saxony,No migration background,Disagree completely,0.29885,354,1112,0.27193,0.32576
1992,Saxony-Anhalt,No migration background,Agree completely,0.09370,48,734,0.07261,0.11480
1992,Saxony-Anhalt,No migration background,Agree,0.27005,181,734,0.23791,0.30220
1992,Saxony-Anhalt,No migration background,Disagree,0.39056,292,734,0.35524,0.42588
1992,Saxony-Anhalt,No migration background,Disagree completely,0.24569,213,734,0.21452,0.27685
1992,Thuringa,No migration background,Agree completely,0.08440,44,656,0.06311,0.10569
1992,Thuringa,No migration background,Agree,0.25239,158,656,0.21913,0.28566
1992,Thuringa,No migration background,Disagree,0.41031,272,656,0.37264,0.44798
