"plh0191","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","17-29","(noch) kein Abschluss","2","","",""
"Stimmt ganz u.gar","1990","17-29","Hauptschule","13","","",""
"Stimmt ganz u.gar","1990","17-29","Realschule","38","0.0509376224311884","0.0351492752295932","0.0667259696327837"
"Stimmt ganz u.gar","1990","17-29","(Fach-)Abitur","5","","",""
"Stimmt ganz u.gar","1990","17-29","AkademikerIn","8","","",""
"Stimmt ganz u.gar","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","30-45","Hauptschule","31","0.109267911522641","0.074870606318996","0.143665216726287"
"Stimmt ganz u.gar","1990","30-45","Realschule","33","0.0522035628121852","0.035423104721276","0.0689840209030944"
"Stimmt ganz u.gar","1990","30-45","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","30-45","AkademikerIn","17","","",""
"Stimmt ganz u.gar","1990","46-65","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","46-65","Hauptschule","96","0.107573063851658","0.0872967047718799","0.127849422931436"
"Stimmt ganz u.gar","1990","46-65","Realschule","14","","",""
"Stimmt ganz u.gar","1990","46-65","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","46-65","AkademikerIn","21","","",""
"Stimmt ganz u.gar","1990","66","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","66","Hauptschule","","","",""
"Stimmt ganz u.gar","1990","66","Realschule","","","",""
"Stimmt ganz u.gar","1990","66","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","66","AkademikerIn","","","",""
"Stimmt eher","1990","17-29","(noch) kein Abschluss","8","","",""
"Stimmt eher","1990","17-29","Hauptschule","26","","",""
"Stimmt eher","1990","17-29","Realschule","154","0.200304526698686","0.171565129444419","0.229043923952954"
"Stimmt eher","1990","17-29","(Fach-)Abitur","15","","",""
"Stimmt eher","1990","17-29","AkademikerIn","24","","",""
"Stimmt eher","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","30-45","Hauptschule","71","0.212182347545725","0.167103580552124","0.257261114539326"
"Stimmt eher","1990","30-45","Realschule","124","0.182382372914528","0.153250878873178","0.211513866955877"
"Stimmt eher","1990","30-45","(Fach-)Abitur","6","","",""
"Stimmt eher","1990","30-45","AkademikerIn","79","0.161870868754314","0.128885590573936","0.194856146934691"
"Stimmt eher","1990","46-65","(noch) kein Abschluss","3","","",""
"Stimmt eher","1990","46-65","Hauptschule","210","0.230931134632316","0.2033523115309","0.258509957733732"
"Stimmt eher","1990","46-65","Realschule","21","","",""
"Stimmt eher","1990","46-65","(Fach-)Abitur","3","","",""
"Stimmt eher","1990","46-65","AkademikerIn","67","0.218440044240476","0.172518638492269","0.264361449988684"
"Stimmt eher","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","66","Hauptschule","","","",""
"Stimmt eher","1990","66","Realschule","","","",""
"Stimmt eher","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher","1990","66","AkademikerIn","","","",""
"Stimmt eher nicht","1990","17-29","(noch) kein Abschluss","14","","",""
"Stimmt eher nicht","1990","17-29","Hauptschule","30","0.276110020487812","0.193312668733822","0.358907372241802"
"Stimmt eher nicht","1990","17-29","Realschule","292","0.394151244950966","0.359061233020842","0.429241256881091"
"Stimmt eher nicht","1990","17-29","(Fach-)Abitur","38","0.409714443932184","0.306376413404143","0.513052474460225"
"Stimmt eher nicht","1990","17-29","AkademikerIn","68","0.428346677570008","0.35044508983449","0.506248265305526"
"Stimmt eher nicht","1990","30-45","(noch) kein Abschluss","2","","",""
"Stimmt eher nicht","1990","30-45","Hauptschule","106","0.338593957719468","0.286417062769671","0.390770852669265"
"Stimmt eher nicht","1990","30-45","Realschule","233","0.33890092903974","0.303192901773744","0.374608956305735"
"Stimmt eher nicht","1990","30-45","(Fach-)Abitur","14","","",""
"Stimmt eher nicht","1990","30-45","AkademikerIn","199","0.409092808571355","0.365062584602721","0.453123032539989"
"Stimmt eher nicht","1990","46-65","(noch) kein Abschluss","2","","",""
"Stimmt eher nicht","1990","46-65","Hauptschule","314","0.351939326056769","0.32068619000199","0.383192462111548"
"Stimmt eher nicht","1990","46-65","Realschule","38","0.368319358014163","0.277767805954379","0.458870910073947"
"Stimmt eher nicht","1990","46-65","(Fach-)Abitur","1","","",""
"Stimmt eher nicht","1990","46-65","AkademikerIn","108","0.35946556741131","0.306136033872011","0.412795100950609"
"Stimmt eher nicht","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1990","66","Hauptschule","","","",""
"Stimmt eher nicht","1990","66","Realschule","","","",""
"Stimmt eher nicht","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher nicht","1990","66","AkademikerIn","","","",""
"Stimmt ganz u.gar nicht","1990","17-29","(noch) kein Abschluss","9","","",""
"Stimmt ganz u.gar nicht","1990","17-29","Hauptschule","43","0.381145434128048","0.291200079129285","0.471090789126811"
"Stimmt ganz u.gar nicht","1990","17-29","Realschule","261","0.354606605919159","0.320254321451069","0.388958890387249"
"Stimmt ganz u.gar nicht","1990","17-29","(Fach-)Abitur","29","","",""
"Stimmt ganz u.gar nicht","1990","17-29","AkademikerIn","55","0.350376167125061","0.275269153265432","0.425483180984689"
"Stimmt ganz u.gar nicht","1990","30-45","(noch) kein Abschluss","1","","",""
"Stimmt ganz u.gar nicht","1990","30-45","Hauptschule","108","0.339955783212166","0.287727917158902","0.39218364926543"
"Stimmt ganz u.gar nicht","1990","30-45","Realschule","285","0.426513135233547","0.389203229866422","0.463823040600672"
"Stimmt ganz u.gar nicht","1990","30-45","(Fach-)Abitur","11","","",""
"Stimmt ganz u.gar nicht","1990","30-45","AkademikerIn","184","0.40204039301798","0.35813164009583","0.44594914594013"
"Stimmt ganz u.gar nicht","1990","46-65","(noch) kein Abschluss","1","","",""
"Stimmt ganz u.gar nicht","1990","46-65","Hauptschule","277","0.309556475459257","0.2793022599243","0.339810690994214"
"Stimmt ganz u.gar nicht","1990","46-65","Realschule","36","0.330067940193119","0.241790060331697","0.41834582005454"
"Stimmt ganz u.gar nicht","1990","46-65","(Fach-)Abitur","6","","",""
"Stimmt ganz u.gar nicht","1990","46-65","AkademikerIn","115","0.357788236999057","0.304513654663686","0.411062819334427"
"Stimmt ganz u.gar nicht","1990","66","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar nicht","1990","66","Hauptschule","","","",""
"Stimmt ganz u.gar nicht","1990","66","Realschule","","","",""
"Stimmt ganz u.gar nicht","1990","66","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar nicht","1990","66","AkademikerIn","","","",""
"Stimmt ganz u.gar","1991","17-29","(noch) kein Abschluss","1","","",""
"Stimmt ganz u.gar","1991","17-29","Hauptschule","10","","",""
"Stimmt ganz u.gar","1991","17-29","Realschule","32","0.0433868244875883","0.027737171634377","0.0590364773407997"
"Stimmt ganz u.gar","1991","17-29","(Fach-)Abitur","3","","",""
"Stimmt ganz u.gar","1991","17-29","AkademikerIn","1","","",""
"Stimmt ganz u.gar","1991","30-45","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1991","30-45","Hauptschule","39","0.1483627003346","0.107021924493974","0.189703476175226"
"Stimmt ganz u.gar","1991","30-45","Realschule","31","0.0423372739020281","0.0274737676608689","0.0572007801431872"
"Stimmt ganz u.gar","1991","30-45","(Fach-)Abitur","1","","",""
"Stimmt ganz u.gar","1991","30-45","AkademikerIn","17","","",""
"Stimmt ganz u.gar","1991","46-65","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1991","46-65","Hauptschule","103","0.125491492433361","0.102719974582607","0.148263010284115"
"Stimmt ganz u.gar","1991","46-65","Realschule","7","","",""
"Stimmt ganz u.gar","1991","46-65","(Fach-)Abitur","1","","",""
"Stimmt ganz u.gar","1991","46-65","AkademikerIn","20","","",""
"Stimmt ganz u.gar","1991","66","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1991","66","Hauptschule","","","",""
"Stimmt ganz u.gar","1991","66","Realschule","","","",""
"Stimmt ganz u.gar","1991","66","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1991","66","AkademikerIn","","","",""
"Stimmt eher","1991","17-29","(noch) kein Abschluss","13","","",""
"Stimmt eher","1991","17-29","Hauptschule","24","","",""
"Stimmt eher","1991","17-29","Realschule","131","0.210563675618583","0.179244676386967","0.241882674850199"
"Stimmt eher","1991","17-29","(Fach-)Abitur","8","","",""
"Stimmt eher","1991","17-29","AkademikerIn","25","","",""
"Stimmt eher","1991","30-45","(noch) kein Abschluss","1","","",""
"Stimmt eher","1991","30-45","Hauptschule","80","0.241214930596336","0.191458364261677","0.290971496930994"
"Stimmt eher","1991","30-45","Realschule","150","0.225623412465157","0.19476868453281","0.256478140397505"
"Stimmt eher","1991","30-45","(Fach-)Abitur","8","","",""
"Stimmt eher","1991","30-45","AkademikerIn","56","0.108951554035738","0.0804783363564017","0.137424771715074"
"Stimmt eher","1991","46-65","(noch) kein Abschluss","4","","",""
"Stimmt eher","1991","46-65","Hauptschule","220","0.280405169409498","0.249527832000343","0.311282506818653"
"Stimmt eher","1991","46-65","Realschule","30","0.255579181345226","0.175156071665615","0.336002291024837"
"Stimmt eher","1991","46-65","(Fach-)Abitur","2","","",""
"Stimmt eher","1991","46-65","AkademikerIn","82","0.272284524751421","0.223282870161808","0.321286179341033"
"Stimmt eher","1991","66","(noch) kein Abschluss","","","",""
"Stimmt eher","1991","66","Hauptschule","","","",""
"Stimmt eher","1991","66","Realschule","","","",""
"Stimmt eher","1991","66","(Fach-)Abitur","","","",""
"Stimmt eher","1991","66","AkademikerIn","","","",""
"Stimmt eher nicht","1991","17-29","(noch) kein Abschluss","20","","",""
"Stimmt eher nicht","1991","17-29","Hauptschule","32","0.336122013850998","0.236860458235955","0.435383569466041"
"Stimmt eher nicht","1991","17-29","Realschule","277","0.41191808814094","0.374110241810286","0.449725934471595"
"Stimmt eher nicht","1991","17-29","(Fach-)Abitur","37","0.433902350628355","0.325971087717079","0.541833613539631"
"Stimmt eher nicht","1991","17-29","AkademikerIn","57","0.443457981868929","0.356714263280323","0.530201700457536"
"Stimmt eher nicht","1991","30-45","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1991","30-45","Hauptschule","90","0.339478000869696","0.284405045529297","0.394550956210095"
"Stimmt eher nicht","1991","30-45","Realschule","283","0.380096050274863","0.344264762859523","0.415927337690203"
"Stimmt eher nicht","1991","30-45","(Fach-)Abitur","10","","",""
"Stimmt eher nicht","1991","30-45","AkademikerIn","213","0.468176865530707","0.422577608906315","0.513776122155098"
"Stimmt eher nicht","1991","46-65","(noch) kein Abschluss","2","","",""
"Stimmt eher nicht","1991","46-65","Hauptschule","322","0.383938388048739","0.350507673389199","0.417369102708279"
"Stimmt eher nicht","1991","46-65","Realschule","49","0.424853822193278","0.333711990350403","0.515995654036153"
