"plh0191","year","bula_h","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","4","","",""
"Stimmt ganz u.gar","1995","Schleswig-Holstein","2","2","","",""
"Stimmt ganz u.gar","1995","Schleswig-Holstein","3","4","","",""
"Stimmt ganz u.gar","1995","Schleswig-Holstein","4","4","","",""
"Stimmt ganz u.gar","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Hamburg","1 Einkommensschwächstes Quintil","3","","",""
"Stimmt ganz u.gar","1995","Hamburg","2","4","","",""
"Stimmt ganz u.gar","1995","Hamburg","3","","","",""
"Stimmt ganz u.gar","1995","Hamburg","4","1","","",""
"Stimmt ganz u.gar","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Niedersachsen","1 Einkommensschwächstes Quintil","18","","",""
"Stimmt ganz u.gar","1995","Niedersachsen","2","14","","",""
"Stimmt ganz u.gar","1995","Niedersachsen","3","3","","",""
"Stimmt ganz u.gar","1995","Niedersachsen","4","8","","",""
"Stimmt ganz u.gar","1995","Niedersachsen","5 Einkommensstärkstes Quintil","2","","",""
"Stimmt ganz u.gar","1995","Bremen","1 Einkommensschwächstes Quintil","8","","",""
"Stimmt ganz u.gar","1995","Bremen","2","2","","",""
"Stimmt ganz u.gar","1995","Bremen","3","2","","",""
"Stimmt ganz u.gar","1995","Bremen","4","","","",""
"Stimmt ganz u.gar","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","62","0.0740997062832938","0.0573640158670561","0.0908353966995315"
"Stimmt ganz u.gar","1995","Nordrhein-Westfalen","2","30","0.0540030112224014","0.0370272835143332","0.0709787389304696"
"Stimmt ganz u.gar","1995","Nordrhein-Westfalen","3","13","","",""
"Stimmt ganz u.gar","1995","Nordrhein-Westfalen","4","8","","",""
"Stimmt ganz u.gar","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","7","","",""
"Stimmt ganz u.gar","1995","Hessen","1 Einkommensschwächstes Quintil","22","","",""
"Stimmt ganz u.gar","1995","Hessen","2","7","","",""
"Stimmt ganz u.gar","1995","Hessen","3","8","","",""
"Stimmt ganz u.gar","1995","Hessen","4","3","","",""
"Stimmt ganz u.gar","1995","Hessen","5 Einkommensstärkstes Quintil","1","","",""
"Stimmt ganz u.gar","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","11","","",""
"Stimmt ganz u.gar","1995","Rheinland-Pfalz,Saarland","2","8","","",""
"Stimmt ganz u.gar","1995","Rheinland-Pfalz,Saarland","3","3","","",""
"Stimmt ganz u.gar","1995","Rheinland-Pfalz,Saarland","4","2","","",""
"Stimmt ganz u.gar","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Baden-Württemberg","1 Einkommensschwächstes Quintil","55","0.0942296800936911","0.0712889640721742","0.117170396115208"
"Stimmt ganz u.gar","1995","Baden-Württemberg","2","23","","",""
"Stimmt ganz u.gar","1995","Baden-Württemberg","3","15","","",""
"Stimmt ganz u.gar","1995","Baden-Württemberg","4","11","","",""
"Stimmt ganz u.gar","1995","Baden-Württemberg","5 Einkommensstärkstes Quintil","3","","",""
"Stimmt ganz u.gar","1995","Bayern","1 Einkommensschwächstes Quintil","31","0.0741513585387724","0.0511619726000614","0.0971407444774834"
"Stimmt ganz u.gar","1995","Bayern","2","15","","",""
"Stimmt ganz u.gar","1995","Bayern","3","11","","",""
"Stimmt ganz u.gar","1995","Bayern","4","12","","",""
"Stimmt ganz u.gar","1995","Bayern","5 Einkommensstärkstes Quintil","3","","",""
"Stimmt ganz u.gar","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Saarland","2","","","",""
"Stimmt ganz u.gar","1995","Saarland","3","","","",""
"Stimmt ganz u.gar","1995","Saarland","4","","","",""
"Stimmt ganz u.gar","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Berlin","1 Einkommensschwächstes Quintil","18","","",""
"Stimmt ganz u.gar","1995","Berlin","2","11","","",""
"Stimmt ganz u.gar","1995","Berlin","3","5","","",""
"Stimmt ganz u.gar","1995","Berlin","4","2","","",""
"Stimmt ganz u.gar","1995","Berlin","5 Einkommensstärkstes Quintil","1","","",""
"Stimmt ganz u.gar","1995","Brandenburg","1 Einkommensschwächstes Quintil","13","","",""
"Stimmt ganz u.gar","1995","Brandenburg","2","10","","",""
"Stimmt ganz u.gar","1995","Brandenburg","3","2","","",""
"Stimmt ganz u.gar","1995","Brandenburg","4","6","","",""
"Stimmt ganz u.gar","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","10","","",""
"Stimmt ganz u.gar","1995","Mecklenburg-Vorpommern","2","9","","",""
"Stimmt ganz u.gar","1995","Mecklenburg-Vorpommern","3","3","","",""
"Stimmt ganz u.gar","1995","Mecklenburg-Vorpommern","4","2","","",""
"Stimmt ganz u.gar","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Stimmt ganz u.gar","1995","Sachsen","1 Einkommensschwächstes Quintil","37","0.0889789002386493","0.0643653496804227","0.113592450796876"
"Stimmt ganz u.gar","1995","Sachsen","2","19","","",""
"Stimmt ganz u.gar","1995","Sachsen","3","7","","",""
"Stimmt ganz u.gar","1995","Sachsen","4","6","","",""
