year,migback,sampreg,plh0191,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,East,Agree completely,0.08993,338,4354,0.08977,0.09009
1990,No migration background,East,Agree,0.20667,870,4354,0.20644,0.20690
1990,No migration background,East,Disagree,0.35374,1526,4354,0.35348,0.35401
1990,No migration background,East,Disagree completely,0.34966,1516,4354,0.34939,0.34992
1990,Direct migration background,East,Disagree,0.58329,59,4354,0.58162,0.58496
1990,Direct migration background,East,Disagree completely,0.41671,45,4354,0.41504,0.41838
1991,No migration background,East,Agree completely,0.09064,326,4079,0.09048,0.09080
1991,No migration background,East,Agree,0.24297,918,4079,0.24274,0.24321
1991,No migration background,East,Disagree,0.39025,1584,4079,0.38998,0.39052
1991,No migration background,East,Disagree completely,0.27614,1126,4079,0.27589,0.27639
1991,Direct migration background,East,Agree,0.25044,31,4079,0.24919,0.25170
1991,Direct migration background,East,Disagree,0.43975,57,4079,0.43831,0.44118
1991,Direct migration background,East,Disagree completely,0.30981,37,4079,0.30847,0.31114
1992,No migration background,West,Agree completely,0.04436,261,10851,0.04430,0.04443
1992,No migration background,West,Agree,0.11253,660,10851,0.11244,0.11262
1992,No migration background,West,Disagree,0.28624,1840,10851,0.28611,0.28638
1992,No migration background,West,Disagree completely,0.55686,3717,10851,0.55671,0.55701
1992,No migration background,East,Agree completely,0.08485,266,10851,0.08470,0.08501
1992,No migration background,East,Agree,0.23662,853,10851,0.23639,0.23686
1992,No migration background,East,Disagree,0.37859,1471,10851,0.37833,0.37886
1992,No migration background,East,Disagree completely,0.29993,1216,10851,0.29967,0.30018
1992,Direct migration background,West,Agree,0.12594,43,10851,0.12556,0.12633
1992,Direct migration background,West,Disagree,0.27674,113,10851,0.27623,0.27726
1992,Direct migration background,West,Disagree completely,0.59731,241,10851,0.59675,0.59788
1992,Direct migration background,East,Agree,0.32121,38,10851,0.31992,0.32250
1992,Direct migration background,East,Disagree,0.41347,52,10851,0.41210,0.41483
1992,Direct migration background,East,Disagree completely,0.26533,38,10851,0.26411,0.26655
1992,Indirect migration background,West,Disagree completely,1.00000,42,10851,1.00000,1.00000
1993,No migration background,West,Agree completely,0.06866,402,12904,0.06859,0.06874
1993,No migration background,West,Agree,0.13579,807,12904,0.13569,0.13589
1993,No migration background,West,Disagree,0.33195,2111,12904,0.33181,0.33209
1993,No migration background,West,Disagree completely,0.46360,3101,12904,0.46345,0.46374
1993,No migration background,East,Agree completely,0.09904,298,12904,0.09887,0.09920
1993,No migration background,East,Agree,0.22358,764,12904,0.22335,0.22381
1993,No migration background,East,Disagree,0.38811,1491,12904,0.38784,0.38838
1993,No migration background,East,Disagree completely,0.28928,1110,12904,0.28903,0.28953
