year,regtyp,plh0036,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Very concerned,0.52285,5970,11997,0.51391,0.53179
1984,No answer / don't know,Somewhat concerned,0.39641,4778,11997,0.38766,0.40517
1984,No answer / don't know,Not concerned at all,0.08073,1249,11997,0.07586,0.08561
1985,Urban regions,Very concerned,0.48037,3924,8566,0.46978,0.49095
1985,Urban regions,Somewhat concerned,0.44231,3793,8566,0.43179,0.45283
1985,Urban regions,Not concerned at all,0.07733,849,8566,0.07167,0.08298
1985,Rural regions,Very concerned,0.44054,998,2304,0.42027,0.46082
1985,Rural regions,Somewhat concerned,0.47406,1091,2304,0.45367,0.49446
1985,Rural regions,Not concerned at all,0.08539,215,2304,0.07398,0.09681
1986,Urban regions,Very concerned,0.43921,3496,8240,0.42849,0.44993
1986,Urban regions,Somewhat concerned,0.46329,3840,8240,0.45253,0.47406
1986,Urban regions,Not concerned at all,0.09749,904,8240,0.09109,0.10390
1986,Rural regions,Very concerned,0.40109,871,2206,0.38063,0.42155
1986,Rural regions,Somewhat concerned,0.47740,1062,2206,0.45655,0.49825
1986,Rural regions,Not concerned at all,0.12151,273,2206,0.10788,0.13515
1987,Urban regions,Very concerned,0.59035,4502,8155,0.57968,0.60103
1987,Urban regions,Somewhat concerned,0.35915,3079,8155,0.34874,0.36957
1987,Urban regions,Not concerned at all,0.05050,574,8155,0.04574,0.05525
1987,Rural regions,Very concerned,0.55775,1184,2176,0.53687,0.57862
1987,Rural regions,Somewhat concerned,0.38120,822,2176,0.36078,0.40161
1987,Rural regions,Not concerned at all,0.06106,170,2176,0.05099,0.07112
1988,Urban regions,Very concerned,0.57539,4159,7823,0.56444,0.58635
1988,Urban regions,Somewhat concerned,0.37406,3114,7823,0.36334,0.38478
1988,Urban regions,Not concerned at all,0.05055,550,7823,0.04569,0.05540
1988,Rural regions,Very concerned,0.51816,1078,2042,0.49648,0.53984
1988,Rural regions,Somewhat concerned,0.42544,832,2042,0.40399,0.44689
1988,Rural regions,Not concerned at all,0.05640,132,2042,0.04639,0.06641
1989,Urban regions,Very concerned,0.63156,4469,7630,0.62073,0.64238
1989,Urban regions,Somewhat concerned,0.32623,2673,7630,0.31571,0.33675
1989,Urban regions,Not concerned at all,0.04221,488,7630,0.03770,0.04672
1989,Rural regions,Very concerned,0.61019,1167,1937,0.58847,0.63192
1989,Rural regions,Somewhat concerned,0.33491,644,1937,0.31389,0.35593
1989,Rural regions,Not concerned at all,0.05490,126,1937,0.04475,0.06504
1990,No answer / don't know,Very concerned,0.57529,50,50,0.43689,0.71369
1990,Urban regions,Very concerned,0.62901,5347,8896,0.61897,0.63905
1990,Urban regions,Somewhat concerned,0.32517,3054,8896,0.31544,0.33491
1990,Urban regions,Not concerned at all,0.04582,495,8896,0.04147,0.05016
1990,Rural regions,Very concerned,0.58413,2786,4803,0.57019,0.59807
1990,Rural regions,Somewhat concerned,0.37357,1835,4803,0.35989,0.38725
1990,Rural regions,Not concerned at all,0.04230,182,4803,0.03660,0.04799
