year,sampreg,sex,plh0036,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Very concerned,0.53156,2935,5878,0.51880,0.54431
1984,West,male,Somewhat concerned,0.39399,2344,5878,0.38149,0.40648
1984,West,male,Not concerned at all,0.07446,599,5878,0.06775,0.08117
1984,West,female,Very concerned,0.51513,3035,6119,0.50260,0.52765
1984,West,female,Somewhat concerned,0.39857,2434,6119,0.38630,0.41084
1984,West,female,Not concerned at all,0.08631,650,6119,0.07927,0.09334
1985,West,male,Very concerned,0.47369,2422,5345,0.46031,0.48708
1985,West,male,Somewhat concerned,0.45079,2411,5345,0.43745,0.46413
1985,West,male,Not concerned at all,0.07552,512,5345,0.06843,0.08260
1985,West,female,Very concerned,0.46803,2500,5525,0.45487,0.48119
1985,West,female,Somewhat concerned,0.44933,2473,5525,0.43621,0.46245
1985,West,female,Not concerned at all,0.08264,552,5525,0.07538,0.08990
1986,West,male,Very concerned,0.42423,2130,5165,0.41075,0.43771
1986,West,male,Somewhat concerned,0.47370,2447,5165,0.46008,0.48732
1986,West,male,Not concerned at all,0.10207,588,5165,0.09381,0.11033
1986,West,female,Very concerned,0.43524,2237,5281,0.42187,0.44862
1986,West,female,Somewhat concerned,0.46040,2455,5281,0.44696,0.47384
1986,West,female,Not concerned at all,0.10436,589,5281,0.09611,0.11260
1987,West,male,Very concerned,0.57260,2765,5122,0.55905,0.58615
1987,West,male,Somewhat concerned,0.37625,1986,5122,0.36298,0.38952
1987,West,male,Not concerned at all,0.05115,371,5122,0.04512,0.05719
1987,West,female,Very concerned,0.59163,2921,5209,0.57828,0.60498
1987,West,female,Somewhat concerned,0.35371,1915,5209,0.34072,0.36669
1987,West,female,Not concerned at all,0.05466,373,5209,0.04849,0.06084
1988,West,male,Very concerned,0.54569,2525,4887,0.53173,0.55965
1988,West,male,Somewhat concerned,0.40304,2029,4887,0.38929,0.41679
1988,West,male,Not concerned at all,0.05127,333,4887,0.04509,0.05746
1988,West,female,Very concerned,0.57687,2712,4978,0.56314,0.59059
1988,West,female,Somewhat concerned,0.37063,1917,4978,0.35721,0.38405
1988,West,female,Not concerned at all,0.05250,349,4978,0.04631,0.05870
1989,West,male,Very concerned,0.61541,2714,4715,0.60152,0.62929
1989,West,male,Somewhat concerned,0.33949,1694,4715,0.32598,0.35301
1989,West,male,Not concerned at all,0.04510,307,4715,0.03918,0.05103
1989,West,female,Very concerned,0.63694,2922,4852,0.62340,0.65047
1989,West,female,Somewhat concerned,0.31795,1623,4852,0.30484,0.33105
1989,West,female,Not concerned at all,0.04512,307,4852,0.03928,0.05096
1990,West,male,Very concerned,0.61561,2717,4626,0.60159,0.62963
1990,West,male,Somewhat concerned,0.33703,1621,4626,0.32341,0.35065
1990,West,male,Not concerned at all,0.04736,288,4626,0.04124,0.05348
1990,West,female,Very concerned,0.62970,2878,4752,0.61597,0.64343
1990,West,female,Somewhat concerned,0.32125,1597,4752,0.30797,0.33453
1990,West,female,Not concerned at all,0.04905,277,4752,0.04291,0.05519
1990,East,male,Very concerned,0.59206,1255,2100,0.57103,0.61308
1990,East,male,Somewhat concerned,0.38279,795,2100,0.36200,0.40359
1990,East,male,Not concerned at all,0.02515,50,2100,0.01845,0.03185
1990,East,female,Very concerned,0.57348,1333,2308,0.55330,0.59366
1990,East,female,Somewhat concerned,0.39001,906,2308,0.37011,0.40992
1990,East,female,Not concerned at all,0.03651,69,2308,0.02886,0.04416
1991,West,male,Very concerned,0.49793,2166,4627,0.48352,0.51234
1991,West,male,Somewhat concerned,0.44218,2107,4627,0.42787,0.45649
1991,West,male,Not concerned at all,0.05989,354,4627,0.05305,0.06673
1991,West,female,Very concerned,0.54366,2478,4761,0.52951,0.55781
1991,West,female,Somewhat concerned,0.40707,1974,4761,0.39311,0.42103
1991,West,female,Not concerned at all,0.04927,309,4761,0.04312,0.05542
1991,East,male,Very concerned,0.44508,880,1969,0.42313,0.46704
1991,East,male,Somewhat concerned,0.51378,1008,1969,0.49170,0.53586
1991,East,male,Not concerned at all,0.04114,81,1969,0.03236,0.04991
1991,East,female,Very concerned,0.47487,1020,2147,0.45374,0.49600
1991,East,female,Somewhat concerned,0.49257,1071,2147,0.47142,0.51372
1991,East,female,Not concerned at all,0.03256,56,2147,0.02505,0.04007
1992,West,male,Very concerned,0.55766,2423,4545,0.54322,0.57210
1992,West,male,Somewhat concerned,0.39806,1859,4545,0.38383,0.41229
1992,West,male,Not concerned at all,0.04428,263,4545,0.03830,0.05026
1992,West,female,Very concerned,0.60610,2745,4725,0.59217,0.62003
1992,West,female,Somewhat concerned,0.35099,1738,4725,0.33738,0.36460
1992,West,female,Not concerned at all,0.04292,242,4725,0.03714,0.04869
1992,East,male,Very concerned,0.55874,1021,1876,0.53626,0.58121
1992,East,male,Somewhat concerned,0.40666,788,1876,0.38443,0.42890
1992,East,male,Not concerned at all,0.03460,67,1876,0.02633,0.04287
1992,East,female,Very concerned,0.59532,1232,2069,0.57416,0.61647
1992,East,female,Somewhat concerned,0.37968,793,2069,0.35876,0.40059
1992,East,female,Not concerned at all,0.02501,44,2069,0.01828,0.03174
1993,West,male,Very concerned,0.49186,2165,4513,0.47727,0.50645
1993,West,male,Somewhat concerned,0.45986,2084,4513,0.44532,0.47440
1993,West,male,Not concerned at all,0.04828,264,4513,0.04202,0.05453
1993,West,female,Very concerned,0.53539,2430,4683,0.52110,0.54968
1993,West,female,Somewhat concerned,0.42324,2011,4683,0.40908,0.43739
1993,West,female,Not concerned at all,0.04137,242,4683,0.03567,0.04708
1993,East,male,Very concerned,0.47243,844,1808,0.44941,0.49545
1993,East,male,Somewhat concerned,0.49654,911,1808,0.47348,0.51959
1993,East,male,Not concerned at all,0.03103,53,1808,0.02304,0.03903
1993,East,female,Very concerned,0.49308,1009,2001,0.47117,0.51499
