"plh0036","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1985","kein Migrationshintergrund","Staedtischer Raum","2960","","",""
"Grosse Sorgen","1985","kein Migrationshintergrund","Laendlicher Raum","889","0.444924701391389","0.423007568017842","0.466841834764936"
"Grosse Sorgen","1985","direkter Migrationshintergrund","Staedtischer Raum","888","0.409599428576901","0.390322797209544","0.428876059944257"
"Grosse Sorgen","1985","direkter Migrationshintergrund","Laendlicher Raum","116","","",""
"Grosse Sorgen","1985","indirekter Migrationshintergrund","Staedtischer Raum","60","0.52435007090898","0.435731945402043","0.612968196415917"
"Grosse Sorgen","1985","indirekter Migrationshintergrund","Laendlicher Raum","9","0.663740887074296","0.445493950896942","0.88198782325165"
"Grosse Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1985","kein Migrationshintergrund","Staedtischer Raum","2571","","",""
"Einige Sorgen","1985","kein Migrationshintergrund","Laendlicher Raum","937","0.472628807963865","0.450610556009407","0.494647059918323"
"Einige Sorgen","1985","direkter Migrationshintergrund","Staedtischer Raum","1160","","",""
"Einige Sorgen","1985","direkter Migrationshintergrund","Laendlicher Raum","162","","",""
"Einige Sorgen","1985","indirekter Migrationshintergrund","Staedtischer Raum","48","0.43088837021717","0.343016616865236","0.518760123569105"
"Einige Sorgen","1985","indirekter Migrationshintergrund","Laendlicher Raum","6","0.285233027917548","0.0766427883911526","0.493823267443943"
"Einige Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1985","kein Migrationshintergrund","Staedtischer Raum","383","0.0715117763378536","0.0649445132633644","0.0780790394123429"
"Keine Sorgen","1985","kein Migrationshintergrund","Laendlicher Raum","149","","",""
"Keine Sorgen","1985","direkter Migrationshintergrund","Staedtischer Raum","452","0.131354205834177","0.118113185917694","0.144595225750661"
"Keine Sorgen","1985","direkter Migrationshintergrund","Laendlicher Raum","63","0.115440008597728","0.0815233763133348","0.149356640882121"
"Keine Sorgen","1985","indirekter Migrationshintergrund","Staedtischer Raum","14","","",""
"Keine Sorgen","1985","indirekter Migrationshintergrund","Laendlicher Raum","3","","",""
"Keine Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1986","kein Migrationshintergrund","Staedtischer Raum","2626","","",""
"Grosse Sorgen","1986","kein Migrationshintergrund","Laendlicher Raum","767","0.404556300192082","0.382233330180481","0.426879270203684"
