year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,in school,Westdeutschland,,,,,,,,,,,,
1984,inadequately,Westdeutschland,,,,,,,,,,,,
1984,general elemantary,Westdeutschland,,,,,,,,,,,,
1984,middle vocational,Westdeutschland,,,,,,,,,,,,
1984,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1984,higher vocational,Westdeutschland,,,,,,,,,,,,
1984,higher education,Westdeutschland,,,,,,,,,,,,
1985,in school,Westdeutschland,,,,,,,,,,,,
1985,inadequately,Westdeutschland,,,,,,,,,,,,
1985,general elemantary,Westdeutschland,,,,,,,,,,,,
1985,middle vocational,Westdeutschland,,,,,,,,,,,,
1985,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1985,higher vocational,Westdeutschland,,,,,,,,,,,,
1985,higher education,Westdeutschland,,,,,,,,,,,,
1986,in school,Westdeutschland,,,,,,,,,,,,
1986,inadequately,Westdeutschland,,,,,,,,,,,,
1986,general elemantary,Westdeutschland,,,,,,,,,,,,
1986,middle vocational,Westdeutschland,,,,,,,,,,,,
1986,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1986,higher vocational,Westdeutschland,,,,,,,,,,,,
1986,higher education,Westdeutschland,,,,,,,,,,,,
1987,in school,Westdeutschland,,,,,,,,,,,,
1987,inadequately,Westdeutschland,,,,,,,,,,,,
1987,general elemantary,Westdeutschland,,,,,,,,,,,,
1987,middle vocational,Westdeutschland,,,,,,,,,,,,
1987,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1987,higher vocational,Westdeutschland,,,,,,,,,,,,
1987,higher education,Westdeutschland,,,,,,,,,,,,
1988,in school,Westdeutschland,,,,,,,,,,,,
1988,inadequately,Westdeutschland,,,,,,,,,,,,
1988,general elemantary,Westdeutschland,,,,,,,,,,,,
1988,middle vocational,Westdeutschland,,,,,,,,,,,,
1988,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1988,higher vocational,Westdeutschland,,,,,,,,,,,,
1988,higher education,Westdeutschland,,,,,,,,,,,,
1989,in school,Westdeutschland,,,,,,,,,,,,
1989,inadequately,Westdeutschland,,,,,,,,,,,,
1989,general elemantary,Westdeutschland,,,,,,,,,,,,
1989,middle vocational,Westdeutschland,,,,,,,,,,,,
1989,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1989,higher vocational,Westdeutschland,,,,,,,,,,,,
1989,higher education,Westdeutschland,,,,,,,,,,,,
1990,in school,Westdeutschland,,,,,,,,,,,,
1990,in school,Ostdeutschland,,,,,,,,,,,,
1990,inadequately,Westdeutschland,,,,,,,,,,,,
1990,inadequately,Ostdeutschland,,,,,,,,,,,,
1990,general elemantary,Westdeutschland,,,,,,,,,,,,
1990,general elemantary,Ostdeutschland,,,,,,,,,,,,
1990,middle vocational,Westdeutschland,,,,,,,,,,,,
1990,middle vocational,Ostdeutschland,,,,,,,,,,,,
1990,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1990,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1990,higher vocational,Westdeutschland,,,,,,,,,,,,
1990,higher vocational,Ostdeutschland,,,,,,,,,,,,
1990,higher education,Westdeutschland,,,,,,,,,,,,
1990,higher education,Ostdeutschland,,,,,,,,,,,,
1991,in school,Westdeutschland,,,,,,,,,,,,
1991,in school,Ostdeutschland,,,,,,,,,,,,
1991,inadequately,Westdeutschland,,,,,,,,,,,,
1991,inadequately,Ostdeutschland,,,,,,,,,,,,
1991,general elemantary,Westdeutschland,,,,,,,,,,,,
1991,general elemantary,Ostdeutschland,,,,,,,,,,,,
1991,middle vocational,Westdeutschland,,,,,,,,,,,,
1991,middle vocational,Ostdeutschland,,,,,,,,,,,,
1991,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1991,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1991,higher vocational,Westdeutschland,,,,,,,,,,,,
1991,higher vocational,Ostdeutschland,,,,,,,,,,,,
1991,higher education,Westdeutschland,,,,,,,,,,,,
1991,higher education,Ostdeutschland,,,,,,,,,,,,
1992,in school,Westdeutschland,,,,,,,,,,,,
1992,in school,Ostdeutschland,,,,,,,,,,,,
1992,inadequately,Westdeutschland,,,,,,,,,,,,
1992,inadequately,Ostdeutschland,,,,,,,,,,,,
1992,general elemantary,Westdeutschland,,,,,,,,,,,,
1992,general elemantary,Ostdeutschland,,,,,,,,,,,,
1992,middle vocational,Westdeutschland,,,,,,,,,,,,
1992,middle vocational,Ostdeutschland,,,,,,,,,,,,
1992,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1992,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1992,higher vocational,Westdeutschland,,,,,,,,,,,,
1992,higher vocational,Ostdeutschland,,,,,,,,,,,,
1992,higher education,Westdeutschland,,,,,,,,,,,,
1992,higher education,Ostdeutschland,,,,,,,,,,,,
1993,in school,Westdeutschland,,,,,,,,,,,,
1993,in school,Ostdeutschland,,,,,,,,,,,,
1993,inadequately,Westdeutschland,,,,,,,,,,,,
1993,inadequately,Ostdeutschland,,,,,,,,,,,,
1993,general elemantary,Westdeutschland,,,,,,,,,,,,
1993,general elemantary,Ostdeutschland,,,,,,,,,,,,
1993,middle vocational,Westdeutschland,,,,,,,,,,,,
1993,middle vocational,Ostdeutschland,,,,,,,,,,,,
1993,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1993,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1993,higher vocational,Westdeutschland,,,,,,,,,,,,
1993,higher vocational,Ostdeutschland,,,,,,,,,,,,
1993,higher education,Westdeutschland,,,,,,,,,,,,
1993,higher education,Ostdeutschland,,,,,,,,,,,,
1994,in school,Westdeutschland,,,,,,,,,,,,
1994,in school,Ostdeutschland,,,,,,,,,,,,
1994,inadequately,Westdeutschland,,,,,,,,,,,,
1994,inadequately,Ostdeutschland,,,,,,,,,,,,
1994,general elemantary,Westdeutschland,,,,,,,,,,,,
1994,general elemantary,Ostdeutschland,,,,,,,,,,,,
1994,middle vocational,Westdeutschland,,,,,,,,,,,,
1994,middle vocational,Ostdeutschland,,,,,,,,,,,,
1994,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1994,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1994,higher vocational,Westdeutschland,,,,,,,,,,,,
1994,higher vocational,Ostdeutschland,,,,,,,,,,,,
1994,higher education,Westdeutschland,,,,,,,,,,,,
1994,higher education,Ostdeutschland,,,,,,,,,,,,
1995,in school,Westdeutschland,,,,,,,,,,,,
1995,in school,Ostdeutschland,,,,,,,,,,,,
1995,inadequately,Westdeutschland,,,,,,,,,,,,
1995,inadequately,Ostdeutschland,,,,,,,,,,,,
1995,general elemantary,Westdeutschland,,,,,,,,,,,,
1995,general elemantary,Ostdeutschland,,,,,,,,,,,,
1995,middle vocational,Westdeutschland,,,,,,,,,,,,
1995,middle vocational,Ostdeutschland,,,,,,,,,,,,
1995,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1995,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1995,higher vocational,Westdeutschland,,,,,,,,,,,,
1995,higher vocational,Ostdeutschland,,,,,,,,,,,,
1995,higher education,Westdeutschland,,,,,,,,,,,,
1995,higher education,Ostdeutschland,,,,,,,,,,,,
1996,in school,Westdeutschland,,,,,,,,,,,,
1996,in school,Ostdeutschland,,,,,,,,,,,,
1996,inadequately,Westdeutschland,,,,,,,,,,,,
1996,inadequately,Ostdeutschland,,,,,,,,,,,,
1996,general elemantary,Westdeutschland,,,,,,,,,,,,
1996,general elemantary,Ostdeutschland,,,,,,,,,,,,
1996,middle vocational,Westdeutschland,,,,,,,,,,,,
1996,middle vocational,Ostdeutschland,,,,,,,,,,,,
1996,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1996,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1996,higher vocational,Westdeutschland,,,,,,,,,,,,
1996,higher vocational,Ostdeutschland,,,,,,,,,,,,
1996,higher education,Westdeutschland,,,,,,,,,,,,
1996,higher education,Ostdeutschland,,,,,,,,,,,,
1997,in school,Westdeutschland,,,,,,,,,,,,
1997,in school,Ostdeutschland,,,,,,,,,,,,
1997,inadequately,Westdeutschland,,,,,,,,,,,,
1997,inadequately,Ostdeutschland,,,,,,,,,,,,
1997,general elemantary,Westdeutschland,,,,,,,,,,,,
1997,general elemantary,Ostdeutschland,,,,,,,,,,,,
1997,middle vocational,Westdeutschland,,,,,,,,,,,,
1997,middle vocational,Ostdeutschland,,,,,,,,,,,,
1997,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1997,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1997,higher vocational,Westdeutschland,,,,,,,,,,,,
1997,higher vocational,Ostdeutschland,,,,,,,,,,,,
1997,higher education,Westdeutschland,,,,,,,,,,,,
1997,higher education,Ostdeutschland,,,,,,,,,,,,
1998,in school,Westdeutschland,,,,,,,,,,,,
1998,in school,Ostdeutschland,,,,,,,,,,,,
1998,inadequately,Westdeutschland,,,,,,,,,,,,
1998,inadequately,Ostdeutschland,,,,,,,,,,,,
1998,general elemantary,Westdeutschland,,,,,,,,,,,,
1998,general elemantary,Ostdeutschland,,,,,,,,,,,,
1998,middle vocational,Westdeutschland,,,,,,,,,,,,
1998,middle vocational,Ostdeutschland,,,,,,,,,,,,
1998,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1998,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1998,higher vocational,Westdeutschland,,,,,,,,,,,,
1998,higher vocational,Ostdeutschland,,,,,,,,,,,,
1998,higher education,Westdeutschland,,,,,,,,,,,,
1998,higher education,Ostdeutschland,,,,,,,,,,,,
1999,in school,Westdeutschland,,,,,,,,,,,,
1999,in school,Ostdeutschland,,,,,,,,,,,,
1999,inadequately,Westdeutschland,,,,,,,,,,,,
1999,inadequately,Ostdeutschland,,,,,,,,,,,,
1999,general elemantary,Westdeutschland,,,,,,,,,,,,
1999,general elemantary,Ostdeutschland,,,,,,,,,,,,
1999,middle vocational,Westdeutschland,,,,,,,,,,,,
1999,middle vocational,Ostdeutschland,,,,,,,,,,,,
1999,vocational + Abi,Westdeutschland,,,,,,,,,,,,
1999,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
1999,higher vocational,Westdeutschland,,,,,,,,,,,,
1999,higher vocational,Ostdeutschland,,,,,,,,,,,,
1999,higher education,Westdeutschland,,,,,,,,,,,,
1999,higher education,Ostdeutschland,,,,,,,,,,,,
2000,in school,Westdeutschland,,,,,,,,,,,,
2000,in school,Ostdeutschland,,,,,,,,,,,,
2000,inadequately,Westdeutschland,,,,,,,,,,,,
2000,inadequately,Ostdeutschland,,,,,,,,,,,,
2000,general elemantary,Westdeutschland,,,,,,,,,,,,
2000,general elemantary,Ostdeutschland,,,,,,,,,,,,
2000,middle vocational,Westdeutschland,,,,,,,,,,,,
2000,middle vocational,Ostdeutschland,,,,,,,,,,,,
2000,vocational + Abi,Westdeutschland,,,,,,,,,,,,
2000,vocational + Abi,Ostdeutschland,,,,,,,,,,,,
2000,higher vocational,Westdeutschland,,,,,,,,,,,,
2000,higher vocational,Ostdeutschland,,,,,,,,,,,,
2000,higher education,Westdeutschland,,,,,,,,,,,,
2000,higher education,Ostdeutschland,,,,,,,,,,,,
2001,in school,Westdeutschland,215,0.054710064824690256,0.006433216416578472,0.10298691323280204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,in school,Ostdeutschland,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,inadequately,Westdeutschland,297,0.0853257099990894,0.04812863925045158,0.12252278074772721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,inadequately,Ostdeutschland,,,,,,,,,,,,
2001,general elemantary,Westdeutschland,2579,0.16208667636415777,0.1417337362328848,0.18243961649543075,0.0,0.0,2.9119972519331707,0.0,0.0,0.0,0.0,0.0
