year,age_gr,pgisced97,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Pre-primary Level,No,0.45615,305,305,0.40016,0.51214
2011,17-29 y.,Primary Level,No,0.72215,36,36,0.57375,0.87055
2011,17-29 y.,Lower Secondary Level,No,0.73724,454,454,0.69671,0.77777
2011,17-29 y.,Upper Secondary Level,Yes,0.03405,51,1352,0.02438,0.04372
2011,17-29 y.,Upper Secondary Level,No,0.88884,1301,1352,0.87207,0.90560
2011,17-29 y.,Post-secondary Non-tertiary Level,No,0.91018,206,206,0.87105,0.94932
2011,17-29 y.,First Stage of Tertiary Education,No,0.89093,48,48,0.80181,0.98005
2011,17-29 y.,Second Stage of Tertiary Education,No,0.94129,283,283,0.91385,0.96873
2011,30-45 y.,Primary Level,No,0.56630,49,49,0.42610,0.70650
2011,30-45 y.,Lower Secondary Level,Yes,0.11445,48,334,0.08025,0.14864
2011,30-45 y.,Lower Secondary Level,No,0.62598,286,334,0.57401,0.67795
2011,30-45 y.,Upper Secondary Level,Yes,0.09465,298,2377,0.08288,0.10642
2011,30-45 y.,Upper Secondary Level,No,0.69590,2079,2377,0.67740,0.71440
2011,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.08680,47,471,0.06134,0.11225
2011,30-45 y.,Post-secondary Non-tertiary Level,No,0.68442,424,471,0.64240,0.72644
2011,30-45 y.,First Stage of Tertiary Education,Yes,0.08310,38,368,0.05486,0.11134
2011,30-45 y.,First Stage of Tertiary Education,No,0.77359,330,368,0.73077,0.81640
2011,30-45 y.,Second Stage of Tertiary Education,Yes,0.06295,83,1226,0.04935,0.07655
2011,30-45 y.,Second Stage of Tertiary Education,No,0.74103,1143,1226,0.71650,0.76557
2011,46-65 y.,Primary Level,No,0.61274,50,50,0.47635,0.74914
2011,46-65 y.,Lower Secondary Level,Yes,0.26975,154,536,0.23214,0.30736
2011,46-65 y.,Lower Secondary Level,No,0.68520,382,536,0.64585,0.72456
2011,46-65 y.,Upper Secondary Level,Yes,0.22478,927,4121,0.21204,0.23753
2011,46-65 y.,Upper Secondary Level,No,0.74034,3194,4121,0.72696,0.75373
2011,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.21800,82,391,0.17702,0.25898
2011,46-65 y.,Post-secondary Non-tertiary Level,No,0.70539,309,391,0.66015,0.75064
2011,46-65 y.,First Stage of Tertiary Education,Yes,0.21328,139,651,0.18179,0.24477
2011,46-65 y.,First Stage of Tertiary Education,No,0.74689,512,651,0.71347,0.78032
2011,46-65 y.,Second Stage of Tertiary Education,Yes,0.15153,311,1988,0.13576,0.16729
2011,46-65 y.,Second Stage of Tertiary Education,No,0.80206,1677,1988,0.78454,0.81958
2011,66 and older,Primary Level,No,0.63117,37,37,0.47356,0.78878
2011,66 and older,Lower Secondary Level,Yes,0.30530,241,818,0.27372,0.33688
2011,66 and older,Lower Secondary Level,No,0.69304,577,818,0.66141,0.72467
2011,66 and older,Upper Secondary Level,Yes,0.28986,728,2639,0.27255,0.30717
2011,66 and older,Upper Secondary Level,No,0.70961,1911,2639,0.69229,0.72694
2011,66 and older,Post-secondary Non-tertiary Level,Yes,0.33110,42,124,0.24793,0.41427
2011,66 and older,Post-secondary Non-tertiary Level,No,0.66890,82,124,0.58573,0.75207
2011,66 and older,First Stage of Tertiary Education,Yes,0.30828,108,378,0.26166,0.35489
2011,66 and older,First Stage of Tertiary Education,No,0.69083,270,378,0.64418,0.73748
2011,66 and older,Second Stage of Tertiary Education,Yes,0.21405,217,1087,0.18966,0.23845
2011,66 and older,Second Stage of Tertiary Education,No,0.78512,870,1087,0.76069,0.80955
2013,17-29 y.,Pre-primary Level,No,0.37479,255,255,0.31526,0.43432
2013,17-29 y.,Primary Level,No,0.51285,32,32,0.33689,0.68880
2013,17-29 y.,Lower Secondary Level,No,0.53937,360,360,0.48781,0.59093
2013,17-29 y.,Upper Secondary Level,Yes,0.02494,46,1121,0.01581,0.03408
2013,17-29 y.,Upper Secondary Level,No,0.75297,1075,1121,0.72771,0.77823
2013,17-29 y.,Post-secondary Non-tertiary Level,No,0.74549,154,154,0.67647,0.81451
2013,17-29 y.,First Stage of Tertiary Education,No,0.88880,43,43,0.79372,0.98388
