year,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Yes,0.14118,3641,20745,0.13644,0.14592
2011,No,0.62574,17104,20745,0.61915,0.63232
2013,Yes,0.13579,3387,18866,0.13090,0.14068
2013,No,0.57560,15479,18866,0.56854,0.58265
2015,Yes,0.14797,4105,25040,0.14357,0.15237
2015,No,0.67724,20935,25040,0.67145,0.68303
2017,Yes,0.13926,4076,26549,0.13510,0.14343
2017,No,0.69474,22473,26549,0.68920,0.70028
2019,Yes,0.13981,3964,25725,0.13557,0.14404
2019,No,0.69147,21761,25725,0.68582,0.69711
2021,Yes,0.15760,3262,19164,0.15244,0.16276
2021,No,0.66544,15902,19164,0.65876,0.67212
