year,regtyp,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,Yes,0.13957,2283,13360,0.13370,0.14545
2011,Urban regions,No,0.62652,11077,13360,0.61832,0.63472
2011,Rural regions,Yes,0.14451,1358,7385,0.13649,0.15253
2011,Rural regions,No,0.62411,6027,7385,0.61307,0.63516
2013,Urban regions,Yes,0.13222,2138,12047,0.12617,0.13826
2013,Urban regions,No,0.56480,9909,12047,0.55594,0.57365
2013,Rural regions,Yes,0.14318,1249,6819,0.13487,0.15150
2013,Rural regions,No,0.59793,5570,6819,0.58629,0.60956
2015,Urban regions,Yes,0.14441,2597,16171,0.13899,0.14983
2015,Urban regions,No,0.67550,13574,16171,0.66829,0.68272
2015,Rural regions,Yes,0.15550,1508,8869,0.14796,0.16305
2015,Rural regions,No,0.68093,7361,8869,0.67122,0.69063
2017,Urban regions,Yes,0.13442,2554,17147,0.12932,0.13953
2017,Urban regions,No,0.69741,14593,17147,0.69053,0.70428
2017,Rural regions,Yes,0.14987,1522,9402,0.14266,0.15709
2017,Rural regions,No,0.68890,7880,9402,0.67954,0.69826
2019,Urban regions,Yes,0.13588,2462,16365,0.13063,0.14113
2019,Urban regions,No,0.69372,13903,16365,0.68666,0.70078
2019,Rural regions,Yes,0.14794,1394,8806,0.14053,0.15536
2019,Rural regions,No,0.68602,7412,8806,0.67632,0.69571
2021,Urban regions,Yes,0.15427,2115,12996,0.14806,0.16048
2021,Urban regions,No,0.66766,10881,12996,0.65956,0.67576
2021,Rural regions,Yes,0.16418,1146,6167,0.15493,0.17342
2021,Rural regions,No,0.66111,5021,6167,0.64930,0.67293
