year,sex,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.12240,1555,9789,0.11591,0.12890
2011,male,No,0.64386,8234,9789,0.63438,0.65335
2011,female,Yes,0.15919,2086,10956,0.15234,0.16604
2011,female,No,0.60839,8870,10956,0.59925,0.61753
2013,male,Yes,0.12159,1454,8834,0.11477,0.12840
2013,male,No,0.58495,7380,8834,0.57467,0.59522
2013,female,Yes,0.14948,1933,10032,0.14251,0.15646
2013,female,No,0.56660,8099,10032,0.55690,0.57629
2015,male,Yes,0.12889,1726,11458,0.12276,0.13503
2015,male,No,0.68826,9732,11458,0.67978,0.69674
2015,female,Yes,0.16647,2379,13582,0.16020,0.17273
2015,female,No,0.66659,11203,13582,0.65867,0.67452
2017,male,Yes,0.12419,1747,12261,0.11835,0.13003
2017,male,No,0.70062,10514,12261,0.69251,0.70873
2017,female,Yes,0.15409,2329,14288,0.14817,0.16001
2017,female,No,0.68901,11959,14288,0.68142,0.69660
2019,male,Yes,0.12337,1759,12278,0.11755,0.12919
2019,male,No,0.69909,10519,12278,0.69098,0.70720
2019,female,Yes,0.15603,2205,13440,0.14989,0.16216
2019,female,No,0.68427,11235,13440,0.67641,0.69213
2021,male,Yes,0.13530,1384,9292,0.12834,0.14225
2021,male,No,0.68259,7908,9292,0.67312,0.69205
2021,female,Yes,0.17957,1877,9865,0.17200,0.18715
2021,female,No,0.64850,7988,9865,0.63908,0.65792
