year,age_gr,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Yes,0.42591,976,2482,0.40645,0.44537
1985,17-29 y.,Urban regions,No,0.57304,1506,2482,0.55358,0.59251
1985,17-29 y.,Rural regions,Yes,0.42131,248,649,0.38329,0.45932
1985,17-29 y.,Rural regions,No,0.57412,401,649,0.53605,0.61219
1985,30-45 y.,Urban regions,Yes,0.04273,96,2744,0.03516,0.05029
1985,30-45 y.,Urban regions,No,0.95517,2648,2744,0.94743,0.96292
1985,30-45 y.,Rural regions,No,0.96651,705,705,0.95322,0.97980
1985,46-65 y.,Urban regions,No,0.99319,2591,2591,0.99003,0.99636
1985,46-65 y.,Rural regions,No,0.99574,696,696,0.99089,1.00058
1985,66 and older,Urban regions,No,0.99855,815,815,0.99593,1.00116
1985,66 and older,Rural regions,No,0.99714,290,290,0.99098,1.00330
1986,17-29 y.,Urban regions,Yes,0.42117,973,2413,0.40147,0.44087
1986,17-29 y.,Urban regions,No,0.57864,1440,2413,0.55893,0.59834
1986,17-29 y.,Rural regions,Yes,0.38565,243,641,0.34794,0.42336
1986,17-29 y.,Rural regions,No,0.61435,398,641,0.57664,0.65206
1986,30-45 y.,Urban regions,Yes,0.04749,101,2598,0.03931,0.05567
1986,30-45 y.,Urban regions,No,0.95251,2497,2598,0.94433,0.96069
1986,30-45 y.,Rural regions,No,0.95617,648,648,0.94039,0.97194
1986,46-65 y.,Urban regions,No,0.99241,2539,2539,0.98903,0.99579
1986,46-65 y.,Rural regions,No,0.99587,671,671,0.99101,1.00073
1986,66 and older,Urban regions,No,0.99768,762,762,0.99426,1.00110
1986,66 and older,Rural regions,No,0.99513,266,266,0.98675,1.00351
1987,17-29 y.,Urban regions,Yes,0.39324,956,2364,0.37355,0.41294
1987,17-29 y.,Urban regions,No,0.60504,1408,2364,0.58533,0.62475
1987,17-29 y.,Rural regions,Yes,0.35126,232,643,0.31433,0.38818
1987,17-29 y.,Rural regions,No,0.64874,411,643,0.61182,0.68567
1987,30-45 y.,Urban regions,Yes,0.05297,101,2518,0.04422,0.06172
1987,30-45 y.,Urban regions,No,0.94688,2417,2518,0.93812,0.95564
1987,30-45 y.,Rural regions,No,0.96932,632,632,0.95586,0.98277
1987,46-65 y.,Urban regions,No,0.98736,2526,2526,0.98300,0.99172
1987,46-65 y.,Rural regions,No,0.99798,659,659,0.99456,1.00141
1987,66 and older,Urban regions,No,0.99670,794,794,0.99271,1.00069
1988,17-29 y.,Urban regions,Yes,0.39261,892,2294,0.37262,0.41259
1988,17-29 y.,Urban regions,No,0.60637,1402,2294,0.58637,0.62637
1988,17-29 y.,Rural regions,Yes,0.37616,219,577,0.33660,0.41572
1988,17-29 y.,Rural regions,No,0.62384,358,577,0.58428,0.66340
1988,30-45 y.,Urban regions,Yes,0.04453,84,2333,0.03616,0.05290
1988,30-45 y.,Urban regions,No,0.95547,2249,2333,0.94710,0.96384
1988,30-45 y.,Rural regions,No,0.96167,598,598,0.94627,0.97707
1988,46-65 y.,Urban regions,No,0.99052,2464,2464,0.98669,0.99434
1988,46-65 y.,Rural regions,No,0.99434,627,627,0.98847,1.00022
1989,17-29 y.,Urban regions,Yes,0.40615,841,2262,0.38590,0.42639
1989,17-29 y.,Urban regions,No,0.59255,1421,2262,0.57229,0.61280
1989,17-29 y.,Rural regions,Yes,0.34682,191,564,0.30750,0.38613
1989,17-29 y.,Rural regions,No,0.65318,373,564,0.61387,0.69250
1989,30-45 y.,Urban regions,Yes,0.04843,85,2270,0.03960,0.05727
1989,30-45 y.,Urban regions,No,0.95157,2185,2270,0.94273,0.96040
1989,30-45 y.,Rural regions,No,0.95964,553,553,0.94323,0.97606
1989,46-65 y.,Urban regions,No,0.99168,2378,2378,0.98802,0.99533
1989,46-65 y.,Rural regions,No,0.99786,587,587,0.99412,1.00160
1989,66 and older,Urban regions,No,0.99670,757,757,0.99262,1.00079
1990,17-29 y.,Urban regions,Yes,0.38242,880,2515,0.36342,0.40142
1990,17-29 y.,Urban regions,No,0.61648,1635,2515,0.59748,0.63549
1990,17-29 y.,Rural regions,Yes,0.31030,402,1318,0.28532,0.33529
1990,17-29 y.,Rural regions,No,0.68754,916,1318,0.66251,0.71258
1990,30-45 y.,Urban regions,Yes,0.05251,134,2737,0.04415,0.06087
1990,30-45 y.,Urban regions,No,0.94749,2603,2737,0.93913,0.95585
1990,30-45 y.,Rural regions,Yes,0.04122,67,1532,0.03126,0.05118
1990,30-45 y.,Rural regions,No,0.95878,1465,1532,0.94882,0.96874
1990,46-65 y.,Urban regions,Yes,0.01768,41,2788,0.01278,0.02257
1990,46-65 y.,Urban regions,No,0.98232,2747,2788,0.97743,0.98722
1990,46-65 y.,Rural regions,No,0.98611,1424,1424,0.98003,0.99219
1990,66 and older,Urban regions,No,0.99921,911,911,0.99738,1.00104
1991,17-29 y.,Urban regions,Yes,0.38302,873,2418,0.36364,0.40240
1991,17-29 y.,Urban regions,No,0.61657,1545,2418,0.59718,0.63595
1991,17-29 y.,Rural regions,Yes,0.32364,398,1252,0.29771,0.34957
1991,17-29 y.,Rural regions,No,0.67566,854,1252,0.64972,0.70160
1991,30-45 y.,Urban regions,Yes,0.06901,166,2739,0.05951,0.07850
1991,30-45 y.,Urban regions,No,0.93065,2573,2739,0.92113,0.94016
1991,30-45 y.,Rural regions,Yes,0.06243,108,1535,0.05032,0.07454
1991,30-45 y.,Rural regions,No,0.93757,1427,1535,0.92546,0.94968
1991,46-65 y.,Urban regions,Yes,0.01491,45,2691,0.01033,0.01949
1991,46-65 y.,Urban regions,No,0.98509,2646,2691,0.98051,0.98967
1991,46-65 y.,Rural regions,No,0.98807,1400,1400,0.98238,0.99376
1991,66 and older,Urban regions,No,0.99836,910,910,0.99573,1.00099
1992,17-29 y.,Urban regions,Yes,0.38809,855,2355,0.36841,0.40778
1992,17-29 y.,Urban regions,No,0.61122,1500,2355,0.59153,0.63092
1992,17-29 y.,Rural regions,Yes,0.35393,424,1181,0.32664,0.38121
1992,17-29 y.,Rural regions,No,0.64607,757,1181,0.61879,0.67336
1992,30-45 y.,Urban regions,Yes,0.06441,164,2716,0.05518,0.07365
1992,30-45 y.,Urban regions,No,0.93559,2552,2716,0.92635,0.94482
1992,30-45 y.,Rural regions,Yes,0.06303,114,1494,0.05070,0.07536
1992,30-45 y.,Rural regions,No,0.93697,1380,1494,0.92464,0.94930
1992,46-65 y.,Urban regions,Yes,0.01487,43,2651,0.01026,0.01948
1992,46-65 y.,Urban regions,No,0.98409,2608,2651,0.97933,0.98885
1992,46-65 y.,Rural regions,No,0.98199,1326,1326,0.97483,0.98915
1992,66 and older,Urban regions,No,0.99941,926,926,0.99785,1.00097
1993,17-29 y.,Urban regions,Yes,0.40369,850,2316,0.38370,0.42368
1993,17-29 y.,Urban regions,No,0.59583,1466,2316,0.57584,0.61582
1993,17-29 y.,Rural regions,Yes,0.36172,424,1166,0.33413,0.38931
1993,17-29 y.,Rural regions,No,0.63828,742,1166,0.61069,0.66587
1993,30-45 y.,Urban regions,Yes,0.05700,159,2712,0.04827,0.06572
1993,30-45 y.,Urban regions,No,0.94300,2553,2712,0.93428,0.95173
1993,30-45 y.,Rural regions,Yes,0.05921,102,1486,0.04720,0.07121
1993,30-45 y.,Rural regions,No,0.94079,1384,1486,0.92879,0.95280
1993,46-65 y.,Urban regions,No,0.98993,2590,2590,0.98608,0.99377
1993,46-65 y.,Rural regions,No,0.98586,1310,1310,0.97946,0.99225
1994,17-29 y.,Urban regions,Yes,0.37015,778,2236,0.35013,0.39017
1994,17-29 y.,Urban regions,No,0.62985,1458,2236,0.60983,0.64987
1994,17-29 y.,Rural regions,Yes,0.35724,397,1108,0.32901,0.38547
1994,17-29 y.,Rural regions,No,0.64250,711,1108,0.61427,0.67074
1994,30-45 y.,Urban regions,Yes,0.05951,144,2692,0.05057,0.06845
1994,30-45 y.,Urban regions,No,0.94049,2548,2692,0.93155,0.94943
1994,30-45 y.,Rural regions,Yes,0.05770,90,1456,0.04572,0.06968
1994,30-45 y.,Rural regions,No,0.94230,1366,1456,0.93032,0.95428
1994,46-65 y.,Urban regions,Yes,0.01561,33,2561,0.01081,0.02041
1994,46-65 y.,Urban regions,No,0.98439,2528,2561,0.97959,0.98919
1994,46-65 y.,Rural regions,No,0.98626,1306,1306,0.97995,0.99258
1994,66 and older,Urban regions,No,0.99908,969,969,0.99718,1.00099
1994,66 and older,Rural regions,No,0.99491,521,521,0.98879,1.00103
1995,17-29 y.,Urban regions,Yes,0.42159,861,2229,0.40109,0.44210
1995,17-29 y.,Urban regions,No,0.57734,1368,2229,0.55683,0.59785
1995,17-29 y.,Rural regions,Yes,0.37621,436,1126,0.34790,0.40452
1995,17-29 y.,Rural regions,No,0.62379,690,1126,0.59548,0.65210
1995,30-45 y.,Urban regions,Yes,0.05108,146,2882,0.04304,0.05912
1995,30-45 y.,Urban regions,No,0.94870,2736,2882,0.94064,0.95676
1995,30-45 y.,Rural regions,Yes,0.06529,95,1557,0.05301,0.07756
1995,30-45 y.,Rural regions,No,0.93471,1462,1557,0.92244,0.94699
1995,46-65 y.,Urban regions,Yes,0.01538,37,2597,0.01065,0.02012
1995,46-65 y.,Urban regions,No,0.98462,2560,2597,0.97988,0.98935
1995,46-65 y.,Rural regions,No,0.98498,1344,1344,0.97848,0.99149
1995,66 and older,Urban regions,No,0.99855,1006,1006,0.99620,1.00090
1995,66 and older,Rural regions,No,0.99840,514,514,0.99494,1.00186
1996,17-29 y.,Urban regions,Yes,0.41731,787,2071,0.39607,0.43855
1996,17-29 y.,Urban regions,No,0.58234,1284,2071,0.56110,0.60359
1996,17-29 y.,Rural regions,Yes,0.35464,408,1091,0.32624,0.38304
1996,17-29 y.,Rural regions,No,0.64536,683,1091,0.61696,0.67376
1996,30-45 y.,Urban regions,Yes,0.05432,152,2903,0.04607,0.06257
1996,30-45 y.,Urban regions,No,0.94568,2751,2903,0.93743,0.95393
1996,30-45 y.,Rural regions,Yes,0.06223,94,1533,0.05014,0.07433
1996,30-45 y.,Rural regions,No,0.93777,1439,1533,0.92567,0.94986
1996,46-65 y.,Urban regions,Yes,0.01172,35,2518,0.00752,0.01593
1996,46-65 y.,Urban regions,No,0.98781,2483,2518,0.98352,0.99209
1996,46-65 y.,Rural regions,No,0.98265,1356,1356,0.97570,0.98960
1996,66 and older,Urban regions,No,0.99061,1024,1024,0.98470,0.99652
1996,66 and older,Rural regions,No,0.99836,518,518,0.99487,1.00185
1997,17-29 y.,Urban regions,Yes,0.42940,785,1972,0.40754,0.45125
1997,17-29 y.,Urban regions,No,0.56955,1187,1972,0.54769,0.59141
1997,17-29 y.,Rural regions,Yes,0.38133,416,1055,0.35200,0.41065
1997,17-29 y.,Rural regions,No,0.61758,639,1055,0.58824,0.64692
