year,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Yes,0.96435,187,187,0.93770,0.99099
1984,Primary Level,Yes,0.08975,40,999,0.07202,0.10749
1984,Primary Level,No,0.90983,959,999,0.89206,0.92760
1984,Lower Secondary Level,Yes,0.14996,546,3445,0.13803,0.16188
1984,Lower Secondary Level,No,0.84844,2899,3445,0.83647,0.86042
1984,Upper Secondary Level,Yes,0.07764,480,5697,0.07069,0.08459
1984,Upper Secondary Level,No,0.92076,5217,5697,0.91375,0.92778
1984,Post-secondary Non-tertiary Level,Yes,0.19450,55,309,0.15030,0.23871
1984,Post-secondary Non-tertiary Level,No,0.80550,254,309,0.76129,0.84970
1984,First Stage of Tertiary Education,Yes,0.04692,33,660,0.03077,0.06306
1984,First Stage of Tertiary Education,No,0.95308,627,660,0.93694,0.96923
1984,Second Stage of Tertiary Education,Yes,0.09486,85,788,0.07439,0.11533
1984,Second Stage of Tertiary Education,No,0.90257,703,788,0.88185,0.92329
1985,Pre-primary Level,Yes,0.99798,187,187,0.99152,1.00443
1985,Primary Level,Yes,0.09266,31,833,0.07296,0.11236
1985,Primary Level,No,0.90644,802,833,0.88666,0.92623
1985,Lower Secondary Level,Yes,0.16164,514,3055,0.14858,0.17469
1985,Lower Secondary Level,No,0.83652,2541,3055,0.82341,0.84964
1985,Upper Secondary Level,Yes,0.07476,436,5171,0.06759,0.08193
1985,Upper Secondary Level,No,0.92355,4735,5171,0.91631,0.93079
1985,Post-secondary Non-tertiary Level,Yes,0.21802,55,273,0.16895,0.26709
1985,Post-secondary Non-tertiary Level,No,0.77695,218,273,0.72748,0.82643
1985,First Stage of Tertiary Education,Yes,0.05841,39,619,0.03992,0.07690
1985,First Stage of Tertiary Education,No,0.94049,580,619,0.92184,0.95914
1985,Second Stage of Tertiary Education,Yes,0.07379,63,754,0.05511,0.09246
1985,Second Stage of Tertiary Education,No,0.92586,691,754,0.90714,0.94457
1986,Primary Level,Yes,0.11407,43,778,0.09171,0.13642
1986,Primary Level,No,0.88593,735,778,0.86358,0.90829
1986,Lower Secondary Level,Yes,0.15565,510,2906,0.14247,0.16884
1986,Lower Secondary Level,No,0.84359,2396,2906,0.83038,0.85680
1986,Upper Secondary Level,Yes,0.08042,439,4992,0.07288,0.08797
1986,Upper Secondary Level,No,0.91958,4553,4992,0.91203,0.92712
1986,Post-secondary Non-tertiary Level,Yes,0.15149,42,274,0.10896,0.19402
1986,Post-secondary Non-tertiary Level,No,0.84851,232,274,0.80598,0.89104
