year,age_gr,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,Yes,0.26723,39,206,0.20665,0.32780
1984,17-29 y.,Primary Level,No,0.73277,167,206,0.67220,0.79335
1984,17-29 y.,Lower Secondary Level,Yes,0.62392,539,1045,0.59454,0.65331
1984,17-29 y.,Lower Secondary Level,No,0.37590,506,1045,0.34652,0.40528
1984,17-29 y.,Upper Secondary Level,Yes,0.25443,399,1603,0.23310,0.27576
1984,17-29 y.,Upper Secondary Level,No,0.74557,1204,1603,0.72424,0.76690
1984,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.37078,43,125,0.28576,0.45579
1984,17-29 y.,Post-secondary Non-tertiary Level,No,0.62922,82,125,0.54421,0.71424
1984,17-29 y.,First Stage of Tertiary Education,No,0.88292,110,110,0.82256,0.94328
1984,17-29 y.,Second Stage of Tertiary Education,Yes,0.34734,44,128,0.26454,0.43015
1984,17-29 y.,Second Stage of Tertiary Education,No,0.65266,84,128,0.56985,0.73546
1984,30-45 y.,Primary Level,No,0.98880,398,398,0.97845,0.99915
1984,30-45 y.,Lower Secondary Level,No,0.99333,799,799,0.98768,0.99897
1984,30-45 y.,Upper Secondary Level,Yes,0.03723,65,1945,0.02881,0.04564
1984,30-45 y.,Upper Secondary Level,No,0.96028,1880,1945,0.95160,0.96896
1984,30-45 y.,Post-secondary Non-tertiary Level,No,0.86719,88,88,0.79588,0.93850
1984,30-45 y.,First Stage of Tertiary Education,No,0.94725,236,236,0.91867,0.97583
1984,30-45 y.,Second Stage of Tertiary Education,Yes,0.09639,37,376,0.06652,0.12626
1984,30-45 y.,Second Stage of Tertiary Education,No,0.89786,339,376,0.86721,0.92851
1984,46-65 y.,Lower Secondary Level,No,0.99774,1081,1081,0.99491,1.00057
1984,46-65 y.,Upper Secondary Level,No,0.98633,1564,1564,0.98057,0.99208
1984,46-65 y.,Post-secondary Non-tertiary Level,No,0.98165,64,64,0.94850,1.01479
1984,46-65 y.,First Stage of Tertiary Education,No,0.97841,199,199,0.95817,0.99866
1984,46-65 y.,Second Stage of Tertiary Education,No,0.98281,218,218,0.96551,1.00010
1984,66 and older,Lower Secondary Level,No,0.99872,513,513,0.99562,1.00182
1984,66 and older,Upper Secondary Level,No,0.99857,569,569,0.99546,1.00168
1984,66 and older,First Stage of Tertiary Education,No,0.98655,82,82,0.96146,1.01164
1984,66 and older,Second Stage of Tertiary Education,No,0.99423,62,62,0.97522,1.01324
1985,17-29 y.,Primary Level,No,0.73868,134,134,0.66401,0.81335
1985,17-29 y.,Lower Secondary Level,Yes,0.63414,510,956,0.60359,0.66469
1985,17-29 y.,Lower Secondary Level,No,0.36459,446,956,0.33406,0.39512
1985,17-29 y.,Upper Secondary Level,Yes,0.25956,370,1427,0.23681,0.28232
1985,17-29 y.,Upper Secondary Level,No,0.73807,1057,1427,0.71525,0.76090
1985,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.38667,43,109,0.29482,0.47851
1985,17-29 y.,Post-secondary Non-tertiary Level,No,0.60327,66,109,0.51101,0.69554
1985,17-29 y.,First Stage of Tertiary Education,No,0.82455,92,92,0.74641,0.90270
1985,17-29 y.,Second Stage of Tertiary Education,Yes,0.32817,38,120,0.24381,0.41254
1985,17-29 y.,Second Stage of Tertiary Education,No,0.67183,82,120,0.58746,0.75619
1985,30-45 y.,Primary Level,No,0.98984,318,318,0.97880,1.00088
1985,30-45 y.,Lower Secondary Level,No,0.99387,676,676,0.98798,0.99976
1985,30-45 y.,Upper Secondary Level,Yes,0.03724,60,1758,0.02839,0.04609
1985,30-45 y.,Upper Secondary Level,No,0.96076,1698,1758,0.95168,0.96984
1985,30-45 y.,Post-secondary Non-tertiary Level,No,0.78286,74,74,0.68828,0.87744
