year,hhtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,No,0.99677,2898,2898,0.99471,0.99884
2005,Couple without children,No,0.99652,3681,3681,0.99461,0.99842
2005,Couple with children,No,0.99918,3697,3697,0.99826,1.00010
2005,Multi-generational household,No,0.98574,105,105,0.96296,1.00853
2006,Single-person household,No,0.99364,3274,3274,0.99092,0.99637
2006,Couple without children,No,0.99663,4151,4151,0.99486,0.99839
2006,Single parent,No,0.99664,770,770,0.99255,1.00073
2006,Couple with children,No,0.99837,3831,3831,0.99710,0.99965
2007,Single-person household,No,0.99228,3091,3091,0.98919,0.99536
2007,Couple without children,No,0.99402,3864,3864,0.99158,0.99645
2007,Single parent,No,0.99453,707,707,0.98909,0.99997
2007,Couple with children,No,0.99816,3569,3569,0.99675,0.99957
2007,Multi-generational household,No,0.96539,89,89,0.92720,1.00358
2008,Single-person household,Yes,0.01348,31,2986,0.00934,0.01762
2008,Single-person household,No,0.98652,2955,2986,0.98238,0.99066
2008,Couple without children,No,0.99429,3721,3721,0.99187,0.99671
2008,Single parent,No,0.99080,675,675,0.98360,0.99801
2008,Couple with children,No,0.99320,3251,3251,0.99038,0.99603
2009,Single-person household,Yes,0.01562,35,2847,0.01107,0.02018
2009,Single-person household,No,0.98438,2812,2847,0.97982,0.98893
2009,Couple without children,No,0.99589,3541,3541,0.99378,0.99799
2009,Single parent,No,0.99183,628,628,0.98478,0.99888
2009,Couple with children,No,0.99158,2993,2993,0.98831,0.99485
2009,Multi-generational household,No,0.99365,65,65,0.97418,1.01311
2010,Single-person household,Yes,0.02113,43,2698,0.01571,0.02656
2010,Single-person household,No,0.97887,2655,2698,0.97344,0.98429
2010,Couple without children,No,0.99170,3349,3349,0.98862,0.99477
2010,Single parent,No,0.98194,1831,1831,0.97583,0.98804
2010,Couple with children,Yes,0.01019,33,5709,0.00758,0.01280
2010,Couple with children,No,0.98981,5676,5709,0.98720,0.99242
2010,Multi-generational household,No,0.98282,99,99,0.95709,1.00855
2010,Other Combinations,No,0.95812,66,66,0.90942,1.00682
2011,Single-person household,Yes,0.02475,71,3490,0.01959,0.02990
2011,Single-person household,No,0.97525,3419,3490,0.97010,0.98041
2011,Couple without children,Yes,0.01443,51,4330,0.01088,0.01798
2011,Couple without children,No,0.98557,4279,4330,0.98202,0.98912
2011,Single parent,Yes,0.01974,39,2280,0.01403,0.02545
2011,Single parent,No,0.98026,2241,2280,0.97455,0.98597
2011,Couple with children,Yes,0.00912,33,5990,0.00671,0.01153
2011,Couple with children,No,0.99088,5957,5990,0.98847,0.99329
2011,Multi-generational household,No,0.99526,113,113,0.98254,1.00798
2011,Other Combinations,No,0.88374,93,93,0.81823,0.94924
2012,Single-person household,Yes,0.02737,90,3642,0.02207,0.03267
2012,Single-person household,No,0.97263,3552,3642,0.96733,0.97793
2012,Couple without children,Yes,0.01458,51,4392,0.01103,0.01812
2012,Couple without children,No,0.98542,4341,4392,0.98188,0.98897
2012,Single parent,No,0.98467,2113,2113,0.97943,0.98991
2012,Couple with children,Yes,0.01158,38,5575,0.00877,0.01439
2012,Couple with children,No,0.98842,5537,5575,0.98561,0.99123
2012,Multi-generational household,No,0.97671,110,110,0.94839,1.00502
2012,Other Combinations,No,0.89901,90,90,0.83642,0.96161
2013,Single-person household,Yes,0.02760,100,3790,0.02238,0.03282
2013,Single-person household,No,0.97240,3690,3790,0.96718,0.97762
2013,Couple without children,Yes,0.01188,54,4577,0.00874,0.01501
2013,Couple without children,No,0.98812,4523,4577,0.98499,0.99126
2013,Single parent,Yes,0.01952,32,2214,0.01376,0.02529
2013,Single parent,No,0.98048,2182,2214,0.97471,0.98624
2013,Couple with children,Yes,0.00928,41,6446,0.00694,0.01163
2013,Couple with children,No,0.99072,6405,6446,0.98837,0.99306
2013,Multi-generational household,No,0.96516,135,135,0.93411,0.99621
2013,Other Combinations,No,0.94349,344,344,0.91906,0.96793
2014,Single-person household,Yes,0.02743,87,3531,0.02204,0.03282
2014,Single-person household,No,0.97257,3444,3531,0.96718,0.97796
2014,Couple without children,Yes,0.01146,58,4320,0.00829,0.01464
2014,Couple without children,No,0.98854,4262,4320,0.98536,0.99171
2014,Single parent,Yes,0.02396,33,1804,0.01690,0.03102
2014,Single parent,No,0.97604,1771,1804,0.96898,0.98310
2014,Couple with children,Yes,0.00515,33,5639,0.00328,0.00701
2014,Couple with children,No,0.99485,5606,5639,0.99299,0.99672
2014,Multi-generational household,No,0.88334,110,110,0.82308,0.94361
2014,Other Combinations,No,0.94986,247,247,0.92258,0.97713
2015,Single-person household,Yes,0.02654,84,3547,0.02125,0.03183
2015,Single-person household,No,0.97346,3463,3547,0.96817,0.97875
2015,Couple without children,Yes,0.01176,54,4292,0.00853,0.01499
2015,Couple without children,No,0.98824,4238,4292,0.98501,0.99147
2015,Single parent,No,0.98021,1639,1639,0.97346,0.98695
2015,Couple with children,Yes,0.00508,35,5488,0.00320,0.00697
