year,regtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,No,0.99725,7539,7539,0.99607,0.99844
2005,Rural regions,No,0.99794,3636,3636,0.99647,0.99941
2006,Urban regions,No,0.99556,8148,8148,0.99412,0.99700
2006,Rural regions,No,0.99676,4088,4088,0.99502,0.99850
2007,Urban regions,No,0.99404,7581,7581,0.99231,0.99577
2007,Rural regions,No,0.99463,3830,3830,0.99232,0.99695
2008,Urban regions,Yes,0.00881,39,7190,0.00665,0.01097
2008,Urban regions,No,0.99119,7151,7190,0.98903,0.99335
2008,Rural regions,No,0.99000,3605,3605,0.98675,0.99324
2009,Urban regions,Yes,0.00994,42,6699,0.00757,0.01232
2009,Urban regions,No,0.99006,6657,6699,0.98768,0.99243
2009,Rural regions,No,0.99005,3453,3453,0.98674,0.99336
2010,Urban regions,Yes,0.01434,68,9084,0.01190,0.01679
2010,Urban regions,No,0.98566,9016,9084,0.98321,0.98810
2010,Rural regions,Yes,0.01545,51,4711,0.01193,0.01897
2010,Rural regions,No,0.98455,4660,4711,0.98103,0.98807
2011,Urban regions,Yes,0.01833,123,10567,0.01577,0.02089
2011,Urban regions,No,0.98167,10444,10567,0.97911,0.98423
2011,Rural regions,Yes,0.01816,78,5736,0.01471,0.02162
2011,Rural regions,No,0.98184,5658,5736,0.97838,0.98529
2012,Urban regions,Yes,0.02003,136,10241,0.01731,0.02274
2012,Urban regions,No,0.97997,10105,10241,0.97726,0.98269
2012,Rural regions,Yes,0.01905,82,5720,0.01551,0.02260
2012,Rural regions,No,0.98095,5638,5720,0.97740,0.98449
2013,Urban regions,Yes,0.01851,152,11637,0.01606,0.02096
2013,Urban regions,No,0.98149,11485,11637,0.97904,0.98394
2013,Rural regions,Yes,0.01980,93,5887,0.01624,0.02336
2013,Rural regions,No,0.98020,5794,5887,0.97664,0.98376
2014,Urban regions,Yes,0.01810,152,10310,0.01552,0.02067
2014,Urban regions,No,0.98190,10158,10310,0.97933,0.98448
2014,Rural regions,Yes,0.01904,81,5363,0.01538,0.02270
2014,Rural regions,No,0.98096,5282,5363,0.97730,0.98462
2015,Urban regions,Yes,0.01840,147,10158,0.01579,0.02101
2015,Urban regions,No,0.98160,10011,10158,0.97899,0.98421
2015,Rural regions,Yes,0.01679,79,5217,0.01330,0.02027
2015,Rural regions,No,0.98321,5138,5217,0.97973,0.98670
2016,Urban regions,Yes,0.01893,135,9268,0.01616,0.02171
2016,Urban regions,No,0.98107,9133,9268,0.97829,0.98384
2016,Rural regions,Yes,0.01764,77,4824,0.01392,0.02135
2016,Rural regions,No,0.98236,4747,4824,0.97865,0.98608
2017,Urban regions,Yes,0.01997,149,11391,0.01740,0.02254
2017,Urban regions,No,0.98003,11242,11391,0.97746,0.98260
2017,Rural regions,Yes,0.01711,82,5897,0.01380,0.02042
2017,Rural regions,No,0.98289,5815,5897,0.97958,0.98620
2018,Urban regions,Yes,0.02024,179,11836,0.01771,0.02278
2018,Urban regions,No,0.97976,11657,11836,0.97722,0.98229
2018,Rural regions,Yes,0.01742,93,5878,0.01408,0.02077
2018,Rural regions,No,0.98258,5785,5878,0.97923,0.98592
2019,No answer / don't know,No,0.97682,456,456,0.96300,0.99065
2019,Urban regions,Yes,0.02453,177,11905,0.02175,0.02731
2019,Urban regions,No,0.97547,11728,11905,0.97269,0.97825
2019,Rural regions,Yes,0.01656,85,5914,0.01331,0.01981
2019,Rural regions,No,0.98344,5829,5914,0.98019,0.98669
2020,Urban regions,Yes,0.02328,179,13198,0.02070,0.02585
2020,Urban regions,No,0.97672,13019,13198,0.97415,0.97930
2020,Rural regions,Yes,0.01555,78,5852,0.01238,0.01872
2020,Rural regions,No,0.98445,5774,5852,0.98128,0.98762
2021,Urban regions,Yes,0.02065,129,8544,0.01763,0.02366
2021,Urban regions,No,0.97935,8415,8544,0.97634,0.98237
2021,Rural regions,Yes,0.01663,67,3909,0.01262,0.02064
2021,Rural regions,No,0.98337,3842,3909,0.97936,0.98738
2022,Urban regions,Yes,0.02091,192,13953,0.01853,0.02328
2022,Urban regions,No,0.97909,13761,13953,0.97672,0.98147
2022,Rural regions,Yes,0.02098,105,6227,0.01742,0.02455
2022,Rural regions,No,0.97902,6122,6227,0.97545,0.98258
